   1.0.0 # v: lpa-xrd version
1.28e+16 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  524288 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.5  9.288044853584609E-01  7.7834596E-05  7.619134731999782E-06  1.2408847E-04  8.029055513644902E-01  1.3612817E-04  9.105910067596555E-05  1.9233083E-04  6.619027140737654E-01  1.8371056E-04 -2.585103250122922E-05  2.3247480E-04  5.265118402348037E-01  2.1920241E-04 -2.561239605134585E-05  2.5472536E-04  4.071925502372841E-01  2.4369733E-04  3.946124731778151E-05  2.6637176E-04  3.202337845158889E-03          0
   3.0  7.905297297117543E-01  1.4419374E-04  1.154014822309832E-04  1.9445160E-04  5.160122661534126E-01  2.2224639E-04  1.981277710716608E-04  2.5544412E-04  3.010616268535982E-01  2.6040634E-04  4.127118759908482E-04  2.7253597E-04  1.647745167962874E-01  2.7418364E-04  1.558199961351765E-04  2.7718377E-04  8.878086897850997E-02  2.7803415E-04 -2.182176332215547E-05  2.7877452E-04  2.632798305751947E-03          0
   4.5  6.338524082853065E-01  1.9491093E-04  2.315567994019895E-04  2.3554833E-04  2.898145840710231E-01  2.6206629E-04  3.527330427066026E-04  2.7285025E-04  1.154977693886988E-01  2.7706809E-04  4.565220684141763E-05  2.7820625E-04  4.707164885668309E-02  2.7914614E-04  8.432490515421107E-06  2.7925113E-04  2.070803293232325E-02  2.7941868E-04 -2.415909380736911E-05  2.7947849E-04  2.300905031391414E-03          0
   6.0  4.830683809368409E-01  2.3076221E-04  3.234960787703679E-04  2.5794720E-04  1.483256308752007E-01  2.7541242E-04  2.958621824483933E-04  2.7741717E-04  4.391261314793361E-02  2.7919764E-04 -1.814859426830505E-05  2.7928001E-04  1.490763838927937E-02  2.7940742E-04 -3.642684159852132E-05  2.7954752E-04  5.298093278639771E-03  2.7950972E-04  9.038306789498158E-05  2.7949920E-04  2.069380888412123E-03          0
   7.5  3.511290366290334E-01  2.5403158E-04  2.913993556462864E-04  2.6917168E-04  7.259316720444467E-02  2.7870522E-04  2.500952360547716E-04  2.7883662E-04  1.847484561945220E-02  2.7938485E-04  1.277101270346326E-04  2.7953609E-04  4.802194582385046E-03  2.7953498E-04  1.872381786302538E-04  2.7947533E-04  8.126896299357231E-04  2.7947831E-04 -3.015904221823667E-05  2.7953810E-04  1.891051341612121E-03          0
   9.0  2.434624132833822E-01  2.6782917E-04  3.242875267825705E-04  2.7432772E-04  3.672369747299090E-02  2.7930235E-04  3.425149121701058E-05  2.7933740E-04  8.172513488870518E-03  2.7947990E-04  2.781310374310997E-04  2.7951821E-04  1.224263644849410E-03  2.7956095E-04 -1.833489035577903E-05  2.7945550E-04 -6.415809435168332E-04  2.7949468E-04 -8.534780133717725E-05  2.7952212E-04  1.747509221013643E-03          0
  10.5  1.607991503359202E-01  2.7505799E-04  2.234634841474902E-04  2.7668171E-04  2.012255918225840E-02  2.7936965E-04  7.066919041573895E-06  2.7953420E-04  3.028374594750688E-03  2.7941692E-04 -1.665906153114184E-05  2.7959732E-04 -1.840635916034644E-04  2.7949668E-04 -1.091185801269233E-04  2.7952041E-04 -7.128942526390489E-05  2.7949423E-04  1.189641243037131E-04  2.7952291E-04  1.627744921357839E-03          0
  12.0  1.009490714123459E-01  2.7828587E-04  9.191339872000683E-05  2.7787463E-04  1.165452964602040E-02  2.7944050E-04  6.059674291923483E-05  2.7953837E-04  7.768445449428292E-04  2.7948804E-04 -6.376779348154444E-05  2.7952832E-04 -2.145597785919912E-04  2.7952829E-04  5.425919102378211E-04  2.7948795E-04  1.495336693523512E-04  2.7957711E-04  2.802446848740775E-04  2.7944011E-04  1.525016067834024E-03          0
  13.5  6.063409820067769E-02  2.7938057E-04  5.823817703717724E-05  2.7860653E-04  6.440674459224764E-03  2.7949415E-04 -3.302534045650425E-04  2.7951090E-04  6.668234642713159E-05  2.7948471E-04 -4.970172569420374E-05  2.7953214E-04 -1.778683466607491E-05  2.7953604E-04  4.819718872065206E-04  2.7948068E-04  6.596287103258435E-05  2.7954005E-04 -4.534337297962356E-05  2.7947690E-04  1.436089838323784E-03          0
  15.0  3.541325478281480E-02  2.7962098E-04 -3.886217994353670E-05  2.7904447E-04  3.315572049798813E-03  2.7950287E-04 -4.652154269555317E-04  2.7951052E-04 -3.960924879272795E-04  2.7950212E-04  2.352226296303408E-04  2.7951482E-04 -1.592296677804626E-05  2.7954003E-04  1.295917218692301E-04  2.7947673E-04  1.123963986874013E-04  2.7957482E-04 -4.314211154274013E-04  2.7944244E-04  1.357929341312455E-03          0
