   1.0.1 # v: lpa-xrd version
1.28e+16 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  524288 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.5  9.166104504517971E-01  3.7119702E-05 -1.547442489932489E-05  6.0138534E-05  7.685340856936772E-01  6.5998433E-05 -1.161571159824519E-04  9.1850510E-05  6.079451067786120E-01  8.8210780E-05 -2.056540646778860E-04  1.0917361E-04  4.600610974681610E-01  1.0354788E-04 -2.755805122524295E-04  1.1795551E-04  3.356081655479823E-01  1.1331388E-04 -3.235332918553590E-04  1.2202500E-04  3.780073073603605E-03          0
   3.0  7.586508905719024E-01  6.8788692E-05 -1.285151341742122E-04  9.2369359E-05  4.539438340087305E-01  1.0424973E-04 -3.436164766149034E-04  1.1807785E-04  2.337543835296187E-01  1.1924410E-04 -2.998805055191264E-04  1.2378699E-04  1.076852117981688E-01  1.2378507E-04 -2.086200122185188E-04  1.2475897E-04  4.609919136584467E-02  1.2479124E-04 -3.045578190690936E-05  1.2494274E-04  3.203305200962161E-03          0
   4.5  5.891170070273659E-01  9.1390504E-05 -2.080573240540778E-04  1.0978215E-04  2.286616672751124E-01  1.1949642E-04 -3.220570026324013E-04  1.2384091E-04  6.883973863576684E-02  1.2451626E-04  2.429592891639205E-05  1.2489008E-04  1.845731136668773E-02  1.2496589E-04  5.356003527934403E-05  1.2499141E-04  5.368901532241442E-03  1.2499666E-04 -1.668512646190465E-04  1.2499965E-04  2.868334439882255E-03          0
   6.0  4.353828981531891E-01  1.0623384E-04 -2.625789026915779E-04  1.1849296E-04  1.013998310093121E-01  1.2392525E-04 -1.329695493200928E-04  1.2478441E-04  1.748907162647627E-02  1.2497533E-04  7.094240940249933E-05  1.2498627E-04  3.445049302269017E-03  1.2499697E-04 -2.335417615185862E-04  1.2500145E-04  7.730107190149563E-04  1.2499460E-04 -3.115088921111314E-05  1.2500523E-04  2.631577238005706E-03          0
   7.5  3.082744305618526E-01  1.1527313E-04 -2.912645831694567E-04  1.2244273E-04  4.049510046251260E-02  1.2483727E-04 -2.268139840367745E-05  1.2495740E-04  4.629604494868412E-03  1.2499820E-04 -1.395777362399523E-04  1.2499902E-04  6.806748214389900E-04  1.2499403E-04 -1.226140953578758E-04  1.2500584E-04  2.316253400091053E-04  1.2500049E-04 -8.238520519750433E-06  1.2499949E-04  2.448838841063893E-03          0
   9.0  2.096652543087293E-01  1.2036418E-04 -2.691422113837961E-04  1.2405089E-04  1.512568869337944E-02  1.2498076E-04 -1.376719571104036E-04  1.2499042E-04  1.350293510570757E-03  1.2497594E-04 -2.120120425555569E-04  1.2502373E-04  1.523336844452831E-04  1.2500297E-04 -9.335819923897164E-06  1.2499701E-04 -2.237775933069395E-05  1.2499461E-04  1.299610710717624E-04  1.2500533E-04  2.299894192419643E-03          0
  10.5  1.371445476173986E-01  1.2298815E-04 -3.407440270119813E-04  1.2464365E-04  5.691412828494143E-03  1.2499069E-04 -5.572711762835067E-05  1.2500509E-04  3.609837498396981E-04  1.2499477E-04 -1.979387744417604E-04  1.2500516E-04 -8.224945281533429E-05  1.2500101E-04  2.344467871438103E-04  1.2499896E-04 -1.316483281334792E-05  1.2498119E-04  4.634536160635728E-05  1.2501879E-04  2.174841072397746E-03          0
  12.0  8.620080859515861E-02  1.2421264E-04 -4.357920058548638E-04  1.2485563E-04  2.306718606123734E-03  1.2499734E-04 -1.647686219508721E-04  1.2500190E-04  1.398974904376464E-04  1.2501325E-04 -6.828407751850358E-05  1.2498673E-04 -3.137108071299967E-05  1.2499782E-04  1.804206722050929E-04  1.2500210E-04 -1.093155378654355E-04  1.2499329E-04 -1.586733641020767E-04  1.2500667E-04  2.067095914045517E-03          0
  13.5  5.207396639531572E-02  1.2471810E-04 -4.291407624492365E-04  1.2494236E-04  9.204358781111877E-04  1.2499950E-04 -2.851284686147629E-04  1.2500030E-04  5.017505009747950E-05  1.2499784E-04  5.344306634080933E-05  1.2500212E-04 -5.811733898983681E-06  1.2500402E-04  2.005713058882767E-05  1.2499599E-04 -1.608383820052443E-04  1.2499099E-04 -2.729963399279925E-04  1.2500900E-04  1.972635840805206E-03          0
  15.0  3.011495487538988E-02  1.2491311E-04 -4.032943133586385E-04  1.2497333E-04  4.257191522384554E-04  1.2499535E-04 -2.295911622947420E-04  1.2500452E-04  5.705614819841170E-05  1.2500005E-04  1.800293313721905E-04  1.2499991E-04 -7.352560679440515E-05  1.2500327E-04  8.211522806229969E-06  1.2499669E-04  9.233783818685942E-05  1.2500062E-04  1.371116336077422E-04  1.2499939E-04  1.888687187574485E-03          0
