   1.0.0 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.664971465316630E-01  4.8220973E-05  3.279770998546453E-05  8.9264950E-05  8.980012510867409E-01  9.0696852E-05  3.890040136377275E-05  1.4839589E-04  8.116657051179929E-01  1.3010172E-04  1.837931698696865E-04  1.9074320E-04  7.181100993126341E-01  1.6414011E-04  2.828243360644083E-04  2.2074462E-04  6.241587250233795E-01  1.9240915E-04  4.276394692010803E-04  2.4156097E-04  2.629221169784781E-04          0
   7.0  8.935069231095574E-01  9.5906236E-05  2.709078361268085E-05  1.4935636E-04  7.144491101631316E-01  1.6619040E-04  2.354220103739393E-04  2.2106657E-04  5.316680102028728E-01  2.1602909E-04  4.092678102059218E-04  2.5574788E-04  3.744152189937585E-01  2.4707789E-04  6.098149323065705E-04  2.7072142E-04  2.518082491377953E-01  2.6445186E-04  7.077396972116504E-04  2.7640518E-04  2.273558110662699E-04          0
  10.5  8.017601852589271E-01  1.3753340E-04  1.251512703977235E-04  1.9207028E-04  5.277632766454210E-01  2.1728816E-04  2.596519630301754E-04  2.5594551E-04  3.061792906219280E-01  2.5752912E-04  6.670690490821943E-04  2.7435925E-04  1.614390059832973E-01  2.7327010E-04  9.476032185661140E-04  2.7837764E-04  7.878708949221234E-02  2.7809946E-04  9.593139042758321E-04  2.7916765E-04  2.063988347999709E-04          0
  14.0  7.029603681226212E-01  1.7221149E-04  1.594586319646701E-04  2.2221021E-04  3.679254566240780E-01  2.4838937E-04  2.253351302223594E-04  2.7091226E-04  1.592952714056775E-01  2.7343151E-04  8.788399852788586E-04  2.7841213E-04  6.050241511513133E-02  2.7875551E-04  9.139050196011535E-04  2.7922786E-04  2.115496912620681E-02  2.7951719E-04  5.105419782680795E-04  2.7936910E-04  1.915606411461216E-04          0
  17.5  6.045316483246251E-01  2.0017843E-04  1.027448759053756E-04  2.4304358E-04  2.438502578538640E-01  2.6542570E-04  3.981746614466470E-04  2.7658692E-04  7.631673546539031E-02  2.7820159E-04  8.407568573890567E-04  2.7917382E-04  2.073782161912444E-02  2.7949969E-04  4.648162455508290E-04  2.7939102E-04  5.792818721200522E-03  2.7950529E-04 -7.060914486911029E-05  2.7949918E-04  1.799935410739417E-04          0
  21.0  5.109912413267136E-01  2.2224643E-04  1.239014484519199E-04  2.5700412E-04  1.544893051021283E-01  2.7374458E-04  6.923685693756354E-04  2.7852721E-04  3.423884949320096E-02  2.7930984E-04  5.691992616621631E-04  2.7937130E-04  6.955085856686128E-03  2.7950382E-04  2.600156784185166E-04  2.7949579E-04  2.169440060374570E-03  2.7957954E-04  1.469583712260672E-05  2.7943444E-04  1.706568926943699E-04          0
  24.5  4.252867172131187E-01  2.3914915E-04  1.706268396203916E-04  2.6606295E-04  9.383515204753143E-02  2.7744559E-04  7.945533672426843E-04  2.7909148E-04  1.447026567650993E-02  2.7957698E-04  4.364992565664672E-04  2.7937556E-04  2.937744991475634E-03  2.7952643E-04  2.778122859382563E-04  2.7948578E-04  1.201054115453891E-03  2.7956680E-04  3.944091304039517E-04  2.7944836E-04  1.627988596201787E-04          0
  28.0  3.488468702469327E-01  2.5176648E-04  1.872416758236795E-04  2.7173662E-04  5.477651637450946E-02  2.7887544E-04  6.722223602968123E-04  2.7929299E-04  6.234333389756901E-03  2.7954151E-04  3.790473301551697E-04  2.7946010E-04  1.505469991444166E-03  2.7954890E-04  6.329742831893474E-04  2.7946583E-04  9.382942829469034E-04  2.7951445E-04  1.375479989484416E-04  2.7950146E-04  1.560039104647606E-04          0
  31.5  2.821291993151635E-01  2.6096599E-04  3.066631065507118E-04  2.7513861E-04  3.096083229777678E-02  2.7933071E-04  3.742479433741105E-04  2.7941042E-04  3.158128518734288E-03  2.7950109E-04  4.413667684723875E-04  2.7950974E-04  6.713243370963600E-04  2.7950449E-04  4.966829041545282E-04  2.7951075E-04  5.240270558108508E-04  2.7947075E-04  4.516851022989735E-05  2.7954538E-04  1.500698608858554E-04          0
  35.0  2.250585362432438E-01  2.6746013E-04  4.232398152917711E-04  2.7711480E-04  1.699510345748757E-02  2.7950419E-04  3.797085200471120E-04  2.7942490E-04  1.979485700087576E-03  2.7954543E-04  5.503245715842600E-04  2.7946808E-04  5.701055069545608E-04  2.7954197E-04  2.073576768671602E-04  2.7947313E-04  2.164511068798110E-04  2.7946952E-04  2.894653285220334E-04  2.7954688E-04  1.447661763527451E-04          0
