   1.0.1 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.568154265295603E-01  2.4033397E-05  1.070215503505599E-03  4.5407413E-05  8.679602974740308E-01  4.8315300E-05  1.951630536544886E-03  7.3270335E-05  7.623351643476463E-01  6.8870277E-05  2.549950838476784E-03  9.1305621E-05  6.561325329961941E-01  8.4177350E-05  2.821363215563010E-03  1.0342798E-04  5.564510915283557E-01  9.5409623E-05  2.767814830793291E-03  1.1159661E-04  3.367761628526470E-04          0
   7.0  8.642940878940522E-01  5.0054307E-05  1.962458762549059E-03  7.3457316E-05  6.543781389013744E-01  8.4580640E-05  2.832916376137124E-03  1.0344647E-04  4.653386164440190E-01  1.0384004E-04  2.568128654718810E-03  1.1696402E-04  3.144473128493719E-01  1.1467062E-04  1.708970809492463E-03  1.2242574E-04  2.020807819650694E-01  1.2044844E-04  7.496354973519435E-04  1.2426980E-04  3.010817679370817E-04          0
  10.5  7.559254918380881E-01  7.0875922E-05  2.561360778354830E-03  9.1436477E-05  4.644228198907007E-01  1.0397214E-04  2.528390892150950E-03  1.1696063E-04  2.534698843914815E-01  1.1806559E-04  1.202235606911550E-03  1.2361112E-04  1.236581758037534E-01  1.2320996E-04 -6.773380288302975E-05  1.2477807E-04  5.406505271772170E-02  1.2466161E-04 -7.845916879340206E-04  1.2490598E-04  2.802576053159240E-04          0
  14.0  6.489769565724777E-01  8.5810980E-05  2.763516679325830E-03  1.0349721E-04  3.137822744544789E-01  1.1472870E-04  1.737112797558479E-03  1.2242496E-04  1.236043771294302E-01  1.2320954E-04 -1.366895980193991E-04  1.2478013E-04  3.997034597900003E-02  1.2484960E-04 -8.961601424873130E-04  1.2489241E-04  1.094245176865609E-02  1.2505235E-04 -1.768409118455406E-03  1.2490354E-04  2.654484059391618E-04          0
  17.5  5.500038556335642E-01  9.6533123E-05  2.734785525479712E-03  1.1163004E-04  2.016990703769885E-01  1.2046858E-04  7.483186393290832E-04  1.2426983E-04  5.394768352977147E-02  1.2466951E-04 -7.298044907340683E-04  1.2489935E-04  1.093361954206374E-02  1.2505158E-04 -1.758264136857923E-03  1.2490435E-04  2.242995211078130E-03  1.2501525E-04 -2.229085696324429E-03  1.2496622E-04  2.538667588100341E-04          0
  21.0  4.607517309643447E-01  1.0446774E-04  2.490263268203430E-03  1.1697358E-04  1.234692384799293E-01  1.2322239E-04 -3.108988529718573E-05  1.2477214E-04  2.110779874598134E-02  1.2502472E-04 -1.259077490206639E-03  1.2487829E-04  3.018075371911585E-03  1.2502146E-04 -2.163329746471191E-03  1.2495835E-04  1.173599435847700E-03  1.2501348E-04 -1.382453156139867E-03  1.2497261E-04  2.442908019249234E-04          0
  24.5  3.814334778900326E-01  1.1042019E-04  2.092767292431373E-03  1.2037219E-04  7.184385656935141E-02  1.2439238E-04 -4.972564910718636E-04  1.2488603E-04  7.856332396375254E-03  1.2505475E-04 -1.874428050286471E-03  1.2491236E-04  1.291470568300369E-03  1.2501723E-04 -1.772245553772055E-03  1.2496666E-04  1.591922711361852E-03  1.2499099E-04 -8.307719607251576E-04  1.2500034E-04  2.361272683181820E-04          0
  28.0  3.119417020511041E-01  1.1487827E-04  1.630888890910007E-03  1.2243316E-04  3.984956629507350E-02  1.2485711E-04 -8.717584695165808E-04  1.2488663E-04  3.083209106650053E-03  1.2502661E-04 -2.179182142322650E-03  1.2495323E-04  1.387620500871832E-03  1.2501840E-04 -1.026377419241484E-03  1.2496967E-04  1.391134359811665E-03  1.2499030E-04 -1.388915315189850E-03  1.2500362E-04  2.289945509228807E-04          0
  31.5  2.519183977621718E-01  1.1815971E-04  1.154886692130430E-03  1.2362199E-04  2.117031169534013E-02  1.2502043E-04 -1.214781806507314E-03  1.2488217E-04  1.554018942747920E-03  1.2502871E-04 -1.755791761344234E-03  1.2495448E-04  1.562363857403656E-03  1.2498348E-04 -7.832804469540123E-04  1.2500889E-04  8.127721766741812E-04  1.2499470E-04 -1.699046020757238E-03  1.2500006E-04  2.226928146108954E-04          0
  35.0  2.009594898124675E-01  1.2050582E-04  7.323628634839363E-04  1.2427278E-04  1.089342012747257E-02  1.2506267E-04 -1.569643387983020E-03  1.2489361E-04  1.198020310553270E-03  1.2503061E-04 -1.199272787140795E-03  1.2495539E-04  1.462232294147861E-03  1.2498567E-04 -1.283465921802902E-03  1.2500829E-04  4.531858532935417E-04  1.2499046E-04 -1.191473628269390E-03  1.2500582E-04  2.170348792650584E-04          0
  38.5  1.583478542280728E-01  1.2213256E-04  3.756313369527879E-04  1.2461078E-04  5.555612209141837E-03  1.2504846E-04 -1.852198012128420E-03  1.2492583E-04  1.437371935252358E-03  1.2500482E-04 -8.789653863021906E-04  1.2498461E-04  9.967411600058731E-04  1.2499410E-04 -1.664101168149174E-03  1.2500045E-04  5.279504760068701E-04  1.2497422E-04 -8.057321185016080E-04  1.2502278E-04  2.119394572218431E-04          0
  42.0  1.232256047909064E-01  1.2323239E-04  1.191820605823936E-04  1.2477061E-04  3.043695349204596E-03  1.2502382E-04 -2.006219869758998E-03  1.2495634E-04  1.605690821922379E-03  1.2497847E-04 -9.026424543286338E-04  1.2501367E-04  5.337986114732852E-04  1.2498273E-04 -1.292712127350455E-03  1.2501301E-04  5.148614517757030E-04  1.2499244E-04 -7.437274549930595E-04  1.2500507E-04  2.073197970981149E-04          0
  45.5  9.470467300298810E-02  1.2393498E-04 -6.730652321554196E-05  1.2485819E-04  1.692334608502446E-03  1.2502847E-04 -1.953421421199830E-03  1.2495393E-04  1.563063635072567E-03  1.2498696E-04 -1.077221504609971E-03  1.2500676E-04  5.852627097522017E-04  1.2497570E-04 -8.949346021280629E-04  1.2502094E-04  2.975102100208993E-04  1.2497958E-04 -3.649549668139678E-04  1.2501819E-04  2.030708843085759E-04          0
  49.0  7.188264994454668E-02  1.2437988E-04 -2.098707811227234E-04  1.2489821E-04  1.102141685377575E-03  1.2504142E-04 -1.721426732379507E-03  1.2494288E-04  1.192002171537560E-03  1.2499139E-04 -1.440528468613073E-03  1.2500276E-04  7.799285300035615E-04  1.2496845E-04 -9.001595453378705E-04  1.2502867E-04 -9.712025497653407E-05  1.2498554E-04 -3.104201972001216E-04  1.2501291E-04  1.991531544711356E-04          0
  52.5  5.394850807043176E-02  1.2465958E-04 -3.588350664582578E-04  1.2490961E-04  9.703220337940444E-04  1.2503017E-04 -1.282307151933915E-03  1.2495637E-04  7.299188863443724E-04  1.2498411E-04 -1.572092411471076E-03  1.2501100E-04  5.873611769162200E-04  1.2498028E-04 -6.895453529355606E-04  1.2501741E-04 -2.412523011947945E-04  1.2497990E-04 -5.266008023851430E-04  1.2501901E-04  1.955140656492239E-04          0
  56.0  4.003662363943094E-02  1.2483619E-04 -5.304795655514260E-04  1.2490518E-04  1.091115879496392E-03  1.2500812E-04 -8.837626016558687E-04  1.2498082E-04  5.269038007710612E-04  1.2498244E-04 -1.293231956274885E-03  1.2501351E-04  2.207315595618454E-04  1.2500308E-04 -4.672993149950989E-04  1.2499470E-04 -3.068760127600792E-04  1.2500341E-04 -6.146391992296531E-04  1.2499534E-04  1.921100142456918E-04          0
  59.5  2.941853250578996E-02  1.2495077E-04 -7.592690695593629E-04  1.2489125E-04  1.362631717410013E-03  1.2500240E-04 -6.549871493514559E-04  1.2498859E-04  5.855833860429985E-04  1.2499028E-04 -9.957658155549678E-04  1.2500636E-04  1.162449002487750E-04  1.2497980E-04 -2.742138064804909E-04  1.2501837E-04 -2.970630655747590E-04  1.2497995E-04 -6.399785669338234E-04  1.2501871E-04  1.889217747897030E-04          0
  63.0  2.138214468740898E-02  1.2502062E-04 -1.003556151108365E-03  1.2488011E-04  1.587571113571939E-03  1.2499258E-04 -6.990341605478632E-04  1.2499980E-04  7.892413296795016E-04  1.2497062E-04 -9.185213481551298E-04  1.2502617E-04 -4.952307353559811E-05  1.2497826E-04 -4.779933350807708E-04  1.2502044E-04 -2.037522518165595E-04  1.2498398E-04 -5.996182416753855E-04  1.2501481E-04  1.859188257267075E-04          0
  66.5  1.540194838041576E-02  1.2505489E-04 -1.250039967705882E-03  1.2488019E-04  1.628408009187753E-03  1.2498111E-04 -8.696121646232314E-04  1.2501226E-04  8.313734113851882E-04  1.2497095E-04 -7.858465398324149E-04  1.2502606E-04 -2.396613612704654E-04  1.2498797E-04 -8.144333286449143E-04  1.2501083E-04 -3.591306324569226E-05  1.2500956E-04 -4.051746308976044E-04  1.2498947E-04  1.830821264626181E-04          0
  70.0  1.104066809287545E-02  1.2506965E-04 -1.470385259567016E-03  1.2488561E-04  1.579340895146321E-03  1.2497783E-04 -1.216061304244791E-03  1.2501625E-04  6.822114188421261E-04  1.2497785E-04 -6.588886159235249E-04  1.2501962E-04 -2.987613424718620E-04  1.2500642E-04 -9.218534324741323E-04  1.2499211E-04  3.134767655150869E-05  1.2500760E-04  4.379075750121367E-04  1.2499110E-04  1.803996540999264E-04          0
  73.5  7.913370723346278E-03  1.2506582E-04 -1.727519060150272E-03  1.2490115E-04  1.361053504602765E-03  1.2497996E-04 -1.360065529766720E-03  1.2501450E-04  3.801234820967286E-04  1.2499917E-04 -4.502496437243750E-04  1.2499856E-04 -2.702699272195727E-04  1.2499589E-04 -6.827684564615043E-04  1.2500259E-04 -4.746738190829645E-05  1.2500352E-04  6.207394600508553E-04  1.2499520E-04  1.778540414694799E-04          0
  77.0  5.667548868563035E-03  1.2505248E-04 -1.971554458171990E-03  1.2492128E-04  1.060071757332944E-03  1.2498384E-04 -1.369270399008933E-03  1.2501102E-04  2.646464970112683E-04  1.2501527E-04 -3.101990306169138E-04  1.2498267E-04 -2.135280596673676E-04  1.2498348E-04 -6.444187663834719E-04  1.2501506E-04 -2.465652811522158E-04  1.2498546E-04  5.065715075579471E-04  1.2501341E-04  1.754236644180795E-04          0
  80.5  4.075779219254010E-03  1.2504132E-04 -2.102691398156493E-03  1.2493645E-04  8.341178934307333E-04  1.2499020E-04 -1.348324205651783E-03  1.2500514E-04  8.275113507617662E-05  1.2499486E-04 -2.388468714946715E-04  1.2500342E-04 -1.180969397962911E-04  1.2498206E-04 -3.947911239410337E-04  1.2501680E-04 -4.096645015266249E-04  1.2500986E-04  3.720230549031978E-04  1.2498925E-04  1.731055475475672E-04          0
  84.0  2.974464102383619E-03  1.2503499E-04 -2.157110264445711E-03  1.2494495E-04  7.101282373815779E-04  1.2498996E-04 -1.168676476713373E-03  1.2500577E-04 -2.580030685765106E-04  1.2497490E-04 -4.153321116272380E-04  1.2502383E-04 -1.278671645241443E-04  1.2498691E-04 -1.136787574601826E-04  1.2501212E-04 -2.927153295805798E-04  1.2500106E-04 -1.049826007183481E-04  1.2499833E-04  1.708959975195081E-04          0
  87.5  2.248213518373298E-03  1.2503766E-04 -2.158725491538084E-03  1.2494344E-04  7.421521769870629E-04  1.2498508E-04 -1.038280986806430E-03  1.2501090E-04 -3.988042786123391E-04  1.2497215E-04 -6.321915921706193E-04  1.2502674E-04 -2.090422892129788E-04  1.2499306E-04  3.006596803248534E-04  1.2500592E-04  1.580279897108202E-04  1.2497497E-04 -1.086814200182624E-04  1.2502449E-04  1.687742811916855E-04          0
  91.0  1.765696607819074E-03  1.2504411E-04 -2.058611427664832E-03  1.2493781E-04  8.392897875715845E-04  1.2498787E-04 -9.424289996661150E-04  1.2500847E-04 -3.270013506684750E-04  1.2499048E-04 -6.615816616549325E-04  1.2500840E-04 -1.690979854535319E-04  1.2499267E-04  6.522953107671482E-04  1.2500621E-04  1.864880833227020E-04  1.2497703E-04 -7.254165517314999E-05  1.2502230E-04  1.667452454572724E-04          0
