   1.0.1 # v: lpa-xrd version
1.25e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
     512 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.986499372181767E-01  3.6785772E-06  9.329316529415773E-05  8.4105785E-06  9.954704020550820E-01  6.8148938E-06  1.793719167478185E-04  1.5357247E-05  9.908082252979949E-01  1.0083661E-05  2.652516255362607E-04  2.1674700E-05  9.848960842293391E-01  1.3355632E-05  3.501096146771708E-04  2.7528835E-05  9.778871294778549E-01  1.6632253E-05  4.295122075892573E-04  3.3001874E-05  4.916774707897536E-06          0
  10.0  9.952749381848692E-01  7.4297804E-06  1.836255234479271E-04  1.5467718E-05  9.846782550172721E-01  1.3724490E-05  3.526629248552444E-04  2.7590780E-05  9.696866196164390E-01  2.0150600E-05  5.026080808479948E-04  3.8188522E-05  9.512398016184491E-01  2.6536683E-05  6.377966818723067E-04  4.7607074E-05  9.300212793004621E-01  3.2810896E-05  7.488574221806979E-04  5.6036730E-05  4.375923606937447E-06          0
  15.0  9.903047387325545E-01  1.1139107E-05  2.694494139204724E-04  2.1876334E-05  9.693490387820821E-01  2.0528733E-05  5.002545708735524E-04  3.8254936E-05  9.405971773496138E-01  2.9954437E-05  6.933320926775341E-04  5.1979874E-05  9.062512103447480E-01  3.9108768E-05  8.662063377589073E-04  6.3636312E-05  8.679211301501913E-01  4.7834778E-05  9.610613049054235E-04  7.3574949E-05  4.043444964216618E-06          0
  20.0  9.839666263050326E-01  1.4826057E-05  3.534443972960524E-04  2.7813580E-05  9.504502684713769E-01  2.7206066E-05  6.373277651693916E-04  4.7722110E-05  9.058282428981299E-01  3.9342003E-05  8.625123812657866E-04  6.3680832E-05  8.540930985734850E-01  5.0787102E-05  1.012231925902366E-03  7.6584736E-05  7.981466311894874E-01  6.1320152E-05  1.015476134566262E-03  8.6998642E-05  3.805791164562054E-06          0
  25.0  9.764322609371306E-01  1.8487586E-05  4.337800225002850E-04  3.3359103E-05  9.287170111245584E-01  3.3682740E-05  7.642784789004207E-04  5.6195410E-05  8.670160846763418E-01  4.8217308E-05  9.791469240490631E-04  7.3658716E-05  7.976631180345853E-01  6.1471833E-05  1.034380344174278E-03  8.7030180E-05  7.250531794926524E-01  7.3191877E-05  9.267364516571181E-04  9.7187632E-05  3.622351498496488E-06          0
  30.0  9.678518505888583E-01  2.2084560E-05  5.112158793726723E-04  3.8571853E-05  9.046929212418612E-01  3.9950927E-05  8.659902505268917E-04  6.3805994E-05  8.254241242222505E-01  5.6551031E-05  1.028288721090271E-03  8.2153261E-05  7.391300639555347E-01  7.1109888E-05  9.726120737292214E-04  9.5409276E-05  6.518252681164236E-01  8.3431237E-05  7.042180706739228E-04  1.0481795E-04  3.469982096456340E-06          0
  35.0  9.583184178069737E-01  2.5641334E-05  5.803972948576948E-04  4.3489749E-05  8.788336135996280E-01  4.5994569E-05  9.516403768043551E-04  7.0648759E-05  7.820853383279065E-01  6.4293160E-05  1.043133398810633E-03  8.9372206E-05  6.801612317355112E-01  7.9690971E-05  8.109884183208811E-04  1.0207700E-04  5.806916523921701E-01  9.2125224E-05  4.501028784333818E-04  1.1043111E-04  3.342320112647641E-06          0
  40.0  9.479316809977816E-01  2.9154909E-05  6.516170120513628E-04  4.8135013E-05  8.515599650782557E-01  5.1783794E-05  1.013494718057573E-03  7.6798763E-05  7.378130589386880E-01  7.1433142E-05  9.960946315380930E-04  9.5486607E-05  6.220408147922735E-01  8.7256500E-05  6.225628641258788E-04  1.0731899E-04  5.131450176754456E-01  9.9381731E-05  2.017856616179556E-04  1.1449768E-04  3.232668309530023E-06          0
  45.0  9.367897470143191E-01  3.2603111E-05  7.167741130801901E-04  5.2531923E-05  8.231955577703209E-01  5.7314539E-05  1.048353907008292E-03  8.2322911E-05  6.933078793198462E-01  7.7973352E-05  8.934383568577611E-04  1.0063548E-04  5.657020891227221E-01  9.3858997E-05  3.979950301148576E-04  1.1139401E-04  4.501330390147703E-01  1.0533277E-04 -1.407805303212930E-05  1.1740887E-04  3.135764931936914E-06          0
  50.0  9.249732748980183E-01  3.5982543E-05  7.776829600638291E-04  5.6697333E-05  7.940377301774291E-01  6.2571485E-05  1.060273003858463E-03  8.7282540E-05  6.491028896221537E-01  8.3938340E-05  7.574651532762189E-04  1.0494163E-04  5.117898357105275E-01  9.9559086E-05  1.807215967986903E-04  1.1453357E-04  3.923103707667884E-01  1.1011032E-04 -1.660791755722018E-04  1.1948001E-04  3.048573377260009E-06          0
  55.0  9.125396707693691E-01  3.9298803E-05  8.290111809531790E-04  6.0647574E-05  7.643308440753842E-01  6.7563651E-05  1.051461079886294E-03  9.1722804E-05  6.056532806499002E-01  8.9345940E-05  6.093328505022315E-04  1.0851816E-04  4.608512818586025E-01  1.0440743E-04  1.498796201930975E-05  1.1693792E-04  3.400126478033552E-01  1.1386692E-04 -2.041042111108558E-04  1.2095329E-04  2.969998393140692E-06          0
  60.0  8.995487539680935E-01  4.2552393E-05  8.808130954287053E-04  6.4394439E-05  7.343044860095761E-01  7.2286311E-05  1.034913933140870E-03  9.5689908E-05  5.633295456349595E-01  9.4211097E-05  4.599881581502511E-04  1.1147323E-04  4.132058492654087E-01  1.0848686E-04 -1.174370258650690E-04  1.1876568E-04  2.932468822843518E-01  1.1676874E-04 -1.862175766015938E-04  1.2200650E-04  2.898835419652201E-06          0
  65.0  8.860660090200534E-01  4.5736581E-05  9.313128972990226E-04  6.7948374E-05  7.041607189434876E-01  7.6737862E-05  9.990369200560774E-04  9.9226638E-05  5.224111003012171E-01  9.8562168E-05  3.099879284609798E-04  1.1389991E-04  3.690310377247052E-01  1.1187177E-04 -1.917064546177395E-04  1.2015779E-04  2.519135490098211E-01  1.1896484E-04 -5.413094509851301E-05  1.2277018E-04  2.833616266520555E-06          0
  70.0  8.721374567012089E-01  4.8853018E-05  9.756813418228522E-04  7.1320260E-05  6.740646516314538E-01  8.0926742E-05  9.404375277976308E-04  1.0236933E-04  4.831344783594644E-01  1.0241690E-04  1.875018347438955E-04  1.1588952E-04  3.284340823870999E-01  1.1464643E-04 -2.100653517618269E-04  1.2121662E-04  2.157010887736742E-01  1.2059503E-04  1.007129286581135E-04  1.2333776E-04  2.773323614811514E-06          0
  75.0  8.578268722807028E-01  5.1896092E-05  1.018283586383254E-03  7.4516437E-05  6.441911766447874E-01  8.4848970E-05  8.647469681125329E-04  1.0515576E-04  4.456285695311794E-01  1.0581799E-04  7.369589184353672E-05  1.1751091E-04  2.913824955338866E-01  1.1689463E-04 -1.865012023634014E-04  1.2202618E-04  1.842643924756913E-01  1.2178262E-04  3.465229312387293E-04  1.2376914E-04  2.717121590187763E-06          0
  80.0  8.431729983941043E-01  5.4868372E-05  1.055344587786939E-03  7.7545690E-05  6.146693312796434E-01  8.8515560E-05  7.777338550243876E-04  1.0761666E-04  4.100407308072367E-01  1.0879116E-04 -9.490793895753735E-06  1.1883123E-04  2.578329329114821E-01  1.1868579E-04 -5.549790092827008E-05  1.2265601E-04  1.571670724878793E-01  1.2263874E-04  6.169002488714893E-04  1.2409898E-04  2.664473588007756E-06          0
  85.0  8.282238460216748E-01  5.7765534E-05  1.085050094246559E-03  8.0416532E-05  5.856063280925934E-01  9.1934559E-05  6.873199904499300E-04  1.0978395E-04  3.764379741510082E-01  1.1137144E-04 -6.346099619774777E-05  1.1990633E-04  2.276452723668236E-01  1.2010258E-04  1.042787071607224E-04  1.2314551E-04  1.339233960786331E-01  1.2324692E-04  8.684461675071675E-04  1.2435666E-04  2.615148473315319E-06          0
  90.0  8.130065844150631E-01  6.0593392E-05  1.106680476220951E-03  8.3135777E-05  5.571041680742815E-01  9.5110137E-05  5.962786102448223E-04  1.1168920E-04  3.448588608985960E-01  1.1359514E-04 -8.042341294013601E-05  1.2078204E-04  2.006107172849634E-01  1.2121074E-04  2.798336915722800E-04  1.2353219E-04  1.140901495580706E-01  1.2367437E-04  1.102122165177018E-03  1.2455902E-04  2.568842433133833E-06          0
  95.0  7.975667311479184E-01  6.3343509E-05  1.122155703984931E-03  8.5713203E-05  5.292140583008339E-01  9.8058672E-05  5.026394861404207E-04  1.1335764E-04  3.153135091526701E-01  1.1549841E-04 -6.775449042925564E-05  1.2149639E-04  1.765542148362099E-01  1.2206394E-04  4.586729673965521E-04  1.2384437E-04  9.723258115712372E-02  1.2397423E-04  1.272386976801136E-03  1.2471630E-04  2.525200247577632E-06          0
 100.0  7.819343791049485E-01  6.6024389E-05  1.133403494221248E-03  8.8150238E-05  5.020600714583211E-01  1.0077452E-04  4.154509984677389E-04  1.1481899E-04  2.878000025742527E-01  1.1711634E-04 -3.000245457902048E-05  1.2207978E-04  1.551909246093063E-01  1.2272047E-04  6.701624732530574E-04  1.2409551E-04  8.287685661869740E-02  1.2419175E-04  1.403595842759755E-03  1.2483223E-04  2.483978490781194E-06          0
