   1.0.1 # v: lpa-xrd version
5.00e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    2048 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.939080359307565E-01  7.6299272E-06  5.835302902513137E-04  1.7910188E-05  9.794334150112177E-01  1.4801999E-05  1.145039514532563E-03  3.2415314E-05  9.585031993384976E-01  2.2682839E-05  1.676420309895248E-03  4.4945045E-05  9.326044646193458E-01  3.0777109E-05  2.166057714894283E-03  5.5804292E-05  9.028948401951861E-01  3.8793666E-05  2.634767089181116E-03  6.5238237E-05  2.208905072339605E-05          0
  10.0  9.787146229237923E-01  1.5871733E-05  1.145576660073500E-03  3.2587232E-05  9.318895689049911E-01  3.1318351E-05  2.177290482083690E-03  5.5876419E-05  8.697678451746544E-01  4.6802341E-05  3.051800043250309E-03  7.3488607E-05  7.996342907529599E-01  6.0722901E-05  3.721060037904841E-03  8.6900038E-05  7.263917406211290E-01  7.2701176E-05  4.209196436300424E-03  9.7135902E-05  1.985612218050519E-05          0
  15.0  9.566957938583953E-01  2.4450811E-05  1.680242309783060E-03  4.5220801E-05  8.688039984976028E-01  4.7267679E-05  3.039666611316391E-03  7.3547334E-05  7.623924250483548E-01  6.7199557E-05  3.960261481549224E-03  9.2388182E-05  6.527373103952606E-01  8.2909552E-05  4.436990683027013E-03  1.0493493E-04  5.478620856269052E-01  9.4898045E-05  4.518671529792451E-03  1.1314946E-04  1.854993855744022E-05          0
  20.0  9.294454624742933E-01  3.3062320E-05  2.165131913349395E-03  5.6143639E-05  7.977210233316832E-01  6.1406494E-05  3.702757131292425E-03  8.6969958E-05  6.520054007449264E-01  8.3077578E-05  4.443647177821796E-03  1.0494450E-04  5.143157970284997E-01  9.8257006E-05  4.405380429495625E-03  1.1517207E-04  3.936088565880771E-01  1.0855384E-04  3.975010785723470E-03  1.2063851E-04  1.762608430763667E-05          0
  25.0  8.982935748999209E-01  4.1423474E-05  2.612443526334745E-03  6.5606194E-05  7.237332233866527E-01  7.3439000E-05  4.169360416219830E-03  9.7202131E-05  5.467083550368720E-01  9.5089026E-05  4.479519259207162E-03  1.1316379E-04  3.932700662407679E-01  1.0859122E-04  3.949085016832270E-03  1.2063932E-04  2.704922820683302E-01  1.1660160E-04  3.116278366126130E-03  1.2369024E-04  1.690423772061388E-05          0
  30.0  8.643616024374330E-01  4.9338486E-05  3.014809576149838E-03  7.3823409E-05  6.501373965034732E-01  8.3487643E-05  4.407263369664965E-03  1.0498234E-04  4.505769316732454E-01  1.0404867E-04  4.216221025974000E-03  1.1836646E-04  2.922810521735715E-01  1.1535920E-04  3.277819265434929E-03  1.2330098E-04  1.776615071099955E-01  1.2106095E-04  2.261260675377839E-03  1.2469361E-04  1.631137479989876E-05          0
  35.0  8.285687396530038E-01  5.6699704E-05  3.361822484935771E-03  8.0979094E-05  5.789730420787256E-01  9.1818923E-05  4.437194338560502E-03  1.1084172E-04  3.653878978148906E-01  1.1064477E-04  3.793916360021547E-03  1.2150871E-04  2.111574824785548E-01  1.1961838E-04  2.572515515395152E-03  1.2443815E-04  1.111204870407493E-01  1.2335029E-04  1.721447626361306E-03  1.2489676E-04  1.580234870248292E-05          0
  40.0  7.916436010993251E-01  6.3481335E-05  3.655450943758490E-03  8.7216493E-05  5.115742692746460E-01  9.8670317E-05  4.339215484705928E-03  1.1520162E-04  2.916805376987187E-01  1.1540619E-04  3.268650970779469E-03  1.2330135E-04  1.479964897952674E-01  1.2218204E-04  1.977485082413173E-03  1.2482717E-04  6.576393285277350E-02  1.2437298E-04  1.546727147992805E-03  1.2491771E-04  1.535448116578906E-05          0
  45.0  7.541635276456183E-01  6.9684987E-05  3.891847481910481E-03  9.2659226E-05  4.486858136678961E-01  1.0428432E-04  4.161761613702326E-03  1.1838466E-04  2.291344708882216E-01  1.1876915E-04  2.707498938183246E-03  1.2424996E-04  1.003965635577858E-01  1.2363811E-04  1.649816515437759E-03  1.2490361E-04  3.641526111681784E-02  1.2476520E-04  1.562326402779352E-03  1.2492475E-04  1.495775286508816E-05          0
  50.0  7.165858648136589E-01  7.5333910E-05  4.061759768105867E-03  9.7408398E-05  3.907130258270423E-01  1.0886100E-04  3.905514911014104E-03  1.2065619E-04  1.769945139107214E-01  1.2108826E-04  2.194907958334366E-03  1.2469707E-04  6.567191791251595E-02  1.2437711E-04  1.511732160374132E-03  1.2491553E-04  1.837101996924589E-02  1.2494335E-04  1.703363857043783E-03  1.2488903E-04  1.459874919741171E-05          0
  55.0  6.792681289115596E-01  8.0463891E-05  4.192263950684399E-03  1.0154785E-04  3.378323841235222E-01  1.1255957E-04  3.597337697172276E-03  1.2224042E-04  1.343270095846852E-01  1.2264301E-04  1.846328667501093E-03  1.2486606E-04  4.110838397073028E-02  1.2471784E-04  1.511851898660198E-03  1.2492245E-04  8.041699199504692E-03  1.2504839E-04  1.877478732869919E-03  1.2483565E-04  1.427134933871411E-05          0
