   1.0.0 # v: lpa-xrd version
1.28e+16 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  524288 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.5  8.210246248118862E-01  1.0728562E-04  1.154444995513776E-02  1.9543488E-04  4.961429528221232E-01  2.1410893E-04  1.293382523899528E-02  2.6479534E-04  2.289653092189601E-01  2.6491071E-04  7.948143140312069E-03  2.7744782E-04  8.214730297560480E-02  2.7759840E-04  3.179828195020788E-03  2.7912105E-04  2.333206754681558E-02  2.7933408E-04  9.138578108448875E-04  2.7946611E-04  7.814043185466722E-03          0
   3.0  4.898802088221910E-01  2.1617505E-04  1.280565458620059E-02  2.6502993E-04  8.108577389599049E-02  2.7763857E-04  3.026216866688162E-03  2.7913975E-04  5.540252991572708E-03  2.7944708E-04  8.904887274559212E-05  2.7955210E-04  7.749129307447867E-04  2.7949353E-04 -5.494697466226919E-04  2.7952278E-04  2.266714711501931E-04  2.7942802E-04 -1.075711276581151E-04  2.7958889E-04  7.237636091591176E-03          0
   4.5  2.218288129455329E-01  2.6583143E-04  7.667473709069333E-03  2.7757305E-04  5.425384366722571E-03  2.7947477E-04  2.257051775917296E-06  2.7952512E-04  4.815908163840253E-04  2.7947254E-04 -3.082239550217363E-04  2.7954439E-04 -1.530016807035305E-04  2.7951789E-04  4.313833353263888E-04  2.7949856E-04 -2.993248985553165E-04  2.7946982E-04  4.439731088427432E-04  2.7954609E-04  6.898926588634842E-03          0
   6.0  7.780171708209725E-02  2.7778786E-04  2.984799941971112E-03  2.7916930E-04  7.310421667303010E-04  2.7940880E-04 -2.829231415928849E-04  2.7960765E-04 -2.212731248341195E-04  2.7952818E-04  4.577262917664962E-04  2.7948854E-04 -7.113211283858656E-04  2.7947289E-04  2.048682992755420E-04  2.7954370E-04 -1.275292256075683E-04  2.7951721E-04 -3.957529053138886E-05  2.7949987E-04  6.658988288113173E-03          0
   7.5  2.156146214253339E-02  2.7936874E-04  9.707770054721038E-04  2.7946416E-04  1.065378256689639E-04  2.7948013E-04 -1.593452878899095E-04  2.7953652E-04 -6.445125700217911E-04  2.7948778E-04  5.292930020785026E-04  2.7952865E-04 -1.999099472551188E-04  2.7951380E-04 -4.249680488991858E-04  2.7950297E-04 -2.067631548127124E-04  2.7955020E-04 -3.912292704815606E-04  2.7946664E-04  6.472811835043490E-03          0
   9.0  5.109204290814026E-03  2.7952643E-04  2.499743255870419E-04  2.7947678E-04  2.032409956183281E-04  2.7945367E-04  7.352284550852297E-05  2.7956324E-04 -2.928221802628590E-05  2.7945207E-04  2.151399026954265E-04  2.7956468E-04 -3.904337560379085E-04  2.7951417E-04 -1.674122305416644E-04  2.7950266E-04 -2.074862446522152E-04  2.7952430E-04 -8.640601989896065E-04  2.7949175E-04  6.319989518622894E-03          0
  10.5  1.539937774844788E-03  2.7954164E-04  3.617864755761390E-05  2.7947329E-04  2.472125663413655E-04  2.7947750E-04  9.661700750574818E-05  2.7953864E-04 -1.429643618006771E-04  2.7956140E-04 -1.472370934762263E-04  2.7945517E-04 -2.181914750614380E-04  2.7941496E-04 -4.517573035510430E-04  2.7960181E-04 -2.532264759333984E-04  2.7946928E-04 -3.687334256495115E-04  2.7954774E-04  6.192149833503200E-03          0
  12.0  7.005328161832694E-04  2.7952249E-04 -1.628342509202863E-04  2.7949344E-04  1.034842594117278E-04  2.7947571E-04 -2.815663253938279E-04  2.7954046E-04 -6.045677101971291E-04  2.7948516E-04 -2.493670709878445E-05  2.7953143E-04 -2.337308011771953E-04  2.7949564E-04 -7.540474482491932E-04  2.7952110E-04 -1.860160235698117E-04  2.7955125E-04  5.989502679956180E-04  2.7946589E-04  6.081260106838702E-03          0
  13.5  3.138416792659025E-04  2.7953864E-04 -2.479173899152432E-04  2.7947747E-04  2.164121659069399E-04  2.7953948E-04 -1.484432185277327E-04  2.7947722E-04 -2.725748319739602E-05  2.7944414E-04  1.335996792031930E-04  2.7957256E-04  2.211786328751713E-04  2.7945223E-04  1.100367287123511E-04  2.7956428E-04  2.954846511914688E-05  2.7949285E-04  7.587155077608881E-05  2.7952366E-04  5.983313411567518E-03          0
  15.0  2.603485012670201E-04  2.7947452E-04  5.515169805612256E-05  2.7954174E-04 -2.428170655499829E-04  2.7949929E-04  9.554691405172527E-05  2.7951742E-04 -2.144295334278453E-04  2.7950400E-04 -1.559188286427296E-04  2.7951308E-04 -6.527588966693077E-05  2.7952765E-04 -2.755812239438440E-05  2.7948891E-04  1.449544142480442E-04  2.7953220E-04 -3.066944459131546E-04  2.7948431E-04  5.896178047707808E-03          0
