   1.0.0 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.411750974210095E-01  5.9405000E-05 -1.711075547283945E-02  1.1642975E-04  8.169706956364653E-01  1.2464441E-04 -2.953268756318651E-02  1.8467686E-04  6.734556485867382E-01  1.7583219E-04 -3.616806548073165E-02  2.2544612E-04  5.358295974272616E-01  2.1100771E-04 -3.810216248041271E-02  2.5015816E-04  4.134971832987208E-01  2.3552590E-04 -3.689856002397063E-02  2.6415391E-04  4.525185186093477E-04          0
   7.0  8.138249243573887E-01  1.2755302E-04 -2.940220832161609E-02  1.8491350E-04  5.349008017863991E-01  2.1140485E-04 -3.797622752763950E-02  2.5017104E-04  3.090725598806235E-01  2.5269028E-04 -3.358324868048661E-02  2.7134213E-04  1.557590141123648E-01  2.7116269E-04 -2.373954401119127E-02  2.7640652E-04  6.748605341534016E-02  2.7737254E-04 -1.303741788053599E-02  2.7778938E-04  4.165440385804815E-04          0
  10.5  6.689882023152802E-01  1.7841125E-04 -3.584906944970221E-02  2.2559915E-04  3.087394685189643E-01  2.5277834E-04 -3.346566333800829E-02  2.7132776E-04  1.044251218610479E-01  2.7521480E-04 -1.827509856352067E-02  2.7726366E-04  2.559646779916579E-02  2.7874637E-04 -5.466088034561591E-03  2.7872691E-04  5.440460955355328E-03  2.7929020E-04 -2.891312435031382E-03  2.7920216E-04  3.953744663725824E-04          0
  14.0  5.319065778405706E-01  2.1258510E-04 -3.769036281799089E-02  2.5024775E-04  1.555883418762758E-01  2.7115777E-04 -2.373135394728309E-02  2.7642849E-04  2.558048791193020E-02  2.7875223E-04 -5.534845019617495E-03  2.7871900E-04  3.213927521973466E-03  2.7941739E-04 -3.273253476357717E-03  2.7920933E-04  1.642641021646248E-03  2.7957294E-04 -3.332545774130376E-03  2.7923423E-04  3.805199707518537E-04          0
  17.5  4.108465523432354E-01  2.3631625E-04 -3.656657796940428E-02  2.6417271E-04  6.770794713500249E-02  2.7739530E-04 -1.303794668014935E-02  2.7776693E-04  5.237052302626782E-03  2.7922802E-04 -2.831393422645739E-03  2.7926266E-04  1.614369248401656E-03  2.7956275E-04 -3.467492018731732E-03  2.7924057E-04 -5.024313973911979E-04  2.7960458E-04  2.494502867642169E-03  2.7926578E-04  3.689786520421048E-04          0
  21.0  3.076252781868217E-01  2.5301354E-04 -3.342789661582116E-02  2.7131543E-04  2.568121674364830E-02  2.7877798E-04 -5.477435836442627E-03  2.7869577E-04  1.902285404167146E-03  2.7956777E-04 -3.503866812013376E-03  2.7919281E-04 -2.709066772915064E-04  2.7956146E-04  1.281202419467509E-03  2.7929569E-04 -4.175640426250005E-05  2.7975727E-04  2.741516118039593E-03  2.7913344E-04  3.595950546891191E-04          0
  24.5  2.226772939875157E-01  2.6420931E-04 -2.883572207302938E-02  2.7476385E-04  8.894798980215297E-03  2.7913711E-04 -2.940297012586127E-03  2.7915051E-04  1.352930321034848E-03  2.7949121E-04 -2.757082780283492E-03  2.7932621E-04 -3.281789658501976E-04  2.7975245E-04  3.818204246824190E-03  2.7913345E-04  1.103677161912128E-03  2.7971306E-04 -6.359768345438341E-04  2.7921302E-04  3.516772755365025E-04          0
  28.0  1.553547038758520E-01  2.7115403E-04 -2.361000748673229E-02  2.7645715E-04  3.054666416901070E-03  2.7937234E-04 -3.101712040795211E-03  2.7925567E-04 -1.781181750325537E-05  2.7956010E-04  1.380637697300932E-03  2.7930059E-04  5.761801655382075E-04  2.7974876E-04  1.681360406725606E-03  2.7914998E-04  1.453058550179341E-03  2.7943520E-04 -2.723617336423229E-03  2.7953141E-04  3.448741708431577E-04          0
  31.5  1.043201864706830E-01  2.7519228E-04 -1.818266852650173E-02  2.7729698E-04  1.624982681951480E-03  2.7956676E-04 -3.647627350459915E-03  2.7919896E-04 -4.587164936867144E-04  2.7975686E-04  3.829780391993160E-03  2.7912634E-04  1.535114638039401E-03  2.7970223E-04 -1.079777160214719E-03  2.7923369E-04  5.740786493730441E-04  2.7937955E-04 -1.724640814311842E-03  2.7959225E-04  3.387959935816278E-04          0
  35.0  6.762166686924691E-02  2.7737853E-04 -1.302440137599946E-02  2.7778301E-04  1.484031095392144E-03  2.7960879E-04 -3.481661657253397E-03  2.7919650E-04  1.132712666774888E-04  2.7972092E-04  2.955372106855406E-03  2.7917099E-04  1.616968560090497E-03  2.7947287E-04 -2.636175603202629E-03  2.7949507E-04  1.074577996335867E-03  2.7959925E-04 -1.123534225330082E-03  2.7938651E-04  3.332519598036049E-04          0
