   1.0.0 # v: lpa-xrd version
1.25e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
     512 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.980122745564536E-01  8.2846481E-06 -1.675994595427971E-03  2.2750583E-05  9.929415224144159E-01  1.6066120E-05 -3.329833856254783E-03  4.2475922E-05  9.852283223844155E-01  2.4754207E-05 -4.950147260179685E-03  6.0554184E-05  9.751772310518880E-01  3.4247979E-05 -6.507262989011178E-03  7.7182115E-05  9.630986327286244E-01  4.4206725E-05 -7.955007504613429E-03  9.2455826E-05  7.009445955509111E-06          0
  10.0  9.927516497750020E-01  1.7388923E-05 -3.330347612514725E-03  4.2650143E-05  9.749897555748323E-01  3.4886910E-05 -6.502912282237771E-03  7.7262537E-05  9.490309858272697E-01  5.4991797E-05 -9.321365870052742E-03  1.0650828E-04  9.168436777212481E-01  7.5916942E-05 -1.163171014791021E-02  1.3109047E-04  8.801181270815078E-01  9.6433131E-05 -1.344296184024833E-02  1.5174560E-04  6.500392326444662E-06          0
  15.0  9.847423243805258E-01  2.6928993E-05 -4.946438688626372E-03  6.0861590E-05  9.487385914280621E-01  5.5600228E-05 -9.331301767353492E-03  1.0659874E-04  8.986617028221288E-01  8.6700541E-05 -1.260304558532916E-02  1.4190818E-04  8.400246031111416E-01  1.1598957E-04 -1.468702061202135E-02  1.6924713E-04  7.769975822894085E-01  1.4177675E-04 -1.566036358216701E-02  1.9072146E-04  6.162973215370103E-06          0
  20.0  9.742916411611116E-01  3.7126818E-05 -6.494845301418983E-03  7.7599426E-05  9.161879079281714E-01  7.6955848E-05 -1.165074601643973E-02  1.3120725E-04  8.397208014128399E-01  1.1629567E-04 -1.470156406679597E-02  1.6928509E-04  7.553076908504289E-01  1.4967842E-04 -1.570728700553776E-02  1.9688681E-04  6.695006299427634E-01  1.7647818E-04 -1.501333068858162E-02  2.1742272E-04  5.932977248123468E-06          0
  25.0  9.617166569216928E-01  4.7749321E-05 -7.936354914194811E-03  9.2947623E-05  8.791091548424375E-01  9.7666467E-05 -1.345051660410211E-02  1.5189452E-04  7.764312857190842E-01  1.4222262E-04 -1.565508223494659E-02  1.9077591E-04  6.692974081875578E-01  1.7659168E-04 -1.501553788838775E-02  2.1743194E-04  5.659936271296836E-01  2.0216347E-04 -1.220484191575468E-02  2.3608820E-04  5.754014420029577E-06          0
  30.0  9.473143802062740E-01  5.8564281E-05 -9.276817889268587E-03  1.0700365E-04  8.389554553375248E-01  1.1705223E-04 -1.471150822900228E-02  1.6937084E-04  7.116978354268875E-01  1.6424049E-04 -1.556243824011114E-02  2.0792479E-04  5.859267508257404E-01  1.9772989E-04 -1.293004339605366E-02  2.3288046E-04  4.703759283480051E-01  2.2142499E-04 -7.794920177335934E-03  2.4889976E-04  5.604918610534733E-06          0
  35.0  9.313205603332404E-01  6.9430642E-05 -1.050482922462746E-02  1.1989005E-04  7.968502553590805E-01  1.3483777E-04 -1.549124132546156E-02  1.8423234E-04  6.476087047081734E-01  1.8262702E-04 -1.458088791244149E-02  2.2175041E-04  5.073679059844286E-01  2.1442447E-04 -9.724092987297501E-03  2.4437590E-04  3.843683768256892E-01  2.3608978E-04 -2.192202208746079E-03  2.5741876E-04  5.478018279325074E-06          0
  40.0  9.139607873613571E-01  8.0285947E-05 -1.160497857452449E-02  1.3166762E-04  7.538463918828807E-01  1.5076309E-04 -1.575604906539664E-02  1.9698656E-04  5.854597174366308E-01  1.9795028E-04 -1.287224030991491E-02  2.3289979E-04  4.346260668685156E-01  2.2781230E-04 -5.652113304455317E-03  2.5275233E-04  3.086215044255048E-01  2.4735481E-04  3.900820205131043E-03  2.6290247E-04  5.369929447395377E-06          0
  45.0  8.954797171949201E-01  9.0910806E-05 -1.257301073073986E-02  1.4245754E-04  7.106037595854643E-01  1.6495263E-04 -1.557999466703516E-02  2.0798740E-04  5.260096923697674E-01  2.1080772E-04 -1.051277718650018E-02  2.4183272E-04  3.682767184501888E-01  2.3863499E-04 -1.008383868119697E-03  2.5871307E-04  2.433436822581369E-01  2.5585558E-04  9.946229063134904E-03  2.6645669E-04  5.275029781191294E-06          0
  50.0  8.760680317403382E-01  1.0123282E-04 -1.339131808353487E-02  1.5235716E-04  6.676723121267676E-01  1.7753146E-04 -1.500116294032922E-02  2.1751803E-04  4.697896172201422E-01  2.2163762E-04 -7.642040016764343E-03  2.4892254E-04  3.085547957276381E-01  2.4737429E-04  3.889764475889873E-03  2.6290010E-04  1.882415434348849E-01  2.6220267E-04  1.542733389583091E-02  2.6880068E-04  5.190888802069242E-06          0
  55.0  8.558901698724669E-01  1.1119837E-04 -1.407579004941232E-02  1.6145236E-04  6.254609415764187E-01  1.8867158E-04 -1.406218683412986E-02  2.2577767E-04  4.170570210722116E-01  2.3084991E-04 -4.407916622756525E-03  2.5445612E-04  2.555272148399698E-01  2.5438036E-04  8.721420971727248E-03  2.6585174E-04  1.429195352927909E-01  2.6687155E-04  2.000203225423461E-02  2.7034250E-04  5.114469115752146E-06          0
  60.0  8.351225249367079E-01  1.2075132E-04 -1.463154596370283E-02  1.6981822E-04  5.842941771307876E-01  1.9851920E-04 -1.281240127097413E-02  2.3294106E-04  3.679801054093645E-01  2.3871510E-04 -8.970232477328597E-04  2.5872303E-04  2.090327826167888E-01  2.5991735E-04  1.323654424051032E-02  2.6797251E-04  1.066530099928808E-01  2.7029608E-04  2.351655910680390E-02  2.7132611E-04  5.044172158075250E-06          0
  65.0  8.139194617413682E-01  1.2984737E-04 -1.504039760310304E-02  1.7753029E-04  5.443780514839659E-01  2.0726134E-04 -1.129919249668042E-02  2.3911849E-04  3.226662882339174E-01  2.4542543E-04  2.721086289803974E-03  2.6198001E-04  1.689472356413795E-01  2.6425303E-04  1.725622204403107E-02  2.6950069E-04  7.848301465010665E-02  2.7283379E-04  2.586039150577999E-02  2.7191991E-04  4.979033923132450E-06          0
  70.0  7.924289296272293E-01  1.3845679E-04 -1.532678286903311E-02  1.8464799E-04  5.058796003325247E-01  2.1504101E-04 -9.552584693297506E-03  2.4442130E-04  2.810552211285243E-01  2.5111973E-04  6.342587232508093E-03  2.6449291E-04  1.349337347749592E-01  2.6764939E-04  2.069269300510555E-02  2.7057587E-04  5.728286344744037E-02  2.7464423E-04  2.682602282397401E-02  2.7236272E-04  4.918920061843660E-06          0
