   1.0.0 # v: lpa-xrd version
1.28e+16 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  524288 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.5  9.044282178929720E-01  8.3264025E-05 -1.098381680365200E-04  1.4664825E-04  7.247248468181128E-01  1.5589152E-04 -3.974134712479983E-04  2.2333981E-04  5.305988857624836E-01  2.1291878E-04 -4.328950538824605E-04  2.5869901E-04  3.615237102397765E-01  2.4813777E-04 -3.214983028446123E-04  2.7249856E-04  2.327856336431544E-01  2.6628231E-04 -1.357221695037004E-04  2.7726573E-04  4.162392080302665E-03          0
   3.0  7.121466521002411E-01  1.6290186E-04 -1.385571730120537E-04  2.2465478E-04  3.539836125855211E-01  2.4966376E-04 -4.111155561439432E-04  2.7265136E-04  1.402817447634000E-01  2.7465833E-04 -4.386699975356910E-04  2.7881459E-04  4.846337705788290E-02  2.7895680E-04 -2.201352954184457E-04  2.7940232E-04  1.588458531009262E-02  2.7944379E-04 -1.225506068683199E-04  2.7950204E-04  3.588199871873632E-03          0
   4.5  5.055111143617897E-01  2.2083963E-04 -7.456876465029113E-05  2.5990579E-04  1.353440960828255E-01  2.7504231E-04 -4.173955007345117E-04  2.7881766E-04  2.662084554032150E-02  2.7935359E-04 -2.744648717711273E-04  2.7946472E-04  4.937737831752676E-03  2.7951515E-04  4.142400029111785E-05  2.7949490E-04  9.089788222288545E-04  2.7942923E-04  1.695969141724701E-04  2.7958736E-04  3.254221486084819E-03          0
   6.0  3.296966219325876E-01  2.5416387E-04 -1.489727328032191E-04  2.7325095E-04  4.427292226861303E-02  2.7901747E-04 -2.325193497500327E-04  2.7945114E-04  4.571914182182503E-03  2.7954253E-04 -7.399943248335601E-05  2.7946887E-04  4.108313806772871E-04  2.7947313E-04 -7.462757625485228E-05  2.7954349E-04  6.954463382085436E-05  2.7951113E-04 -1.805337437173724E-04  2.7950515E-04  3.017866858449444E-03          0
   7.5  2.003054356367184E-01  2.6997440E-04 -1.229274932979584E-04  2.7765886E-04  1.319018820510926E-02  2.7945059E-04 -2.219029203563045E-04  2.7951791E-04  8.264377967767199E-04  2.7947811E-04  1.305000510392794E-04  2.7953837E-04 -6.637174088835007E-05  2.7951680E-04  8.999553093903848E-05  2.7949964E-04  1.391990533635873E-05  2.7947882E-04 -2.031063806088839E-04  2.7953812E-04  2.835500639771509E-03          0
   9.0  1.147231452085442E-01  2.7632940E-04 -5.878067132230791E-05  2.7898974E-04  3.707605452731150E-03  2.7957977E-04 -1.016673495894071E-04  2.7943340E-04  7.519710294077857E-05  2.7950463E-04 -2.769857400713356E-05  2.7951219E-04  5.370199641981356E-04  2.7957567E-04 -1.179648270856021E-04  2.7944103E-04 -1.972289474069523E-04  2.7949714E-04  7.151250156856446E-05  2.7951908E-04  2.686203594643753E-03          0
  10.5  6.268253788052543E-02  2.7853649E-04 -7.013804385867705E-05  2.7938009E-04  9.178398925615349E-04  2.7952934E-04  5.210811490459209E-05  2.7948725E-04  5.116642182122928E-07  2.7952155E-04  6.493100411803159E-05  2.7949543E-04  1.508574594955902E-04  2.7947800E-04 -1.934429288851457E-04  2.7953862E-04 -4.527558903681111E-04  2.7949376E-04  2.342664970049300E-04  2.7952294E-04  2.559868746500349E-03          0
  12.0  3.311237737852447E-02  2.7922596E-04 -1.504906737269821E-05  2.7948394E-04  1.741923769065028E-04  2.7955603E-04  2.067608735607378E-04  2.7946102E-04  2.692061015201560E-04  2.7954620E-04  1.880740249724048E-04  2.7947078E-04  3.399315219566700E-04  2.7957577E-04  1.314283768408536E-04  2.7944125E-04 -4.912417495423896E-05  2.7953473E-04  1.414111091625890E-04  2.7948229E-04  2.449998690606137E-03          0
  13.5  1.711310710286445E-02  2.7942441E-04 -1.113967544326873E-04  2.7951002E-04 -1.428073833634667E-05  2.7952856E-04  3.410872095930841E-04  2.7948831E-04 -5.802627622623862E-05  2.7948387E-04  1.448126250343513E-04  2.7953344E-04  1.442143087583253E-04  2.7948077E-04  5.908657734718030E-04  2.7953587E-04  3.050281644758585E-04  2.7950104E-04  1.148016250782050E-04  2.7951539E-04  2.353361203510324E-03          0
  15.0  8.734275013121913E-03  2.7947505E-04 -4.159957029557068E-05  2.7951976E-04 -8.527358135643338E-05  2.7957244E-04  2.130822408063303E-04  2.7944351E-04 -1.841866935351293E-04  2.7950634E-04  1.092763055738426E-04  2.7951084E-04  4.601485412869600E-04  2.7957492E-04  7.034305578236420E-05  2.7944181E-04  6.175133280552091E-05  2.7951382E-04 -7.445137832494637E-05  2.7950303E-04  2.266982875163801E-03          0
