   1.0.1 # v: lpa-xrd version
3.20e+15 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  131072 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.8  9.712817006710638E-01  2.1036144E-05  1.236698170750558E-05  3.6422255E-05  9.150985475424164E-01  3.7877095E-05  6.033299423706845E-06  6.0385279E-05  8.442828318900254E-01  5.3713024E-05 -1.215998224637913E-05  7.8035026E-05  7.666311981041845E-01  6.7834543E-05 -3.688031784512612E-05  9.1006004E-05  6.874686151297764E-01  7.9946403E-05 -7.967459743737724E-05  1.0044596E-04  8.574844849222489E-04          0
   3.6  9.092346597327687E-01  4.0929021E-05  4.459403846117857E-06  6.1156885E-05  7.606290828886464E-01  6.9440576E-05  4.874995382331355E-06  9.1367885E-05  6.050648796052464E-01  9.0948690E-05 -1.036086297958705E-04  1.0741311E-04  4.657219265744166E-01  1.0530937E-04 -2.133194151139690E-04  1.1568008E-04  3.511272391389135E-01  1.1404988E-04 -2.875913946091448E-04  1.1995738E-04  7.152813740041394E-04          0
   5.4  8.292442922149396E-01  5.8852829E-05  1.560399189367909E-06  7.9355979E-05  5.969677774208265E-01  9.2284691E-05 -8.424219547283305E-05  1.0768907E-04  3.993313232532925E-01  1.1085000E-04 -2.549104531249476E-04  1.1823259E-04  2.577955251517143E-01  1.1926596E-04 -2.562330087723598E-04  1.2226514E-04  1.646538450860990E-01  1.2267712E-04 -3.031950048194477E-04  1.2390747E-04  6.324780036458971E-04          0
   7.2  7.404994121292984E-01  7.4353618E-05 -3.415388616624453E-05  9.2660189E-05  4.505011408806255E-01  1.0706272E-04 -1.589350482676658E-04  1.1595392E-04  2.528583803143388E-01  1.1959175E-04 -1.863908005836749E-04  1.2226910E-04  1.394989979546052E-01  1.2334134E-04 -1.581246644213605E-04  1.2421250E-04  7.750034867680697E-02  1.2445250E-04 -1.586616259602254E-04  1.2479517E-04  5.738826279350790E-04          0
   9.0  6.495435457227506E-01  8.7278654E-05 -5.737404820361618E-05  1.0221462E-04  3.313382965350093E-01  1.1570959E-04 -1.242948089021331E-04  1.2012688E-04  1.584454515727972E-01  1.2291953E-04 -1.516092063660149E-04  1.2392024E-04  7.644887616937425E-02  1.2447474E-04 -1.486480712181644E-04  1.2479328E-04  3.701265422847858E-02  1.2487578E-04 -7.673736732493401E-05  1.2495285E-04  5.286065784083799E-04          0
  10.8  5.610887206329358E-01  9.7687158E-05 -7.557351219906417E-05  1.0894519E-04  2.403797525784428E-01  1.2034627E-04 -1.656057975783593E-04  1.2231529E-04  1.002197939474753E-01  1.2414693E-04 -1.717734481923450E-04  1.2459387E-04  4.249283136011565E-02  1.2483524E-04 -3.678390196095697E-05  1.2493883E-04  1.728893902944640E-02  1.2497469E-04  4.774082624913279E-05  1.2498790E-04  4.917110097934053E-04          0
  12.6  4.783519741599160E-01  1.0580747E-04 -1.208628243022985E-04  1.1359625E-04  1.741362213296897E-01  1.2266263E-04 -1.980370390316665E-04  1.2351613E-04  6.459743225908554E-02  1.2463042E-04 -9.329486920505001E-05  1.2484721E-04  2.359993975076503E-02  1.2494830E-04 -7.353813066539845E-06  1.2498204E-04  7.819543776402581E-03  1.2498372E-04  1.719286270258267E-04  1.2500854E-04  4.607710230265598E-04          0
  14.4  4.035447763979846E-01  1.1192212E-04 -1.843198836156508E-04  1.1676640E-04  1.273978587853751E-01  1.2376934E-04 -1.357088568957379E-04  1.2419307E-04  4.236723297125299E-02  1.2483413E-04 -1.579276367639187E-05  1.2494128E-04  1.286836638740166E-02  1.2497481E-04  6.284114583129333E-05  1.2500443E-04  3.412525010323086E-03  1.2499238E-04  2.018149183202662E-04  1.2500606E-04  4.341680162256297E-04          0
  16.2  3.378763950578549E-01  1.1635896E-04 -2.168178687499022E-04  1.1892450E-04  9.484430803837295E-02  1.2429945E-04 -2.672039324828920E-05  1.2457325E-04  2.778328047132065E-02  1.2492939E-04 -3.476151447574877E-06  1.2497404E-04  6.815529770216447E-03  1.2499595E-04  1.148459313274959E-04  1.2499815E-04  1.371018935708134E-03  1.2499864E-04  7.212599101851396E-05  1.2500105E-04  4.109325993355643E-04          0
  18.0  2.817908530233785E-01  1.1945279E-04 -2.352333126152451E-04  1.2041404E-04  7.202774929041701E-02  1.2456666E-04  1.442570766582461E-04  1.2478370E-04  1.784902748409684E-02  1.2497282E-04  5.499938049399876E-05  1.2498730E-04  3.457100704058324E-03  1.2499949E-04  1.471475868665271E-04  1.2499891E-04  5.172473480611744E-04  1.2500049E-04  1.394413037708572E-04  1.2499939E-04  3.903429415328871E-04          0
