   1.0.1 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.675955532540225E-01  2.0901558E-05 -3.498524680011977E-04  3.9440223E-05  9.004429823554342E-01  3.8954544E-05 -6.657941612838725E-04  6.6294246E-05  8.139062813487907E-01  5.6649497E-05 -9.461507825295245E-04  8.5668654E-05  7.187144727172295E-01  7.2546174E-05 -1.100144250111618E-03  9.9218583E-05  6.224185124960288E-01  8.5985608E-05 -1.198333411144760E-03  1.0839465E-04  2.512532388014260E-04          0
   7.0  8.950515664389680E-01  4.1702969E-05 -6.799776980310260E-04  6.6901156E-05  7.135409159332924E-01  7.3811134E-05 -1.077686857839422E-03  9.9452258E-05  5.261702740417524E-01  9.7362772E-05 -1.133873126511213E-03  1.1453392E-04  3.669676570266536E-01  1.1153807E-04 -9.652689543150843E-04  1.2083109E-04  2.459122874754461E-01  1.1894763E-04 -7.060123321085041E-04  1.2333265E-04  2.156927887347361E-04          0
  10.5  8.005720467754124E-01  6.0980262E-05 -9.160663298290320E-04  8.6616741E-05  5.198248877257043E-01  9.8252538E-05 -1.065456233861406E-03  1.1467957E-04  2.977694402680857E-01  1.1617517E-04 -8.062607288924372E-04  1.2239990E-04  1.582821428136997E-01  1.2250288E-04 -3.300450882266453E-04  1.2433626E-04  8.110983935105398E-02  1.2435356E-04  1.136020509398673E-05  1.2482031E-04  1.948529977489361E-04          0
  14.0  6.963449669235839E-01  7.7691550E-05 -1.027854784723527E-03  1.0030221E-04  3.561027010549258E-01  1.1249411E-04 -8.117209381585087E-04  1.2096080E-04  1.555152601485214E-01  1.2261135E-04 -3.253780002386189E-04  1.2433860E-04  6.355726699735158E-02  1.2460844E-04  2.514432319543586E-05  1.2488408E-04  2.567726103552310E-02  1.2493308E-04  3.588093049504341E-04  1.2498303E-04  1.801081912092003E-04          0
  17.5  5.912731056750145E-01  9.1341891E-05 -1.057087499319950E-03  1.0945748E-04  2.331938253538204E-01  1.1966545E-04 -5.473687064240858E-04  1.2341047E-04  7.799124758122285E-02  1.2441051E-04 -4.566340484456742E-05  1.2482572E-04  2.524937160947097E-02  1.2494400E-04  3.293494697520795E-04  1.2497477E-04  8.268550106973886E-03  1.2501176E-04  5.114016949726856E-04  1.2497865E-04  1.686988125159452E-04          0
  21.0  4.916208460390502E-01  1.0190677E-04 -1.007651140570047E-03  1.1537546E-04  1.480374815397293E-01  1.2287284E-04 -2.585326440940313E-04  1.2436580E-04  3.865066200968351E-02  1.2486866E-04  1.437146267922676E-04  1.2494288E-04  1.010358807258099E-02  1.2501347E-04  5.355800992685998E-04  1.2497263E-04  2.727252769140785E-03  1.2501818E-04  5.149383914241867E-04  1.2498028E-04  1.593783363618357E-04          0
  24.5  4.012372904261419E-01  1.0969690E-04 -9.368785013982178E-04  1.1910042E-04  9.214044712456107E-02  1.2418927E-04  1.005761810854710E-05  1.2474467E-04  1.923144126498125E-02  1.2497492E-04  2.931044997054491E-04  1.2497748E-04  4.064909244640886E-03  1.2501967E-04  5.012889741595443E-04  1.2497753E-04  1.134106066270171E-03  1.2501548E-04 -2.544595361912753E-05  1.2498408E-04  1.514884732696932E-04          0
  28.0  3.221554958457673E-01  1.1519125E-04 -8.096898533018735E-04  1.2139616E-04  5.680703777096974E-02  1.2470216E-04  1.951575982635929E-04  1.2489235E-04  9.637321614940887E-03  1.2501117E-04  4.964302491383473E-04  1.2497618E-04  1.706822799725318E-03  1.2502580E-04  2.779411634689334E-04  1.2497342E-04  4.445110688691446E-04  1.2500780E-04 -2.134853656103405E-04  1.2499192E-04  1.446814117054604E-04          0
  31.5  2.550639190183778E-01  1.1890111E-04 -6.701983961453937E-04  1.2279572E-04  3.493541274056933E-02  1.2489792E-04  3.314014550143072E-04  1.2494800E-04  4.886569643069180E-03  1.2502531E-04  5.460754223995640E-04  1.2497095E-04  8.198778978103006E-04  1.2502585E-04 -1.387095136334839E-04  1.2497382E-04  2.804801810908808E-04  1.2497817E-04 -2.795923794120982E-04  1.2502159E-04  1.386949809475001E-04          0
  35.0  1.995617099860583E-01  1.2131026E-04 -5.055951495223595E-04  1.2364724E-04  2.150591669853073E-02  1.2497301E-04  3.821036653584333E-04  1.2496792E-04  2.532151841876265E-03  1.2502445E-04  3.817893962384349E-04  1.2497425E-04  5.039617880875478E-04  1.2502065E-04 -4.006486962390679E-04  1.2497910E-04  2.795734310411140E-04  1.2499803E-04 -6.083716249079473E-05  1.2500178E-04  1.333497006496564E-04          0
