   1.0.0 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.623739157677860E-01  4.7712404E-05 -1.390875546761902E-04  9.6226914E-05  8.814688460606515E-01  9.1793686E-05 -1.494165304440689E-04  1.6253401E-04  7.764933392733345E-01  1.3615695E-04 -2.051295361849738E-04  2.0856037E-04  6.618325353460540E-01  1.7585477E-04 -1.375877881598073E-04  2.3849218E-04  5.483775259989880E-01  2.0816269E-04 -1.457169109888087E-04  2.5675820E-04  2.881784076864483E-04          0
   7.0  8.762677695682975E-01  9.7450452E-05 -2.441084989299018E-04  1.6363128E-04  6.572512587788786E-01  1.7802910E-04 -2.245449220435832E-04  2.3885867E-04  4.399683752412659E-01  2.3340993E-04 -4.314836618131705E-05  2.6742733E-04  2.696660680559274E-01  2.6187422E-04  1.304127025049499E-04  2.7622993E-04  1.547654833982722E-01  2.7355978E-04  4.913328074160398E-04  2.7868818E-04  2.523413398769162E-04          0
  10.5  7.639056594127920E-01  1.4460166E-04 -3.170492766437528E-04  2.1013413E-04  4.347568038592629E-01  2.3477691E-04  5.493343600136753E-05  2.6756265E-04  2.032522932237692E-01  2.6940183E-04  2.926216990777548E-04  2.7787019E-04  8.360679201087950E-02  2.7773561E-04  4.959604877473633E-04  2.7931407E-04  3.198832413107287E-02  2.7928337E-04  4.629390805171132E-04  2.7944201E-04  2.313240298529538E-04          0
  14.0  6.416241653420275E-01  1.8514724E-04 -3.102541414408504E-04  2.4008289E-04  2.621624474861428E-01  2.6291790E-04  9.303142405082239E-05  2.7636724E-04  8.215305296884565E-02  2.7776298E-04  4.681226691044058E-04  2.7935490E-04  2.231369538853144E-02  2.7942905E-04  2.179693769429802E-04  2.7944355E-04  5.533627206736376E-03  2.7949179E-04 -2.414709443878501E-04  2.7951354E-04  2.166188454825166E-04          0
  17.5  5.214473698575413E-01  2.1708946E-04 -2.795861391817179E-04  2.5812861E-04  1.470858750242179E-01  2.7415235E-04  3.337606364958415E-04  2.7875642E-04  3.068385567068431E-02  2.7929932E-04  3.386616932528356E-04  2.7944966E-04  5.343068079162074E-03  2.7947792E-04 -5.373181075662032E-04  2.7952807E-04  7.584642539380451E-04  2.7950079E-04 -1.109998961822688E-03  2.7951426E-04  2.052006485486901E-04          0
  21.0  4.115397119127593E-01  2.4037586E-04 -1.701149933429435E-04  2.6832763E-04  7.836331867858072E-02  2.7796634E-04  3.608678503406973E-04  2.7932289E-04  1.087704661946553E-02  2.7948640E-04 -2.187003222475781E-04  2.7949430E-04  1.300610584074256E-03  2.7952940E-04 -1.049438522760402E-03  2.7948509E-04  5.043645018019949E-04  2.7947292E-04 -9.553519123180183E-04  2.7954262E-04  1.958519636424164E-04          0
  24.5  3.164172853246310E-01  2.5622019E-04 -1.335964372682456E-04  2.7377260E-04  4.058609214743282E-02  2.7913353E-04  1.984719489653820E-04  2.7941763E-04  4.016497826691409E-03  2.7950344E-04 -6.499377101265283E-04  2.7950638E-04  6.309711511241035E-04  2.7943204E-04 -9.149893734270571E-04  2.7958372E-04  2.552249046832047E-04  2.7945044E-04 -3.551150573589512E-04  2.7956569E-04  1.879471736539366E-04          0
  28.0  2.377873614186616E-01  2.6628255E-04 -5.262159504604416E-05  2.7659201E-04  2.072738255378511E-02  2.7943120E-04  2.266938089124241E-05  2.7946165E-04  1.615255542945388E-03  2.7953825E-04 -6.726971884467464E-04  2.7947574E-04  3.205155816389940E-04  2.7949884E-04 -3.497114310632374E-04  2.7951750E-04  2.600323019916862E-04  2.7960419E-04 -1.599861319313514E-05  2.7941215E-04  1.810748184644519E-04          0
  31.5  1.749949345054861E-01  2.7234056E-04  8.126585307103912E-05  2.7801213E-04  1.064909489814325E-02  2.7951303E-04 -1.120374552914452E-04  2.7946893E-04  8.023862706078891E-04  2.7947816E-04 -5.655471292133004E-04  2.7953713E-04  2.719819020418809E-04  2.7952122E-04  2.200452474578924E-04  2.7949505E-04  1.414409229163484E-04  2.7950366E-04  2.910775710297146E-05  2.7951227E-04  1.750236710204577E-04          0
  35.0  1.265827453209901E-01  2.7579328E-04  1.530415400303855E-04  2.7871146E-04  5.669140986719025E-03  2.7946274E-04 -3.571762402750830E-04  2.7954244E-04  4.595073901142028E-04  2.7953958E-04 -3.226057941488388E-04  2.7947681E-04 -2.529815407942411E-04  2.7956147E-04  4.046114892914656E-04  2.7945455E-04  2.096504936965965E-04  2.7954584E-04  2.552146582116629E-04  2.7947092E-04  1.696259394921360E-04          0
  38.5  9.026130324215430E-02  2.7765790E-04  1.084097850245971E-04  2.7906870E-04  3.122315604708675E-03  2.7954173E-04 -3.352066849485148E-04  2.7947038E-04  1.774213022798990E-04  2.7958190E-04 -2.861262392684049E-04  2.7943436E-04  2.643158152639514E-04  2.7954248E-04  2.909875149646263E-04  2.7947375E-04  5.225494736776000E-04  2.7957800E-04  1.863156051119226E-04  2.7943905E-04  1.647293115109424E-04          0
  42.0  6.353194243614042E-02  2.7860344E-04  1.064906659044361E-04  2.7927795E-04  1.629325332822861E-03  2.7958191E-04 -2.597834824882094E-04  2.7943258E-04 -2.071404735286884E-05  2.7954065E-04 -4.441308679833016E-04  2.7947521E-04  5.366650263788967E-04  2.7947794E-04  5.268400319165391E-04  2.7953866E-04  5.624800209144528E-04  2.7951561E-04  3.636136797482614E-04  2.7950089E-04  1.602658944802260E-04          0
  45.5  4.423170836797528E-02  2.7907649E-04  9.338292816873101E-05  2.7938787E-04  8.438846075039719E-04  2.7951159E-04 -2.703098877629373E-04  2.7950326E-04 -9.842065767725526E-05  2.7957060E-04 -1.395112422906601E-04  2.7944554E-04  3.105387643915050E-05  2.7952104E-04  4.461127155528841E-04  2.7949532E-04  4.880059185000163E-05  2.7952154E-04 -1.096538613948375E-04  2.7949508E-04  1.561575538476901E-04          0
  49.0  3.064602929567150E-02  2.7934718E-04  1.063406484392110E-04  2.7940250E-04  7.412337118494788E-04  2.7949699E-04 -3.147214934059722E-04  2.7951819E-04  1.348282555170019E-04  2.7950690E-04 -1.545593401727024E-05  2.7950929E-04 -7.675005369451964E-05  2.7953817E-04 -1.733976547585986E-05  2.7947837E-04 -1.581760969478969E-04  2.7952742E-04 -6.591329233261756E-05  2.7948957E-04  1.523639284144215E-04          0
