   1.0.0 # v: lpa-xrd version
1.25e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
     512 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.987074824540638E-01  8.1852302E-06  1.027581553728472E-04  1.8331295E-05  9.956972119527647E-01  1.4924194E-05  2.041479605826705E-04  3.3439250E-05  9.912797957162155E-01  2.2199624E-05  3.052580094713079E-04  4.7108070E-05  9.856829400534336E-01  2.9467953E-05  4.259240636154082E-04  5.9765340E-05  9.790870275402521E-01  3.6590090E-05  5.421439867613431E-04  7.1594115E-05  4.735829973111742E-06          0
  10.0  9.954913317696349E-01  1.6480599E-05  2.024206475832235E-04  3.3666639E-05  9.854877530736006E-01  3.0209523E-05  3.957642443280601E-04  5.9899633E-05  9.713660017171968E-01  4.4257385E-05  6.293795803133599E-04  8.2812920E-05  9.540578486500602E-01  5.8113013E-05  8.429278664933755E-04  1.0317212E-04  9.341539240150413E-01  7.1811570E-05  9.784093178137252E-04  1.2138479E-04  4.199257523542248E-06          0
  15.0  9.907672561834054E-01  2.4654435E-05  3.045494489896917E-04  4.7571050E-05  9.710243812167513E-01  4.5121896E-05  6.242393091065849E-04  8.2972765E-05  9.440362328808655E-01  6.5598275E-05  9.313450410073097E-04  1.1264688E-04  9.118417946739832E-01  8.5601548E-05  1.132392851271608E-03  1.3782577E-04  8.759155857965749E-01  1.0475813E-04  1.298864853674330E-03  1.5930865E-04  3.865527493854935E-06          0
  20.0  9.847444343209775E-01  3.2806441E-05  4.116476611209890E-04  6.0441187E-05  9.532233381629374E-01  5.9678164E-05  8.362276793015485E-04  1.0348334E-04  9.113636716494520E-01  8.6165601E-05  1.156787750682735E-03  1.3796823E-04  8.628631016435950E-01  1.1134538E-04  1.390301077070470E-03  1.6583187E-04  8.104454692330113E-01  1.3458230E-04  1.564638404839765E-03  1.8836629E-04  3.632730576331931E-06          0
  25.0  9.775826089761356E-01  4.0853795E-05  5.156539035143781E-04  7.2494691E-05  9.327043844217864E-01  7.3931863E-05  1.014313935915680E-03  1.2185278E-04  8.748338543636884E-01  1.0581388E-04  1.347134516459633E-03  1.5954009E-04  8.098470977537926E-01  1.3501208E-04  1.547520147542188E-03  1.8846149E-04  7.419453221052149E-01  1.6079765E-04  1.736875412847950E-03  2.1057703E-04  3.449762916563112E-06          0
  30.0  9.693962265378031E-01  4.8837823E-05  6.238668431452012E-04  8.3838413E-05  9.099935824564085E-01  8.7816143E-05  1.177349922466189E-03  1.3834013E-04  8.356460930566891E-01  1.2431779E-04  1.493224974917439E-03  1.7793890E-04  7.549001917338463E-01  1.5633288E-04  1.695282745814694E-03  2.0671573E-04  6.733408626380422E-01  1.8343413E-04  1.822866742099024E-03  2.2739985E-04  3.302214663723892E-06          0
  35.0  9.602739119924597E-01  5.6766300E-05  7.249867126738978E-04  9.4556759E-05  8.855058136783464E-01  1.0128442E-04  1.317873692955173E-03  1.5315854E-04  7.948332665841539E-01  1.4149050E-04  1.631146536180161E-03  1.9362039E-04  6.995730947047760E-01  1.7534207E-04  1.789642066249327E-03  2.2133983E-04  6.065649277170100E-01  2.0262062E-04  1.844848503124781E-03  2.4009959E-04  3.178977470033201E-06          0
  40.0  9.503136152884855E-01  6.4622703E-05  8.211799651972346E-04  1.0468771E-04  8.596547211001793E-01  1.1420004E-04  1.456651130685310E-03  1.6649233E-04  7.531254544950234E-01  1.5737668E-04  1.732634783179394E-03  2.0693583E-04  6.449796941342200E-01  1.9206884E-04  1.786991699222739E-03  2.3303801E-04  5.430335442548733E-01  2.1861055E-04  1.746618729543692E-03  2.4962986E-04  3.073035480005125E-06          0
  45.0  9.395995932150362E-01  7.2360542E-05  9.134146751101124E-04  1.1428956E-04  8.327263918919668E-01  1.2658618E-04  1.569459154021171E-03  1.7847734E-04  7.112046786465214E-01  1.7193420E-04  1.761389734348669E-03  2.1820561E-04  5.920228424838625E-01  2.0662718E-04  1.738967729299315E-03  2.4234250E-04  4.837402867156328E-01  2.3167011E-04  1.675076524055281E-03  2.5678627E-04  2.978912021254803E-06          0
  50.0  9.282001974301677E-01  7.9994516E-05  9.935579287312962E-04  1.2338748E-04  8.050319771528707E-01  1.3838557E-04  1.649458633549280E-03  1.8923677E-04  6.695880884510499E-01  1.8514760E-04  1.768525297147592E-03  2.2774520E-04  5.413479089761891E-01  2.1914544E-04  1.744934095808862E-03  2.4973287E-04  4.290812397392403E-01  2.4220993E-04  1.575449938499187E-03  2.6217260E-04  2.894853571138274E-06          0
