   1.0.1 # v: lpa-xrd version
1.25e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
     512 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.981142389654478E-01  3.7022163E-06  3.362613309009938E-03  9.9671642E-06  9.933421257253304E-01  6.8955713E-06  6.705579225930895E-03  1.8668966E-05  9.860544903049291E-01  1.0285496E-05  9.976931213174459E-03  2.6800945E-05  9.765018994167070E-01  1.3842948E-05  1.316334307079615E-02  3.4458681E-05  9.648788578064980E-01  1.7562053E-05  1.625677502322550E-02  4.1683905E-05  6.673412277035595E-06          0
  10.0  9.931545814209681E-01  7.4652280E-06  6.696592382659895E-03  1.8761821E-05  9.762804868452073E-01  1.4203866E-05  1.317013696406827E-02  3.4508395E-05  9.511629834641672E-01  2.1620227E-05  1.921018595186775E-02  4.8532873E-05  9.191771765138014E-01  2.9545211E-05  2.470710997411237E-02  6.0959799E-05  8.815448288498722E-01  3.7781194E-05  2.954652367331560E-02  7.1862995E-05  6.114090467075795E-06          0
  15.0  9.855386457383251E-01  1.1343430E-05  9.965759697404441E-03  2.6968140E-05  9.508136155376161E-01  2.1979159E-05  1.921306560063515E-02  4.8586933E-05  9.006463808428634E-01  3.3863592E-05  2.719678780031125E-02  6.6631881E-05  8.391003213217584E-01  4.6272660E-05  3.366562962901341E-02  8.1336797E-05  7.698440316299341E-01  5.8556567E-05  3.853414317355615E-02  9.2989106E-05  5.792873591891260E-06          0
  20.0  9.755341103965062E-01  1.5313919E-05  1.314801509079614E-02  3.4695549E-05  9.183590413275645E-01  3.0145024E-05  2.468659125242277E-02  6.1055850E-05  8.386459750829947E-01  4.6476482E-05  3.365962821387258E-02  8.1370304E-05  7.452019386657672E-01  6.2664484E-05  3.976738285431741E-02  9.6274841E-05  6.456235742102059E-01  7.7508502E-05  4.311901266266695E-02  1.0665407E-04  5.563021748591605E-06          0
  25.0  9.633486249518317E-01  1.9386476E-05  1.622311729224227E-02  4.1986261E-05  8.801747282192611E-01  3.8549427E-05  2.950880848645055E-02  7.1988439E-05  7.688735340314731E-01  5.8888951E-05  3.848479651274608E-02  9.3039268E-05  6.451595939732666E-01  7.7613845E-05  4.307831485194486E-02  1.0667115E-04  5.214623226128058E-01  9.3155216E-05  4.395985088528756E-02  1.1481524E-04  5.384735478874693E-06          0
  30.0  9.491774298548549E-01  2.3541880E-05  1.916510687159505E-02  4.8860970E-05  8.374292633277145E-01  4.7016954E-05  3.361006711136750E-02  8.1461045E-05  6.946705526682428E-01  7.0596903E-05  4.170313129593799E-02  1.0201488E-04  5.452503263170297E-01  9.0420529E-05  4.398491898529314E-02  1.1354601E-04  4.063504006214557E-01  1.0497014E-04  4.198554992627279E-02  1.1937500E-04  5.237600454180652E-06          0
  35.0  9.331905068598891E-01  2.7774175E-05  2.195931529384454E-02  5.5331958E-05  7.912135430612300E-01  5.5373480E-05  3.698028144409456E-02  8.9568529E-05  6.189017709006368E-01  8.1254843E-05  4.344478950353130E-02  1.0871753E-04  4.502308810738279E-01  1.0078972E-04  4.297757016258416E-02  1.1789020E-04  3.057958697080255E-01  1.1317512E-04  3.818780380235672E-02  1.2182612E-04  5.112983160106560E-06          0
  40.0  9.155540052207435E-01  3.2068093E-05  2.459377796796493E-02  6.1407198E-05  7.425523301089253E-01  6.3473295E-05  3.962180434688774E-02  9.6413180E-05  5.440299494518301E-01  9.0630160E-05  4.390301504136362E-02  1.1358031E-04  3.634924910735339E-01  1.0872632E-04  4.057040004433330E-02  1.2055320E-04  2.223709161163551E-01  1.1843447E-04  3.333007365800325E-02  1.2314243E-04  5.005055849035614E-06          0
  45.0  8.964375327447006E-01  3.6396308E-05  2.705376329116631E-02  6.7094576E-05  6.923847342959562E-01  7.1186826E-05  4.156846682401993E-02  1.0211749E-04  4.719819696406812E-01  9.8620022E-05  4.330122134242383E-02  1.1702123E-04  2.870242993789767E-01  1.1449357E-04  3.719378251686779E-02  1.2216511E-04  1.563339732960091E-01  1.2155760E-04  2.801097712640776E-02  1.2387011E-04  4.909243757938123E-06          0
  50.0  8.759805806059304E-01  4.0750002E-05  2.934366024556543E-02  7.2402979E-05  6.415542301482310E-01  7.8418080E-05  4.286112413736466E-02  1.0680881E-04  4.042434302291748E-01  1.0521758E-04  4.180757779632612E-02  1.1941394E-04  2.217317001082428E-01  1.1847441E-04  3.319538940970288E-02  1.2315087E-04  1.062439043671853E-01  1.2329082E-04  2.269279183939584E-02  1.2428119E-04  4.824267667950416E-06          0
  55.0  8.543500219163213E-01  4.5096306E-05  3.144926606267257E-02  7.7342426E-05  5.908155083878173E-01  8.5096413E-05  4.352639472601890E-02  1.1061616E-04  3.418859173995982E-01  1.1050108E-04  3.964916943242669E-02  1.2105919E-04  1.676228065357731E-01  1.2109626E-04  2.893699363067494E-02  1.2376060E-04  6.982127991071072E-02  1.2419169E-04  1.771256947040483E-02  1.2451823E-04  4.747424790618155E-06          0
