   1.0.1 # v: lpa-xrd version
2.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    8192 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.767114586560978E-01  1.5262783E-05  3.501328437768394E-04  3.4708461E-05  9.228410105327945E-01  2.9866846E-05  7.107195169007201E-04  6.1162924E-05  8.480175140342572E-01  4.5858878E-05  1.112322525334666E-03  8.1653551E-05  7.603752471278765E-01  6.1728234E-05  1.585704160603574E-03  9.6756260E-05  6.667803457184472E-01  7.6319295E-05  2.115331196175588E-03  1.0732684E-04  8.507070061251752E-05          0
  10.0  9.200382450810342E-01  3.1789598E-05  7.118887083655283E-04  6.1512707E-05  7.576308996648364E-01  6.2591042E-05  1.552793588267553E-03  9.6875187E-05  5.707651754985750E-01  8.9263128E-05  2.670007912831118E-03  1.1440044E-04  3.988667341370878E-01  1.0721956E-04  3.683648939306801E-03  1.2152294E-04  2.612078313489383E-01  1.1723217E-04  4.304553453276704E-03  1.2394503E-04  7.609887025274823E-05          0
  15.0  8.410029561165800E-01  4.8862064E-05  1.125013238628588E-03  8.2178091E-05  5.674232105132986E-01  8.9838929E-05  2.641469334463708E-03  1.1447003E-04  3.231844641183386E-01  1.1322637E-04  4.066586502635224E-03  1.2309524E-04  1.607789983491625E-01  1.2201595E-04  4.380544846744469E-03  1.2468006E-04  7.181987065401189E-02  1.2439310E-04  3.632345514698706E-03  1.2493695E-04  7.087354072653717E-05          0
  20.0  7.485023789579001E-01  6.5254409E-05  1.575423113659099E-03  9.7335682E-05  3.931532181610556E-01  1.0781950E-04  3.631469164984141E-03  1.2157563E-04  1.593131923513230E-01  1.2207019E-04  4.386072312455732E-03  1.2468642E-04  5.350253258132457E-02  1.2465458E-04  3.241597038753476E-03  1.2496670E-04  1.601026927830630E-02  1.2492973E-04  1.675077578772361E-03  1.2502645E-04  6.717059982496691E-05          0
  25.0  6.501220789618584E-01  7.9957888E-05  2.075032351377696E-03  1.0787361E-04  2.546886414381197E-01  1.1764730E-04  4.244252064625778E-03  1.2397802E-04  7.047510665823307E-02  1.2440909E-04  3.577269104325554E-03  1.2494583E-04  1.587229436399253E-02  1.2493267E-04  1.687417727274980E-03  1.2502404E-04  3.399224687369130E-03  1.2501896E-04  4.719943067286337E-04  1.2497277E-04  6.431039461269784E-05          0
  30.0  5.521210755147162E-01  9.2341643E-05  2.600851415291774E-03  1.1482017E-04  1.556713120199046E-01  1.2220807E-04  4.232631937366465E-03  1.2469684E-04  2.881304612287772E-02  1.2486864E-04  2.377758805318659E-03  1.2501220E-04  4.547647493370088E-03  1.2500798E-04  7.040960193820970E-04  1.2498203E-04  6.577480822177249E-04  1.2500827E-04  3.223751577475141E-04  1.2498655E-04  6.197291654053163E-05          0
  35.0  4.591745803224433E-01  1.0220777E-04  3.086885265685870E-03  1.1916990E-04  9.056239389203199E-02  1.2404119E-04  3.751846260886220E-03  1.2490457E-04  1.127042052340309E-02  1.2494487E-04  1.383253268215355E-03  1.2502880E-04  1.309902054768440E-03  1.2502198E-04  2.738776273992288E-04  1.2497202E-04 -1.870566991338047E-04  1.2502823E-04  6.029937980085284E-04  1.2496786E-04  5.999978078357629E-05          0
  40.0  3.745165702958194E-01  1.0967166E-04  3.497857463821972E-03  1.2176350E-04  5.062597319572125E-02  1.2468807E-04  2.995243036009375E-03  1.2497203E-04  4.341557098508808E-03  1.2499773E-04  7.211679251288975E-04  1.2499255E-04  2.790957406018623E-04  1.2501698E-04  3.788634384290695E-04  1.2497829E-04 -5.760869753289675E-04  1.2502923E-04  7.375007786116720E-04  1.2496811E-04  5.828388684752833E-05          0
  45.0  2.999428220272185E-01  1.1505085E-04  3.787447988285503E-03  1.2325020E-04  2.738102604241791E-02  1.2487649E-04  2.212522985919230E-03  1.2501485E-04  1.724863483008638E-03  1.2502066E-04  3.266816251834443E-04  1.2497283E-04 -3.772115643971393E-04  1.2502246E-04  5.658432685142889E-04  1.2497369E-04 -2.109425333876803E-04  1.2500566E-04  5.391259645982845E-04  1.2499271E-04  5.676810004678718E-05          0
  50.0  2.361718338561302E-01  1.1876209E-04  3.964950678758321E-03  1.2406760E-04  1.450968923108311E-02  1.2493004E-04  1.532487398343166E-03  1.2503201E-04  6.480706783267581E-04  1.2500441E-04  2.346305532159015E-04  1.2499012E-04 -6.275714656591673E-04  1.2502476E-04  7.593814023645200E-04  1.2497247E-04  3.703503834138355E-04  1.2502268E-04 -5.466433693932552E-06  1.2497575E-04  5.541489154103866E-05          0
  55.0  1.830070844576025E-01  1.2121634E-04  3.976673956716742E-03  1.2450585E-04  7.597817281173687E-03  1.2497152E-04  1.024519372903304E-03  1.2501220E-04  1.443990577247106E-04  1.2501324E-04  4.259072922229582E-04  1.2498205E-04 -2.883506346846459E-04  1.2500755E-04  6.431907852228594E-04  1.2499067E-04  3.904134072645577E-04  1.2500433E-04 -5.454613372601458E-04  1.2499449E-04  5.419018490853708E-05          0
  60.0  1.397226149384485E-01  1.2277817E-04  3.887869784986988E-03  1.2473360E-04  4.015182958463713E-03  1.2500245E-04  6.935278449968565E-04  1.2498804E-04 -2.656451755703945E-04  1.2502219E-04  6.208443087638817E-04  1.2497388E-04  1.154539537081248E-04  1.2501255E-04  2.563456331175043E-04  1.2498583E-04  2.924598167385763E-04  1.2499024E-04 -2.411533433741290E-04  1.2500869E-04  5.307335890010979E-05          0
