   1.0.0 # v: lpa-xrd version
3.20e+15 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
  131072 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   1.8  9.299660200914147E-01  5.5742172E-05 -3.605360632020533E-03  1.3147998E-04  7.696011820822103E-01  1.2495479E-04 -6.472216384866000E-03  2.1460900E-04  5.729373302211747E-01  1.9189571E-04 -8.130112406039934E-03  2.5592012E-04  3.863091225897094E-01  2.3844536E-04 -8.328164172773565E-03  2.7173038E-04  2.368274111370127E-01  2.6350008E-04 -7.532200900812211E-03  2.7686268E-04  1.962909675394708E-03          0
   3.6  7.648129682186270E-01  1.2863412E-04 -6.429046319594763E-03  2.1517536E-04  3.834642751727931E-01  2.3915708E-04 -8.312585138195192E-03  2.7180166E-04  1.318756902136135E-01  2.7429308E-04 -6.094342014441092E-03  2.7858578E-04  3.223528474349126E-02  2.7917550E-04 -3.041436589559405E-03  2.7936819E-04  6.113660166296519E-03  2.7951408E-04 -1.205043958982115E-03  2.7947019E-04  1.821020966230493E-03          0
   5.4  5.632123447678865E-01  1.9591208E-04 -7.895757565292545E-03  2.5644293E-04  1.302193397726983E-01  2.7442675E-04 -5.998725499097186E-03  2.7861246E-04  1.416630917124650E-02  2.7945627E-04 -2.002460985203981E-03  2.7944388E-04  1.090852284660422E-03  2.7954728E-04 -4.468574700237335E-04  2.7946431E-04  3.673924999531212E-04  2.7957141E-04  9.981469692481455E-05  2.7944412E-04  1.738581538293162E-03          0
   7.2  3.739435543029772E-01  2.4142537E-04 -7.959400797183665E-03  2.7207887E-04  3.136423377409474E-02  2.7919642E-04 -3.066977846732277E-03  2.7937300E-04  1.125037581940054E-03  2.7952291E-04 -3.595934684895573E-04  2.7948914E-04  3.509046902395156E-04  2.7954596E-04 -8.548368726506716E-05  2.7946957E-04  2.032476282595321E-04  2.7942541E-04 -5.261514867683491E-05  2.7959077E-04  1.679125930730762E-03          0
   9.0  2.249509618752265E-01  2.6512401E-04 -6.974896594164570E-03  2.7712306E-04  5.584777381352440E-03  2.7951584E-04 -1.273387984935757E-03  2.7947346E-04  5.237089218679333E-04  2.7954526E-04 -2.718079369299943E-05  2.7946974E-04  1.815160010186666E-04  2.7942652E-04  1.353114344573791E-04  2.7958971E-04  1.534845865468479E-05  2.7951045E-04 -6.690530125812730E-05  2.7950598E-04  1.633076992048637E-03          0
  10.8  1.231835193350765E-01  2.7496566E-04 -5.548144280128599E-03  2.7871078E-04  9.532937922755440E-04  2.7950942E-04 -6.419356002461860E-04  2.7950308E-04  4.547500879588998E-04  2.7943239E-04  9.994195146962887E-05  2.7958323E-04  2.115211067496556E-05  2.7946987E-04 -3.881569121001442E-04  2.7954641E-04  4.540885202383387E-04  2.7958819E-04 -8.031433203847182E-06  2.7942843E-04  1.595518033454016E-03          0
  12.6  6.178272831984770E-02  2.7828575E-04 -4.101807371908061E-03  2.7924993E-04  2.317069905084372E-04  2.7951197E-04 -4.272278832355853E-04  2.7950296E-04  1.051717172122243E-04  2.7940485E-04 -1.419656545950386E-04  2.7961138E-04  3.214849299638963E-05  2.7952228E-04  2.678915328466480E-04  2.7949451E-04 -1.785124489060141E-04  2.7955037E-04  3.449903239128576E-04  2.7946629E-04  1.563830669876890E-03          0
  14.4  2.868747123553721E-02  2.7923203E-04 -2.925636280920356E-03  2.7941868E-04  1.517838694840105E-04  2.7952616E-04  1.353237861839409E-06  2.7948946E-04 -6.011102528991178E-05  2.7949146E-04 -2.487593843119801E-04  2.7952505E-04  1.316880364847238E-04  2.7944281E-04  4.942053334798592E-04  2.7957361E-04 -7.637358014491752E-04  2.7945499E-04  1.335589682198703E-04  2.7956088E-04  1.536330690219291E-03          0
  16.2  1.242344324227422E-02  2.7946325E-04 -2.207781496158771E-03  2.7946804E-04  1.365016075134563E-04  2.7946357E-04  4.260466709179839E-04  2.7955244E-04  7.648140040258217E-06  2.7949297E-04  4.948045822255854E-04  2.7952354E-04 -3.176317164765105E-04  2.7948928E-04  3.197801461530425E-04  2.7952733E-04 -1.621451530471479E-04  2.7960359E-04  4.568695619807060E-04  2.7941256E-04  1.512064494985164E-03          0
  18.0  5.071167053102758E-03  2.7951642E-04 -1.822440421648926E-03  2.7947877E-04  1.572360759239896E-04  2.7944832E-04  3.102583913058306E-04  2.7956750E-04  4.093795964103518E-04  2.7951774E-04  4.810074305169480E-04  2.7949842E-04 -4.250206583713253E-04  2.7948345E-04  2.447289188363056E-04  2.7953346E-04 -2.339080892220507E-04  2.7948089E-04  1.472402809186779E-04  2.7953574E-04  1.490256576644492E-03          0
  19.8  1.986199268771758E-03  2.7950982E-04 -1.475029292090178E-03  2.7949951E-04  3.650444402894219E-05  2.7944166E-04  1.740321297562985E-04  2.7957414E-04  1.390308547864850E-04  2.7952702E-04  1.863677542559455E-04  2.7948950E-04 -4.720622230519261E-04  2.7948875E-04 -1.689975406081853E-04  2.7952781E-04 -1.586206359996322E-04  2.7953413E-04  4.126201758314072E-04  2.7948297E-04  1.470539948281172E-03          0
  21.6  8.447100114708161E-04  2.7947428E-04 -1.145392866056872E-03  2.7953883E-04 -2.342322297619331E-04  2.7949929E-04  2.684998784148269E-05  2.7951712E-04  3.965998037461723E-06  2.7953258E-04  3.386936097148740E-04  2.7948422E-04 -6.234340386252934E-05  2.7949154E-04 -2.994093300105983E-05  2.7952516E-04  2.701799787050043E-04  2.7954562E-04 -2.717480679682602E-04  2.7947103E-04  1.452639929806731E-03          0
  23.4  2.921854503116342E-04  2.7946800E-04 -7.731747642648333E-04  2.7954627E-04 -2.836989647983906E-04  2.7952126E-04  8.829906119664063E-05  2.7949534E-04 -5.992096730288297E-05  2.7952922E-04  4.970411894799130E-04  2.7948744E-04  9.328523658326684E-05  2.7954364E-04  5.359062591962959E-04  2.7947303E-04 -2.403304718218830E-04  2.7950793E-04 -5.133106340356705E-05  2.7950900E-04  1.436176291674281E-03          0
  25.2 -2.455446133578486E-05  2.7947331E-04 -4.624522069824984E-04  2.7954138E-04 -2.459478885026215E-04  2.7951796E-04  1.444450755455895E-04  2.7949897E-04 -6.066794408328025E-05  2.7951912E-04  1.432012281291939E-04  2.7949747E-04  6.773032363823018E-05  2.7956659E-04  4.120078375476134E-05  2.7945026E-04 -2.375333583822523E-04  2.7952177E-04 -3.888944150634838E-04  2.7949491E-04  1.420945950658718E-03          0
  27.0 -1.566403796279374E-04  2.7949437E-04 -1.527571583651317E-04  2.7952052E-04 -9.585589417763102E-05  2.7947200E-04  1.647779230971101E-04  2.7954466E-04 -1.309856711878864E-04  2.7950609E-04 -1.024440487957284E-04  2.7951049E-04 -2.600633183252367E-04  2.7946946E-04 -5.359288595491393E-04  2.7954726E-04  2.421361025576858E-04  2.7958943E-04 -8.681094871732900E-05  2.7942730E-04  1.406671283291492E-03          0
  28.8 -2.664933225416178E-04  2.7955460E-04  5.960880312748665E-05  2.7946050E-04  3.348358513607667E-04  2.7942730E-04  2.467339099961503E-04  2.7958921E-04 -4.241163084057541E-05  2.7947125E-04  2.193059474507983E-04  2.7954531E-04 -5.785731224500551E-04  2.7946507E-04 -2.184640378364411E-05  2.7955162E-04 -5.085117351397621E-04  2.7951116E-04 -1.219101340076032E-04  2.7950505E-04  1.393359815943137E-03          0
  30.6 -3.556396003000399E-04  2.7958957E-04  1.192434640416451E-04  2.7942594E-04  5.846721549275833E-04  2.7946868E-04  3.501754294004254E-04  2.7954788E-04  8.415238668234592E-05  2.7956328E-04  5.158167534304189E-04  2.7945381E-04 -2.825727150419063E-04  2.7948390E-04 -1.896330946016237E-04  2.7953310E-04 -5.782581870619716E-04  2.7948085E-04 -1.167541653607929E-04  2.7953551E-04  1.380854395089943E-03          0
  32.4 -5.305864611650705E-04  2.7956077E-04  1.315476505736565E-04  2.7945508E-04  3.778407312916335E-04  2.7955217E-04  2.392169903622882E-04  2.7946467E-04 -2.554463994841711E-04  2.7958097E-04 -1.750705526047326E-05  2.7943582E-04  3.140215774843568E-04  2.7950274E-04 -2.103815992340448E-04  2.7951393E-04  3.349422979617299E-04  2.7951752E-04 -3.095798382502974E-04  2.7949917E-04  1.369045996730340E-03          0
  34.2 -5.476437812247534E-04  2.7948357E-04  1.211066099127591E-04  2.7953255E-04 -1.751514681364439E-04  2.7950000E-04  2.289761056240964E-04  2.7951681E-04 -3.258178689036065E-04  2.7951875E-04 -7.745734525262644E-05  2.7949790E-04 -6.059892475777228E-05  2.7949450E-04 -7.077403239463526E-04  2.7952182E-04  1.296893484286923E-04  2.7952794E-04  2.446137507310422E-04  2.7948922E-04  1.357959186568148E-03          0
