   1.0.0 # v: lpa-xrd version
8.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
   32768 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   3.5  9.375624665889859E-01  5.2942877E-05 -8.754066266698250E-03  1.2410145E-04  7.941279650775798E-01  1.1630825E-04 -1.542888006598929E-02  2.0527584E-04  6.142325983064478E-01  1.7994363E-04 -1.899376836467868E-02  2.4912786E-04  4.369291806761981E-01  2.2751649E-04 -1.956208941454311E-02  2.6828534E-04  2.874810631663660E-01  2.5596728E-04 -1.777644788961480E-02  2.7551564E-04  4.631213330627687E-04          0
   7.0  7.894568998896978E-01  1.2023899E-04 -1.536746954661930E-02  2.0589325E-04  4.339446892018612E-01  2.2837379E-04 -1.949225894742962E-02  2.6839324E-04  1.745580854726362E-01  2.7023942E-04 -1.430667247415908E-02  2.7814768E-04  5.348577634785150E-02  2.7844965E-04 -7.056320834656260E-03  2.7932834E-04  1.266851249892640E-02  2.7946480E-04 -2.736752496223347E-03  2.7943825E-04  4.271165958730387E-04          0
  10.5  6.044317165477112E-01  1.8442293E-04 -1.874688868238227E-02  2.4980242E-04  1.724535907664330E-01  2.7049049E-04 -1.409635236214842E-02  2.7815657E-04  2.654280321982825E-02  2.7924037E-04 -4.261512266329057E-03  2.7940590E-04  2.163705422496405E-03  2.7947340E-04 -1.465626824463199E-03  2.7952717E-04 -1.349931304736201E-04  2.7951054E-04 -1.002246981943326E-03  2.7949949E-04  4.062495571445714E-04          0
  14.0  4.237257609226355E-01  2.3114806E-04 -1.900346782494785E-02  2.6881760E-04  5.170604135058404E-02  2.7848156E-04 -6.673445881160811E-03  2.7937656E-04  1.958171268785685E-03  2.7945870E-04 -1.510982769021384E-03  2.7954247E-04 -3.022152916027276E-04  2.7948569E-04 -8.993944435748910E-04  2.7952573E-04  1.990048962315407E-04  2.7952348E-04 -3.073991440690485E-04  2.7949050E-04  3.914991191716122E-04          0
  17.5  2.734374243252916E-01  2.5837541E-04 -1.691727473761266E-02  2.7585929E-04  1.197732551510609E-02  2.7941103E-04 -2.634017050599046E-03  2.7950197E-04 -6.368938877505654E-04  2.7952473E-04 -1.053692461115535E-03  2.7948543E-04 -1.583167475591019E-04  2.7953387E-04 -3.905863961562875E-04  2.7948027E-04 -2.468496886891704E-04  2.7955719E-04 -1.567483105405989E-04  2.7945762E-04  3.801125819050339E-04          0
  21.0  1.632461621347277E-01  2.7141176E-04 -1.346555197993138E-02  2.7833532E-04  1.728395127510764E-03  2.7941761E-04 -1.575910341699834E-03  2.7958594E-04 -5.098203165231723E-04  2.7949938E-04 -6.280251934273035E-04  2.7951362E-04 -6.047716624445628E-04  2.7960722E-04 -3.589490893978353E-04  2.7940760E-04  1.802942731256117E-04  2.7947870E-04  2.435597209735955E-05  2.7953686E-04  3.707393423358943E-04          0
  24.5  9.052256221555895E-02  2.7666022E-04 -9.551016940119049E-03  2.7924555E-04 -8.130961908757380E-04  2.7950926E-04 -1.070499681750488E-03  2.7950077E-04 -5.992120531990885E-04  2.7948347E-04 -5.383329357316644E-04  2.7953122E-04  3.156635260478953E-05  2.7943402E-04 -2.025094722852614E-04  2.7958148E-04  8.237054144875915E-05  2.7958225E-04  1.755272105231028E-04  2.7943410E-04  3.628139750375000E-04          0
  28.0  4.669464481539042E-02  2.7854719E-04 -6.176820665918757E-03  2.7951950E-04 -1.092686131126382E-03  2.7950240E-04 -6.666352370910386E-04  2.7950821E-04 -3.467119904857185E-04  2.7957018E-04 -3.053181402620292E-04  2.7944460E-04 -2.083553395159778E-05  2.7952568E-04  2.022153106087424E-04  2.7948990E-04 -4.348444200305874E-05  2.7952135E-04  4.061549623415038E-04  2.7949511E-04  3.559710824687464E-04          0
  31.5  2.251365922542634E-02  2.7920125E-04 -3.702120127142439E-03  2.7954364E-04 -6.357931671916852E-04  2.7956523E-04 -3.779995550779600E-04  2.7944712E-04  2.687193276682108E-04  2.7952491E-04 -1.069362217612398E-04  2.7949034E-04  4.189675934079419E-04  2.7956427E-04  4.251854285965770E-04  2.7945187E-04  1.055220022780143E-04  2.7943018E-04  7.856308447601059E-05  2.7958668E-04  3.499153367351732E-04          0
  35.0  1.009548198209618E-02  2.7937872E-04 -2.105162386392424E-03  2.7956116E-04 -5.364763780047872E-04  2.7958541E-04 -3.191894451035499E-04  2.7942781E-04  5.658427678375737E-04  2.7946125E-04  1.878964109995674E-04  2.7955424E-04  5.602144633132188E-04  2.7943103E-04 -5.100311671205376E-05  2.7958519E-04  4.020028008726678E-04  2.7953748E-04 -6.112775082885871E-05  2.7947914E-04  3.445233758307720E-04          0
