   1.0.0 # v: lpa-xrd version
1.25e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
     512 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.980189173689016E-01  8.0855479E-06 -1.445246864728244E-03  2.2878736E-05  9.929274966680357E-01  1.5287742E-05 -2.826412420569568E-03  4.3039703E-05  9.851090958579408E-01  2.2990757E-05 -4.151435916079665E-03  6.1908548E-05  9.748128156742636E-01  3.1212827E-05 -5.403638463285180E-03  7.9677230E-05  9.622771029185740E-01  3.9806477E-05 -6.577696172019552E-03  9.6419943E-05  6.969369110079619E-06          0
  10.0  9.927304216473085E-01  1.6667485E-05 -2.838090060999466E-03  4.3237823E-05  9.745956942757894E-01  3.2014906E-05 -5.415408169160237E-03  7.9777278E-05  9.474706552888125E-01  4.9344868E-05 -7.628479627418085E-03  1.1221815E-04  9.128803574623169E-01  6.8117705E-05 -9.365271005440748E-03  1.4076764E-04  8.722855109515019E-01  8.7713795E-05 -1.054054530482465E-02  1.6552356E-04  6.468574512100198E-06          0
  15.0  9.846041558477948E-01  2.5341207E-05 -4.176629590210397E-03  6.2248901E-05  9.471423827858683E-01  5.0080270E-05 -7.618351054077580E-03  1.1233214E-04  8.929182822232709E-01  7.8296423E-05 -1.000572263793478E-02  1.5368795E-04  8.266814689815432E-01  1.0793819E-04 -1.109706984201164E-02  1.8671796E-04  7.527695875095572E-01  1.3709094E-04 -1.083293998230704E-02  2.1223816E-04  6.140496958621184E-06          0
  20.0  9.738688959973704E-01  3.4413690E-05 -5.431663199588368E-03  8.0173179E-05  9.120839875251759E-01  6.9391452E-05 -9.347840523985129E-03  1.4096722E-04  8.262315502534298E-01  1.0837775E-04 -1.107248126309930E-02  1.8678520E-04  7.267220636293044E-01  1.4668447E-04 -1.043905867098809E-02  2.1930803E-04  6.226036675368924E-01  1.8080573E-04 -7.873689199317345E-03  2.4123228E-04  5.914178138906884E-06          0
  25.0  9.607596049309005E-01  4.3849035E-05 -6.592276308555555E-03  9.7048597E-05  8.709283766240580E-01  8.9366948E-05 -1.047102325335266E-02  1.6578471E-04  7.518257461300175E-01  1.3778425E-04 -1.079148908890336E-02  2.1233903E-04  6.222062338399068E-01  1.8100353E-04 -7.878801191776159E-03  2.4126219E-04  4.964519279685276E-01  2.1502057E-04 -3.257770402168816E-03  2.5812951E-04  5.744186351980380E-06          0
  30.0  9.454970734033084E-01  5.3539587E-05 -7.635636620015837E-03  1.1292235E-04  8.250289405636215E-01  1.0952724E-04 -1.103787428701234E-02  1.8697785E-04  6.736859601040773E-01  1.6503378E-04 -9.342752979665872E-03  2.3148983E-04  5.203301108091939E-01  2.0918879E-04 -4.205825511806114E-03  2.5549675E-04  3.837324560324508E-01  2.3938606E-04  1.370721752349064E-03  2.6757321E-04  5.601162746129084E-06          0
  35.0  9.282945797716804E-01  6.3406096E-05 -8.558023255868723E-03  1.2781471E-04  7.756676264421366E-01  1.2939276E-04 -1.098523548565701E-02  2.0478609E-04  5.952257550107192E-01  1.8912470E-04 -7.018641517093403E-03  2.4550377E-04  4.262832169755778E-01  2.3090170E-04 -3.742033975646748E-04  2.6448157E-04  2.890122310662535E-01  2.5550889E-04  4.681420093193516E-03  2.7270247E-04  5.476412078195840E-06          0
  40.0  9.092998460575296E-01  7.3537278E-05 -9.338230205990327E-03  1.4172197E-04  7.241143290377565E-01  1.4841531E-04 -1.037655443458107E-02  2.1957149E-04  5.192228338451531E-01  2.0959382E-04 -4.225590328072520E-03  2.5555937E-04  3.429805625298950E-01  2.4682809E-04  2.888063255587948E-03  2.7004210E-04  2.131811355961498E-01  2.6564527E-04  6.303728098662647E-03  2.7538884E-04  5.370768647516839E-06          0
  45.0  8.887414975189794E-01  8.3775327E-05 -9.974650840592207E-03  1.5466021E-04  6.714814386851726E-01  1.6624618E-04 -9.319002766227422E-03  2.3169541E-04  4.476266983560841E-01  2.2643346E-04 -1.327662013266910E-03  2.6266483E-04  2.717338273550399E-01  2.5804833E-04  5.146682534891771E-03  2.7341996E-04  1.548455746034705E-01  2.7184141E-04  6.391172607646231E-03  2.7669711E-04  5.276698523977223E-06          0
  50.0  8.667807420072025E-01  9.4086010E-05 -1.047751104129007E-02  1.6665658E-04  6.187258887157965E-01  1.8268013E-04 -7.844109463753655E-03  2.4151750E-04  3.818544883329713E-01  2.3986538E-04  1.305261149820692E-03  2.6764192E-04  2.126630645697928E-01  2.6572483E-04  6.238927293111735E-03  2.7540639E-04  1.113523752454687E-01  2.7546666E-04  5.590826869501348E-03  2.7738259E-04  5.192379738027709E-06          0
  55.0  8.436164166842918E-01  1.0438614E-04 -1.081227663062837E-02  1.7773241E-04  5.667289860883237E-01  1.9751219E-04 -6.091087285225115E-03  2.4942319E-04  3.227096985347290E-01  2.5032380E-04  3.474502872545481E-03  2.7107751E-04  1.647501446033998E-01  2.7089411E-04  6.423553975253065E-03  2.7652246E-04  7.961107779149446E-02  2.7745695E-04  4.451395299685667E-03  2.7785785E-04  5.115381098076316E-06          0
  60.0  8.194002513855970E-01  1.1463831E-04 -1.099472734042441E-02  1.8792049E-04  5.161955226695107E-01  2.1068962E-04 -4.224930638913926E-03  2.5573227E-04  2.704695032650143E-01  2.5828820E-04  5.002762371457836E-03  2.7343922E-04  1.266845727599751E-01  2.7428904E-04  5.937004971373132E-03  2.7717027E-04  5.695615552477636E-02  2.7845120E-04  3.447103156845747E-03  2.7826561E-04  5.045730105358885E-06          0
  65.0  7.943087207311706E-01  1.2476507E-04 -1.102816964637526E-02  1.9725733E-04  4.676901500055956E-01  2.2223722E-04 -2.315309211110420E-03  2.6073001E-04  2.250604348367367E-01  2.6427690E-04  5.956903490814297E-03  2.7502742E-04  9.698208926270437E-02  2.7644092E-04  5.081219466900877E-03  2.7760137E-04  4.089751455527040E-02  2.7895056E-04  2.860132717125942E-03  2.7857146E-04  4.982392053135573E-06          0
  70.0  7.685183790658453E-01  1.3469438E-04 -1.091337104671991E-02  2.0578583E-04  4.216489291778492E-01  2.3221752E-04 -4.594558320258910E-04  2.6467447E-04  1.861278649911939E-01  2.6873147E-04  6.345661048398465E-03  2.7606752E-04  7.409294593639609E-02  2.7772907E-04  4.156542453539748E-03  2.7795793E-04  2.961644261347761E-02  2.7922327E-04  2.774006143756039E-03  2.7877044E-04  4.923493976827990E-06          0
