   1.0.0 # v: lpa-xrd version
2.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    8192 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.700441526807109E-01  3.5226733E-05  3.552356183525996E-03  8.8115173E-05  8.979092588760516E-01  7.3116315E-05  6.219750927377155E-03  1.5546025E-04  7.973808811472916E-01  1.1667756E-04  7.599322052056899E-03  2.0465200E-04  6.817814028334210E-01  1.5924698E-04  7.469336459310449E-03  2.3734613E-04  5.627588542343467E-01  1.9614134E-04  6.050665935064405E-03  2.5714187E-04  1.076785697604575E-04          0
  10.0  8.951856223979531E-01  7.6975030E-05  6.227133215755992E-03  1.5607758E-04  6.793935993562255E-01  1.6059312E-04  7.450077569622926E-03  2.3753626E-04  4.476810430356377E-01  2.2564229E-04  3.794513201718277E-03  2.6820770E-04  2.602412411797198E-01  2.6018273E-04 -1.705694114563713E-03  2.7670921E-04  1.353043578933613E-01  2.7395130E-04 -5.707124305426281E-03  2.7864831E-04  9.869002408481958E-05          0
  15.0  7.908458432469007E-01  1.2215288E-04  7.579034705822533E-03  2.0550353E-04  4.451132796503999E-01  2.2639098E-04  3.784918198653242E-03  2.6828809E-04  1.890519175340899E-01  2.6896909E-04 -3.959921550207116E-03  2.7805845E-04  6.307140177710979E-02  2.7825802E-04 -6.964809372241544E-03  2.7913865E-04  1.683697269847447E-02  2.7942119E-04 -5.639706209932529E-03  2.7939542E-04  9.349301869465517E-05          0
  20.0  6.712590701651315E-01  1.6509869E-04  7.523993786744244E-03  2.3819652E-04  2.566922096808070E-01  2.6075474E-04 -1.658218344365442E-03  2.7676178E-04  6.260757401714336E-02  2.7829985E-04 -6.958833842854924E-03  2.7912266E-04  1.023630238684234E-02  2.7948014E-04 -4.821055194870497E-03  2.7943154E-04  1.540873587462853E-03  2.7951981E-04 -2.072388202215612E-03  2.7947391E-04  8.977681857267018E-05          0
  25.0  5.488009989763677E-01  2.0164402E-04  6.137247264056234E-03  2.5785167E-04  1.320399259418819E-01  2.7423261E-04 -5.546036185657870E-03  2.7867640E-04  1.671588599059820E-02  2.7941164E-04 -5.593590159772263E-03  2.7941059E-04  1.511513998509625E-03  2.7951019E-04 -2.107831838965974E-03  2.7948410E-04  6.243122992675742E-04  2.7963974E-04 -1.895053594845058E-04  2.7936324E-04  8.688336959029378E-05          0
  30.0  4.330954052035708E-01  2.2981452E-04  3.785781078874558E-03  2.6868141E-04  6.120604092450575E-02  2.7833650E-04 -6.905267754169653E-03  2.7915453E-04  3.686719783234994E-03  2.7948615E-04 -3.470438268360132E-03  2.7949153E-04  6.482317518055039E-04  2.7961790E-04 -4.909086350755642E-04  2.7938414E-04  3.887929623792787E-05  2.7947829E-04 -3.751870633034622E-05  2.7953061E-04  8.452865362631146E-05          0
  35.0  3.305951630084011E-01  2.4969499E-04  1.014130226333663E-03  2.7422689E-04  2.579574817661135E-02  2.7923066E-04 -6.111440883432557E-03  2.7942326E-04  1.005695567311777E-03  2.7952253E-04 -1.620821204782162E-03  2.7947461E-04 -1.400440857421164E-04  2.7956025E-04  1.765548947152519E-06  2.7944670E-04 -9.685273065622778E-05  2.7951971E-04 -9.145012040249733E-04  2.7949037E-04  8.254976392409096E-05          0
  40.0  2.445108836093249E-01  2.6266251E-04 -1.567068046543031E-03  2.7691600E-04  9.980089053395196E-03  2.7944190E-04 -4.457800765137725E-03  2.7948003E-04  5.283219808452999E-04  2.7960437E-04 -5.105780751854391E-04  2.7939738E-04 -9.117247100129206E-05  2.7947653E-04 -4.124791375895486E-04  2.7953361E-04  1.516617519737269E-04  2.7948299E-04 -1.473157273530888E-03  2.7952775E-04  8.084649233033967E-05          0
  45.0  1.754999683688816E-01  2.7055190E-04 -3.731593384425438E-03  2.7816339E-04  3.775980651138813E-03  2.7949348E-04 -2.960378176535835E-03  2.7948902E-04  6.622080095290127E-05  2.7961781E-04 -8.599525338259745E-05  2.7938762E-04  6.145217270816298E-06  2.7950170E-04 -1.398501237956004E-03  2.7950881E-04  8.324995178937431E-04  2.7951729E-04 -1.080701084166347E-03  2.7949461E-04  7.933466625841173E-05          0
  50.0  1.224071311242272E-01  2.7502919E-04 -5.161150213786015E-03  2.7874833E-04  1.603795339330148E-03  2.7954538E-04 -1.725215494869333E-03  2.7945168E-04 -1.450000535707046E-04  2.7952875E-04 -5.361861827889027E-04  2.7948090E-04  3.317041278216016E-04  2.7948274E-04 -1.529172093299370E-03  2.7952764E-04  1.438471468193835E-03  2.7955018E-04 -8.932856559619726E-04  2.7946220E-04  7.798738522772638E-05          0
  55.0  8.311293895217602E-02  2.7741488E-04 -5.933540197430846E-03  2.7902819E-04  9.931104383504141E-04  2.7960167E-04 -9.004368538108676E-04  2.7939893E-04 -3.442322551378855E-04  2.7951444E-04 -1.344885335910389E-03  2.7949652E-04  7.314877400830196E-04  2.7955826E-04 -1.077950536769636E-03  2.7945367E-04  1.109431914408867E-03  2.7956179E-04 -3.136914394302869E-04  2.7945110E-04  7.676119091313166E-05          0
  60.0  5.493851839116926E-02  2.7857856E-04 -6.101456266848651E-03  2.7920738E-04  6.243737946762120E-04  2.7968214E-04 -5.634047996790296E-04  2.7932006E-04 -2.673419434923139E-04  2.7950532E-04 -1.748396332125663E-03  2.7950566E-04  1.303829028458473E-03  2.7955847E-04 -1.089041243855636E-03  2.7945394E-04  1.979913429782967E-04  2.7947718E-04 -4.942436445597657E-04  2.7953798E-04  7.564571075298681E-05          0
  65.0  3.543605040671544E-02  2.7908751E-04 -5.840740401065344E-03  2.7934918E-04  2.000434016216448E-04  2.7970473E-04 -5.157536546221190E-04  2.7929920E-04 -4.233898675310792E-05  2.7954014E-04 -1.647582277687439E-03  2.7947132E-04  1.457356492397349E-03  2.7955648E-04 -8.902310672493466E-04  2.7945605E-04  4.039722486743211E-05  2.7949471E-04 -1.440606444127486E-04  2.7952083E-04  7.461575586966761E-05          0
  70.0  2.234519341432530E-02  2.7928128E-04 -5.334559384584544E-03  2.7946110E-04 -2.318557309954841E-04  2.7965409E-04 -7.791456860918458E-04  2.7935223E-04  4.154925625740307E-04  2.7955999E-04 -1.291072755448375E-03  2.7945107E-04  1.079963906716074E-03  2.7955118E-04 -4.518805763121341E-04  2.7946332E-04  2.640101832505320E-04  2.7952737E-04 -1.522766693555187E-04  2.7948775E-04  7.366227892819972E-05          0
  75.0  1.390175364452263E-02  2.7937807E-04 -4.647313509549293E-03  2.7950458E-04 -3.194855187754896E-04  2.7953654E-04 -1.107787783827185E-03  2.7947186E-04  7.764979548744226E-04  2.7955467E-04 -1.025547579354375E-03  2.7945744E-04  2.268323813391654E-04  2.7951593E-04 -3.356694643570737E-04  2.7949944E-04  2.905905123205427E-04  2.7951998E-04 -4.541462133607624E-04  2.7949535E-04  7.277284360510109E-05          0
  80.0  8.576864296973000E-03  2.7941693E-04 -3.971545684006061E-03  2.7952970E-04 -3.715235922578375E-04  2.7952321E-04 -1.442482870682323E-03  2.7948547E-04  1.113134035799588E-03  2.7955602E-04 -8.588206293655338E-04  2.7945714E-04  1.296906718759066E-04  2.7951506E-04  3.378968241010623E-04  2.7950028E-04  1.972984610446744E-04  2.7946895E-04 -4.716046560192943E-04  2.7954646E-04  7.193485448166944E-05          0
  85.0  5.389111513211483E-03  2.7944245E-04 -3.257453154286858E-03  2.7953290E-04 -3.237585095287882E-04  2.7958387E-04 -1.721066554016354E-03  2.7942482E-04  1.530399904652023E-03  2.7951034E-04 -7.267931608935017E-04  2.7950295E-04  5.648769297401274E-04  2.7952122E-04  4.504036713739520E-04  2.7949390E-04 -4.011898026914063E-05  2.7943529E-04 -1.846952742367637E-05  2.7958020E-04  7.114656589433774E-05          0
  90.0  3.522709538939335E-03  2.7947111E-04 -2.601313238676328E-03  2.7951750E-04 -1.748950870723120E-04  2.7960745E-04 -1.815567421007590E-03  2.7940199E-04  1.385496027943899E-03  2.7945223E-04 -6.132694046382885E-04  2.7956204E-04  7.295854941340845E-04  2.7951406E-04  2.377329158131945E-04  2.7950066E-04 -5.035324225964823E-05  2.7944822E-04 -2.130199791783026E-04  2.7956690E-04  7.040519506687430E-05          0
  95.0  2.404118652193467E-03  2.7950794E-04 -2.053716418421978E-03  2.7948664E-04  6.712388612508681E-05  2.7957006E-04 -1.675862875286060E-03  2.7944050E-04  9.973179077285429E-04  2.7944165E-04 -7.059114903967028E-04  2.7957252E-04  4.582219102106274E-04  2.7949246E-04 -1.184691137315495E-04  2.7952341E-04  2.295429961664763E-04  2.7954387E-04 -3.272204747970573E-04  2.7947180E-04  6.970573477979247E-05          0
 100.0  1.751546883227298E-03  2.7954886E-04 -1.653288899191724E-03  2.7944769E-04  3.571054670978552E-04  2.7952044E-04 -1.292269522665632E-03  2.7949004E-04  4.141882901038656E-04  2.7943534E-04 -8.158182887865330E-04  2.7957870E-04  1.043626798886867E-04  2.7949298E-04 -3.591396340208170E-04  2.7952324E-04 -9.000921126430995E-05  2.7944804E-04  7.126587456075360E-05  2.7956782E-04  6.904287190931833E-05          0
 105.0  1.327501054108983E-03  2.7956392E-04 -1.295564552732710E-03  2.7943311E-04  4.692792059334965E-04  2.7954113E-04 -9.743531482370698E-04  2.7946913E-04 -1.404269462337821E-04  2.7945190E-04 -3.683459146838596E-04  2.7956287E-04  2.517761506600256E-04  2.7950516E-04 -4.749406027912030E-04  2.7951048E-04 -1.152419737533527E-04  2.7948025E-04  1.371359953258685E-04  2.7953582E-04  6.841162362763984E-05          0
 110.0  1.004519305008732E-03  2.7955662E-04 -1.096166888981497E-03  2.7944047E-04  4.219174530615736E-04  2.7952592E-04 -8.165881130305911E-04  2.7948561E-04 -4.663724968037530E-04  2.7949257E-04  1.438994095264309E-05  2.7952216E-04  1.386276127855055E-04  2.7945135E-04 -3.936124423562857E-04  2.7956424E-04 -2.492229572837316E-04  2.7950122E-04 -2.622810001356743E-04  2.7951521E-04  6.781029986707178E-05          0
 115.0  6.838843474367456E-04  2.7955022E-04 -9.817207314000839E-04  2.7944665E-04  3.798230306225702E-04  2.7950352E-04 -9.685000361390266E-04  2.7950898E-04 -9.974581793213904E-05  2.7953163E-04 -1.256659097398518E-04  2.7948288E-04 -2.289023480818285E-05  2.7945980E-04 -4.088480637614587E-04  2.7955605E-04 -3.671609057931496E-04  2.7951120E-04 -1.641082960057884E-05  2.7950530E-04  6.723294534159855E-05          0
 120.0  3.415561637247896E-04  2.7956911E-04 -9.508198528167951E-04  2.7942802E-04  5.146795699551422E-04  2.7951287E-04 -1.172287042764962E-03  2.7949990E-04  5.841099974603203E-04  2.7946675E-04 -1.991343502712601E-04  2.7954764E-04  4.506482345489357E-05  2.7950885E-04  4.150612577571310E-04  2.7950689E-04 -6.636701745596365E-04  2.7948797E-04  2.771475453740713E-04  2.7952804E-04  6.668294012021475E-05          0
 125.0  3.794630291263274E-05  2.7959527E-04 -9.862473207871991E-04  2.7940205E-04  7.008482550972042E-04  2.7949330E-04 -1.065931748932935E-03  2.7951962E-04  8.734011260157741E-04  2.7944337E-04  3.244949817260459E-05  2.7957129E-04 -9.283064265220493E-05  2.7948724E-04  1.021207726862418E-03  2.7952815E-04 -6.458849374182078E-04  2.7957796E-04  2.376884519430771E-04  2.7943773E-04  6.615694009869356E-05          0
 130.0 -1.703809402230732E-04  2.7960517E-04 -9.524472710957579E-04  2.7939268E-04  7.683458909062801E-04  2.7944605E-04 -8.510734586505052E-04  2.7956766E-04  7.490028716863244E-04  2.7948185E-04  3.841553489806100E-04  2.7953324E-04 -4.319961392609113E-04  2.7949569E-04  1.072776879376983E-03  2.7952030E-04 -2.804103690180197E-04  2.7950680E-04  4.511838316022517E-04  2.7950919E-04  6.565234724335960E-05          0
