                                                                     distribution;      GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; -5.4148705e-02; 7.7113413e-01; 7.3147016e-01; 5.9752574e-01; 2.3972083e+01; 2.6082084e+01; 6.6245766e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; -2.1824471e-01; 1.4579693e-01; 5.8584377e-02; 2.8791615e-01; 2.7542307e+01; 4.8021222e+01; 2.3955318e+01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; -2.9546412e-02; 1.0764518e+00; 1.1124364e+00; 9.0645471e-01; 1.9650466e+01; 1.9761061e+01; 5.1062443e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; -5.7328251e-02; 2.1595189e-01; 1.4095690e-01; 8.5112554e-03; 3.5657419e+01; 4.3748275e+01; 1.3866862e+01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; -9.0844955e-02; 4.2993093e-01; 4.0713658e-01; 2.9703657e-01; 3.2581824e+01; 3.4604580e+01; 9.0631469e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; -2.1801206e-02; 5.2861856e-01; 3.0315389e-01; 3.1409236e-01; 5.5615885e+01; 8.6487000e+01; 1.7619710e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; -1.6953673e-01; 7.9838177e-01; 5.3177292e-01; 6.2288996e-01; 4.6452979e+01; 7.2346812e+01; 1.2782036e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; -2.0840671e-01; 1.5288448e-01; 7.0269955e-03; 2.7082736e-01; 5.3637763e+01; 8.1119990e+01; 4.6083546e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; -7.7169471e-01; 1.5629344e+00; 8.0758971e-01; 8.8326201e-01; 2.6941999e+01; 5.8464273e+01; 1.0434572e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; -1.5096110e-01; 1.2311898e-01; 1.3018620e-01; 5.0374028e-03; 8.8885978e+01; 8.9474954e+01; 2.7538271e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; -1.7666911e-02; 1.8851758e-01; 1.2857093e-01; 1.8840405e-02; 1.5171560e+02; 1.7925864e+02; 5.2082784e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; -4.5577649e-02; 5.8715700e-01; 2.9844311e-01; 3.1689186e-01; 1.0135209e+02; 1.7440032e+02; 3.4598179e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; -1.0466205e+00; 9.5386625e-01; 5.1702858e-01; 6.4148073e-01; 8.1727148e+01; 1.5441799e+02; 2.5699811e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; -2.1380642e-01; 1.5094223e-01; 1.0698281e-02; 2.8477095e-01; 1.0819050e+02; 1.6398138e+02; 9.7722073e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; -1.0091661e+00; 1.3837158e+00; 7.8235434e-01; 9.6658193e-01; 6.3989866e+01; 1.2267721e+02; 1.9824997e+01
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; -2.1037159e+00; 4.4888598e-01; 6.1429357e-02; 3.3304932e-01; 1.0950082e+03; 3.5102352e+03; 2.8824461e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; -1.7264702e+00; 6.4024862e-01; 4.0924011e-02; 6.7987642e-01; 9.0037932e+02; 5.9463925e+03; 1.9407793e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; -4.5797472e-01; 1.2590716e-01; 8.1141404e-03; 2.1699189e-01; 8.4955322e+02; 1.2871309e+03; 5.5424673e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; -1.6463017e+00; 8.1485682e-01; 5.8435348e-02; 8.4086202e-01; 6.8730696e+02; 6.9212483e+03; 1.4996167e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; -1.0772718e+00; 2.4463205e-01; 3.0578368e-02; 2.1793799e-02; 1.0568921e+03; 2.0897007e+03; 3.9889358e+02
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; -2.3073233e-01; 1.5291490e-01; 7.0403473e-03; 2.7441293e-01; 2.1289828e+02; 3.0523323e+02; 1.8509776e+02
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; -1.2845987e+00; 1.3484709e+00; 5.3025690e-01; 9.2829866e-01; 1.3625358e+02; 4.2611036e+02; 4.2508995e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; -4.5764077e-01; 1.7916724e-01; 9.9375128e-02; 2.0673861e-02; 3.1042553e+02; 3.9241312e+02; 1.0334121e+02
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; -6.2047593e-01; 4.9873643e-01; 2.1297572e-01; 3.1462981e-01; 2.4130796e+02; 4.5902708e+02; 7.1869674e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; -1.2903462e+00; 9.6138811e-01; 3.6195074e-01; 6.8640445e-01; 1.6234022e+02; 4.4094572e+02; 4.7137117e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; -1.4016176e+00; 7.6473070e-01; 1.5681323e-01; 5.8302949e-01; 3.9092636e+02; 1.8086387e+03; 1.0728260e+02
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; -3.6030972e-01; 1.6667253e-01; 1.0026601e-02; 2.7620999e-01; 4.1870351e+02; 6.1073460e+02; 3.8442459e+02
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; -1.5361864e+00; 1.4203130e+00; 2.1100072e-01; 8.6517413e-01; 2.3419763e+02; 1.9029188e+03; 7.5963939e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; -1.0277536e+00; 1.8846427e-01; 4.7811796e-02; 2.5353298e-02; 6.0427925e+02; 9.6685182e+02; 2.0266365e+02
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; -1.4794053e+00; 4.1385206e-01; 9.7278422e-02; 3.0124834e-01; 5.6014366e+02; 1.4572292e+03; 1.4969287e+02
