                                                                     distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.3644881e-01; 4.6415061e-01; 5.2947265e-01; 4.9457358e-01; 2.2211053e+01; 8.1737953e+00; 3.6333148e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 4.9026052e-01; 2.0743238e-01; 1.6594534e-01; 1.8877988e-01; 3.2956297e+01; 1.3694643e+01; 6.3774685e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.2018934e+00; 6.0771275e-01; 7.9853766e-01; 7.8085960e-01; 2.3935460e+01; 6.5956699e+00; 2.7860803e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 7.8999285e-01; 5.5385151e-02; 2.0010796e-02; 3.3357485e-02; 3.8457884e+01; 1.3095533e+01; 6.4674867e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 9.6917422e-01; 1.4699975e-01; 2.6343192e-01; 1.9319393e-01; 3.3618327e+01; 1.0485174e+01; 5.1305905e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.4062977e-01; 1.6846262e-01; 3.3575043e-01; 2.1043142e-01; 6.0838750e+01; 1.8082880e+01; 9.9439188e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.0340635e+00; 3.7730944e-01; 6.6701186e-01; 4.9501364e-01; 5.2965719e+01; 1.3398279e+01; 7.2392962e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 3.4128394e-01; 2.0306713e-01; 8.4149598e-02; 1.8248746e-01; 6.3758749e+01; 2.1549248e+01; 1.2546091e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.0807266e+00; 5.4017751e-01; 1.0338549e+00; 7.8494501e-01; 5.2775499e+01; 1.0408574e+01; 5.6154367e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 7.8025749e-01; 1.5358020e-02; 9.0194281e-02; 2.4915128e-02; 6.4250033e+01; 2.1844139e+01; 1.2660574e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 8.2125893e-01; 3.9575396e-02; 8.6695584e-02; 4.6328803e-02; 1.3785818e+02; 4.3530394e+01; 2.6514511e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 8.7264544e-01; 1.6936071e-01; 3.3970168e-01; 2.1954642e-01; 1.1960761e+02; 3.5652031e+01; 1.9286964e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 9.8578619e-01; 4.1041991e-01; 6.6773583e-01; 5.3270569e-01; 1.0302160e+02; 2.7729525e+01; 1.4312865e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 2.8089461e-01; 2.0742931e-01; 8.1649328e-02; 1.8531119e-01; 1.2906370e+02; 4.2857379e+01; 2.5384049e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.1965400e+00; 6.7293574e-01; 1.0286146e+00; 8.4379215e-01; 8.3437130e+01; 2.1060211e+01; 1.0872987e+01
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 1.2964973e+00; 1.5089324e-01; 8.5187763e-02; 2.5941433e-01; 1.1500191e+03; 6.4114049e+02; 1.5035680e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 1.7799074e+00; 3.1610704e-01; 1.3623674e-01; 5.9169290e-01; 1.2549491e+03; 7.4439644e+02; 9.6371995e+01
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.8625139e-01; 1.6447281e-01; 1.1415066e-02; 1.5901120e-01; 9.0187567e+02; 2.6437413e+02; 1.8037673e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 2.9181093e+00; 3.9851463e-01; 1.7548383e-01; 7.5728901e-01; 1.8385253e+03; 7.7133902e+02; 7.2235170e+01
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 9.0733267e-01; 7.2444178e-03; 3.4935742e-02; 3.8107528e-03; 9.8744779e+02; 4.2411388e+02; 1.9004835e+02
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 6.7459934e-01; 1.8055205e-01; 5.0374000e-02; 1.8037877e-01; 2.4240033e+02; 7.6800858e+01; 4.9543433e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 1.7575338e+00; 5.9903790e-01; 9.1331328e-01; 8.4990152e-01; 3.3916499e+02; 4.8277697e+01; 2.2221916e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 8.3020504e-01; 2.0411522e-02; 1.0094108e-01; 2.5149005e-02; 2.5928681e+02; 8.3626353e+01; 5.0382003e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 8.6252233e-01; 1.6300839e-01; 3.0627046e-01; 2.1659020e-01; 2.5329044e+02; 7.8478776e+01; 4.0459617e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.0015892e+00; 3.9166886e-01; 5.8657741e-01; 5.9793818e-01; 2.3272313e+02; 6.0065713e+01; 2.5131377e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 2.0070378e+00; 3.1665974e-01; 3.2472177e-01; 5.1633334e-01; 7.1964912e+02; 2.0891979e+02; 5.4849451e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 8.3914275e-01; 1.7417521e-01; 2.3040149e-03; 1.7586340e-01; 4.8397656e+02; 1.3262265e+02; 9.9160532e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 2.6748169e+00; 4.6560740e-01; 4.8676791e-01; 7.9261047e-01; 9.6208289e+02; 1.6423573e+02; 3.7639457e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.5172897e-01; 5.2991730e-02; 9.2309432e-02; 3.2906135e-02; 5.8584347e+02; 1.7308575e+02; 1.0332130e+02
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.3380928e+00; 1.2579266e-01; 1.9318914e-01; 2.2051435e-01; 5.9799398e+02; 2.1227024e+02; 8.0991518e+01
