                                                                     distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 4.4429863e-02; 8.7641070e-02; 0.0000000e+00; 6.6767846e-02; 3.4146554e+00; 0.0000000e+00; 3.0099457e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 3.4583354e-01; 2.6901937e-02; 0.0000000e+00; 8.3413631e-03; 2.1488882e+00; 0.0000000e+00; 1.4817973e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 4.0474325e-01; 1.4971628e-01; 0.0000000e+00; 1.2227865e-01; 8.1146076e+00; 0.0000000e+00; 2.9663328e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 3.4617226e-01; 5.4266067e-02; 0.0000000e+00; 2.2405152e-02; 1.1285146e+01; 0.0000000e+00; 3.2526286e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 2.3606011e-01; 6.0712987e-02; 0.0000000e+00; 4.5030850e-02; 7.3881687e+00; 0.0000000e+00; 3.8844216e-01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 2.2069784e-01; 4.4591069e-02; 0.0000000e+00; 7.6821191e-02; 7.9786356e+00; 0.0000000e+00; 1.2602178e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 2.3150836e-01; 8.5865887e-02; 0.0000000e+00; 1.1430835e-01; 9.3187403e+00; 0.0000000e+00; 9.4715511e-01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 3.4328169e-01; 3.7422354e-02; 0.0000000e+00; 2.2223794e-02; 6.1407482e+00; 0.0000000e+00; 7.3466009e-01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.3539262e-01; 1.9571124e-01; 0.0000000e+00; 1.7150842e-01; 1.9750947e+01; 0.0000000e+00; 7.7661570e-01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 1.3956178e-01; 4.5079753e-02; 0.0000000e+00; 4.7574325e-02; 8.3262644e+00; 0.0000000e+00; 1.3188242e+00
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.9326847e-01; 5.0315627e-02; 0.0000000e+00; 4.9851153e-02; 2.0103299e+01; 0.0000000e+00; 2.9087096e+00
