                                                                     distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 6.6472255e-01; 4.1299847e-01; 6.9353355e-01; 7.2090050e-01; 3.3294055e+02; 5.3988812e+01; 2.2540093e+01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 0.0000000e+00; 1.1828992e-01; 1.3489256e-01; 1.1828982e-01; 1.2319385e+04; 7.3053332e+03; 2.7488235e+03
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 8.9376967e-01; 1.1141451e+00; 9.2394938e-01; 1.0011766e+00; 4.1998923e+01; 2.4930073e+01; 9.7258399e+00
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 5.6430746e-03; 3.8168666e-02; 2.0474736e-01; 1.6499855e-01; 2.7191901e+03; 4.6720919e+02; 2.5857300e+02
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 1.2424091e-01; 2.8833181e-01; 4.5819090e-01; 4.3649743e-01; 7.8109901e+02; 1.3703702e+02; 6.6031007e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 5.0477190e-01; 2.9374301e-01; 4.5825249e-01; 4.6946953e-01; 7.4895250e+02; 1.6559023e+02; 7.1473139e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 4.7493040e-01; 6.3081332e-01; 7.4899562e-01; 7.2433078e-01; 2.0985625e+02; 6.5533067e+01; 3.0803228e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 0.0000000e+00; 1.9755186e-02; 1.6329462e-02; 1.9753856e-02; 5.6138150e+03; 2.7405498e+03; 1.2525980e+03
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 6.0853903e+00; 4.0243060e-01; 1.1114516e+00; 1.0131493e+00; 2.5148651e+04; 2.7599715e+01; 1.4096561e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 1.0425662e+00; 6.5289138e-02; 1.2737154e-01; 1.0335847e-01; 2.6599051e+03; 8.2800240e+02; 4.2247383e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.0733067e-01; 1.6122583e-01; 1.5771904e-01; 1.4681121e-01; 1.9668616e+03; 9.3149100e+02; 4.3841974e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.1986986e+00; 1.6125592e-01; 4.3435063e-01; 4.3423032e-01; 1.8700798e+03; 2.4590796e+02; 1.0988046e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.5322938e-01; 6.5115160e-01; 7.5418707e-01; 7.6918211e-01; 2.5626564e+02; 9.0045343e+01; 3.9076325e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 0.0000000e+00; 4.5957363e-04; 1.1733248e-02; 4.6567561e-04; 5.6357785e+03; 2.6157286e+03; 1.2574574e+03
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.3204499e+00; 8.1990418e-01; 1.1229405e+00; 8.9428478e-01; 1.6297364e+02; 3.8526210e+01; 2.2845688e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 1.2561589e+00; 2.4291012e-01; 8.9703705e-02; 3.6562932e-01; 2.2654702e+03; 1.4311527e+03; 2.3399112e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 2.9212976e+00; 3.0160958e-01; 1.3559163e-01; 5.2470355e-01; 3.3350282e+03; 1.4414170e+03; 1.7272429e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 5.6631599e-01; 2.0043381e-02; 1.4516996e-02; 3.7330639e-02; 5.6278980e+03; 2.3179704e+03; 1.3429829e+03
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 2.9947467e+00; 4.4824926e-01; 1.7484640e-01; 9.3438368e-01; 2.3239337e+03; 8.9948731e+02; 6.7593275e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 7.9149219e-01; 1.0962030e-01; 4.8059635e-02; 1.2637767e-01; 3.0366763e+03; 1.8648232e+03; 5.6376897e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 8.9462277e-01; 6.1440774e-02; 2.3257471e-03; 2.9804299e-03; 1.1982574e+04; 2.9805652e+03; 1.3737860e+03
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 2.1847361e+00; 6.0987260e-01; 9.8547037e-01; 1.0468497e+00; 1.3830799e+03; 8.1589820e+01; 3.3014953e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.2401491e-01; 1.1922021e-01; 1.7049017e-01; 2.4202019e-01; 2.6826350e+03; 9.8437961e+02; 3.3001392e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.1649644e-03; 3.5838053e-01; 3.9308539e-01; 5.3170265e-01; 8.4774238e+02; 3.6314906e+02; 1.1282088e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.7830583e+00; 2.9022960e-01; 6.5680930e-01; 7.6914784e-01; 1.4201617e+03; 1.4896131e+02; 5.3539214e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 3.0603211e+00; 1.8060524e-01; 3.5488644e-01; 7.0848911e-01; 2.9435011e+03; 4.3150841e+02; 8.0295586e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 6.3820932e-01; 1.2320242e-02; 2.0642880e-02; 8.8351925e-03; 5.7285163e+03; 2.2148731e+03; 1.0480312e+03
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 4.0463706e+00; 4.7184171e-01; 5.0995614e-01; 8.9534974e-01; 2.9605294e+03; 2.3058337e+02; 4.7310808e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.9098607e-03; 1.4400299e-01; 1.0933948e-01; 2.2213320e-01; 2.2278734e+03; 1.2776891e+03; 3.6062817e+02
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 1.0087062e+00; 2.1280400e-01; 2.0349430e-01; 4.4719353e-01; 2.4306174e+03; 8.6140529e+02; 1.7415671e+02
