                                                   distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 1.3655412e-03; 4.7192362e-03; 1.1296664e-02; 2.6239794e-02; 2.6163921e+02; 2.4164943e+02; 5.0928335e+01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 2.1483541e+00; 3.9993209e-01; 1.1007904e-01; 3.0922185e-01; 2.3368385e+04; 4.8313782e+01; 6.5224301e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 1.0202104e-02; 1.2945822e-02; 8.1129194e-03; 2.5745258e-02; 5.3993410e+02; 4.7682291e+02; 9.8080224e+01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 9.0319533e-02; 1.0004328e-01; 5.1767034e-02; 1.8642681e-02; 1.0228957e+02; 7.8209903e+01; 1.5920899e+01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 7.8937195e-04; 2.4953704e-02; 6.4468642e-03; 6.2278816e-03; 1.4128864e+02; 1.3104727e+02; 2.8038140e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 1.0212685e-03; 3.0240249e-02; 1.0708089e-02; 2.9728409e-03; 2.8806433e+02; 2.6531331e+02; 5.6686564e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 2.9806288e-02; 1.5049138e-02; 4.3191174e-04; 2.0519701e-02; 5.4527197e+02; 5.0115443e+02; 1.0326659e+02
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 2.1978202e+00; 3.6839467e-01; 6.2470458e-02; 1.9273791e-01; 2.3897664e+04; 8.1899022e+01; 1.5015960e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 6.3132953e-03; 1.4487848e-02; 9.2150889e-04; 2.6417638e-02; 1.0810490e+03; 9.8295483e+02; 1.9463179e+02
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 1.9074186e-01; 6.6647133e-02; 3.9620136e-02; 2.0512261e-02; 1.6639903e+02; 1.5154611e+02; 3.2177693e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 1.8643653e-01; 7.0581916e-02; 2.0623790e-02; 2.7830949e-02; 3.3602727e+02; 2.8011487e+02; 6.5411570e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 2.2137999e-03; 4.0223201e-02; 4.8022156e-03; 1.6125536e-02; 6.0750662e+02; 5.2273784e+02; 1.0930081e+02
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 2.0074723e-02; 1.8310947e-02; 1.2875175e-03; 2.5019242e-02; 1.0948454e+03; 9.8839723e+02; 2.0107040e+02
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 2.0378212e+00; 3.6057399e-01; 5.8661749e-02; 1.9891413e-01; 2.9285611e+04; 1.6309290e+02; 2.9697878e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 2.1332452e-02; 1.2092597e-02; 1.8177538e-03; 1.5107535e-02; 2.1993663e+03; 2.0201098e+03; 4.2329192e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 8.4422316e-03; 3.3522290e-02; 2.9292300e-04; 5.3705835e-02; 4.9589590e+03; 4.2347604e+03; 8.0348298e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 6.8031241e-03; 3.0664829e-03; 2.3988461e-02; 4.8452500e-02; 7.8736525e+03; 6.0582672e+03; 1.3606746e+03
