                                                   distribution;      GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; -3.1813399e-01; 9.8219071e-02; 2.4733473e-02; 3.6534730e-02; 6.6967652e+01; 4.7104882e+01; 2.0182961e+01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; -7.1659387e-02; 1.5183183e-01; 1.7109417e-01; 3.3362335e-02; 2.1434726e+01; 1.1442872e+01; 3.7411154e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; -2.1389820e-01; 9.2210064e-02; 3.6737770e-02; 3.5924268e-02; 1.3621216e+02; 8.6210526e+01; 3.8704226e+01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; -4.5727188e-02; 4.7506941e-02; 6.5385534e-02; 2.1894709e-02; 3.0836627e+01; 1.6507198e+01; 6.5155364e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; -2.5210639e-01; 2.2619025e-02; 2.6624430e-04; 2.8025810e-02; 4.7081385e+01; 2.6231211e+01; 1.0762098e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; -1.6983556e-01; 2.1328978e-02; 7.1335432e-03; 1.8947734e-02; 9.5528996e+01; 5.4028430e+01; 2.2252156e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; -2.8199973e-01; 5.1377387e-02; 1.0578021e-02; 3.2809620e-02; 1.6279569e+02; 9.9331707e+01; 4.0895075e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; -1.0360339e-01; 1.4651538e-01; 1.1661979e-01; 4.4482795e-02; 4.2317693e+01; 1.9605890e+01; 7.6344970e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; -2.7643961e-01; 3.1438894e-02; 1.1797956e-02; 3.1627452e-02; 3.4064960e+02; 1.9196856e+02; 7.8604986e+01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; -1.6168429e-01; 4.3856247e-02; 5.5450921e-02; 2.3491801e-02; 6.1044509e+01; 3.2229961e+01; 1.3093489e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; -4.9897136e-02; 3.4502863e-02; 6.3386015e-02; 3.2818827e-02; 1.1773452e+02; 6.5958409e+01; 2.6746443e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; -2.0411999e-01; 3.2621035e-02; 3.3703614e-03; 2.9075153e-02; 1.8203485e+02; 1.0675686e+02; 4.3208217e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; -3.8043110e-01; 9.0126626e-02; 1.1322830e-02; 3.7438249e-02; 2.8194577e+02; 1.9657341e+02; 7.9858205e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; -9.7863637e-02; 1.1708991e-01; 1.1164927e-01; 3.9470508e-02; 7.8006611e+01; 3.8732767e+01; 1.5137499e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; -3.5467821e-01; 5.9324216e-02; 7.9688491e-03; 1.9617965e-02; 6.0261965e+02; 4.0245008e+02; 1.7069643e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; -4.4887206e-01; 5.0901494e-02; 2.0290090e-04; 6.3181594e-02; 1.4061259e+03; 8.7206001e+02; 3.2639975e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; -6.3378016e-01; 1.0114930e-01; 2.5975540e-03; 4.8909350e-02; 1.9715679e+03; 1.4557579e+03; 5.6219816e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; -1.3383302e-01; 9.4244461e-02; 3.0618850e-02; 8.4374052e-02; 5.7123609e+02; 2.3439341e+02; 1.2831275e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; -9.1703439e-02; 4.4314749e-02; 7.3763438e-03; 8.1128460e-02; 3.7048325e+03; 2.3660348e+03; 1.5729676e+03
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; -1.4637056e-01; 2.4720749e-02; 1.4816597e-02; 5.5506808e-02; 7.4979689e+02; 4.3577998e+02; 2.2093295e+02
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; -1.1769472e-01; 1.3430119e-01; 8.0503473e-02; 3.7894197e-02; 1.6439395e+02; 7.0643245e+01; 3.0357669e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; -6.3971132e-01; 1.7471476e-01; 1.5505225e-02; 7.7157483e-02; 7.5370218e+02; 7.2591453e+02; 2.5048673e+02
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_output_analysis; -9.8463353e-02; 3.1696954e-02; 5.2979667e-02; 3.0448295e-02; 2.3029367e+02; 1.2690782e+02; 5.2765128e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_output_analysis; -1.6663397e-01; 1.0089699e-02; 2.3609178e-04; 1.8668618e-02; 3.9828784e+02; 2.1107957e+02; 8.9141071e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_output_analysis; -3.5143494e-01; 5.0859078e-02; 9.4866707e-03; 4.1457350e-02; 6.5096926e+02; 3.9636832e+02; 1.5758118e+02
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_output_analysis; -3.6732176e-01; 2.4658430e-02; 3.3062613e-04; 2.6412885e-02; 1.4626528e+03; 8.3170171e+02; 3.3598020e+02
