                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 1.2355730e-03; 4.6817901e-03; 0.0000000e+00; 2.8286009e-03; 2.4316136e+00; 0.0000000e+00; 2.0285264e-01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 1.4750282e-01; 6.5410869e-02; 0.0000000e+00; 5.2947943e-02; 8.1572654e+00; 0.0000000e+00; 4.0516027e-01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 2.1338173e-03; 1.2026577e-03; 0.0000000e+00; 1.4190185e-03; 1.7511824e+00; 0.0000000e+00; 2.3684679e-01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 2.9356651e-02; 8.3685548e-03; 2.2432417e-03; 9.2018930e-03; 9.5400991e-01; 1.0479482e-01; 1.4420221e-01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 9.7487750e-03; 7.4218011e-03; 0.0000000e+00; 5.2624686e-03; 1.9124990e+00; 0.0000000e+00; 1.6733380e-01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 4.6729414e-03; 3.0566197e-03; 3.2415717e-03; 9.6399715e-03; 1.3945618e+00; 6.6529475e-01; 6.7021871e-01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 2.5270992e-03; 1.3356116e-03; 3.3045663e-03; 6.7488522e-03; 1.4411060e+00; 1.4594539e+00; 1.0589833e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 2.9488800e-01; 7.5273709e-02; 0.0000000e+00; 5.8481306e-02; 1.7408394e+01; 0.0000000e+00; 8.7112834e-01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 5.2511583e-04; 2.9836651e-03; 2.9816918e-03; 7.5018284e-03; 6.9068209e+00; 2.8952291e+00; 2.6423363e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 1.1662122e-01; 7.3909793e-03; 4.1550067e-03; 1.1868380e-02; 1.0736837e+00; 4.5298527e-01; 3.8296058e-01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 1.1177519e-01; 8.1313869e-03; 0.0000000e+00; 1.0106959e-02; 2.5002864e+00; 0.0000000e+00; 6.5800679e-01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 4.5493294e-02; 6.8875838e-03; 2.0747722e-03; 1.4234561e-02; 5.5767584e+00; 8.4280626e-01; 1.8701102e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 1.9356790e-03; 5.5080843e-03; 2.1470682e-03; 1.0410275e-02; 1.1213030e+01; 1.9426332e+00; 3.1603990e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 1.1132739e+01; 1.1463051e-01; 0.0000000e+00; 6.1185711e-02; 2.0367900e+04; 0.0000000e+00; 1.8304838e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 4.8517384e-04; 8.4186760e-03; 1.9302972e-03; 7.3405695e-03; 4.1793167e+01; 4.0869621e+00; 5.7115499e+00
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 3.2858522e-02; 5.7744530e-02; 2.3148758e-03; 4.5994256e-02; 4.1278077e+02; 9.7817889e+00; 4.3055144e+01
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 8.5935523e-02; 3.2249689e-02; 3.0827892e-03; 4.3135034e-02; 4.2874117e+02; 2.7752253e+01; 8.4440884e+01
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; 3.9445242e-01; 7.0560364e-02; 3.4985188e-03; 4.1938470e-02; 1.9842806e+02; 3.5836220e+00; 1.1642112e+01
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; 3.7431790e-01; 2.4196641e-02; 2.9227568e-03; 4.2348165e-02; 9.7642216e+02; 4.5306823e+01; 3.2124934e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; 4.4072705e-01; 2.4674273e-02; 5.7476076e-03; 1.4448691e-02; 7.4854677e+01; 1.1709695e+01; 9.5666353e+00
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; 4.6825864e-01; 7.9685523e-02; 0.0000000e+00; 6.1442234e-02; 6.9537111e+01; 0.0000000e+00; 3.6471662e+00
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; 1.3930963e-03; 1.5311186e-02; 2.3472236e-03; 2.1331555e-02; 1.4588881e+02; 9.0309766e+00; 2.3768164e+01
