                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 1.2779506e-02; 2.6182980e-03; 0.0000000e+00; 6.0192893e-05; 1.1778631e+03; 0.0000000e+00; 6.2650244e-01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 1.5832040e-03; 1.8705339e-02; 0.0000000e+00; 1.5678165e-04; 2.6454199e+03; 0.0000000e+00; 7.5092099e-01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 2.3008404e-01; 5.5756301e-02; 0.0000000e+00; 9.7307970e-05; 3.0882828e+04; 0.0000000e+00; 7.3695850e-01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00; 0.0000000e+00
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 1.2680686e-17; 5.0920843e-03; 0.0000000e+00; 5.0919944e-03; 2.4258870e+02; 0.0000000e+00; 5.4127383e+01
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 8.6906418e-04; 8.3201414e-03; 0.0000000e+00; 3.1104050e-03; 5.2511466e+02; 0.0000000e+00; 3.1094093e+01
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 0.0000000e+00; 5.3797875e-04; 0.0000000e+00; 5.3796996e-04; 7.3630523e+01; 0.0000000e+00; 1.6428893e+01
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 8.0934793e-04; 7.3491726e-03; 0.0000000e+00; 6.5942964e-03; 4.4677054e+02; 0.0000000e+00; 3.5086589e+01
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 2.3415794e-03; 2.1414001e-02; 0.0000000e+00; 5.6850013e-03; 1.7972001e+03; 0.0000000e+00; 6.2132533e+01
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 7.0227471e-04; 8.1628978e-03; 2.1271187e-03; 9.0491809e-04; 3.8470385e+02; 4.4517793e+01; 7.6513890e+00
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 4.9195408e-04; 4.8538780e-03; 0.0000000e+00; 7.1801620e-03; 2.4243808e+02; 0.0000000e+00; 4.2287992e+01
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 8.4065858e-02; 1.9020952e-02; 0.0000000e+00; 2.6479293e-02; 9.8847574e+02; 0.0000000e+00; 7.5714027e+01
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 7.5225850e-01; 4.6490292e-02; 0.0000000e+00; 5.9695807e-03; 2.5689690e+04; 0.0000000e+00; 2.3863571e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 8.5657284e-04; 7.2748346e-03; 0.0000000e+00; 1.5501873e-02; 4.9397512e+02; 0.0000000e+00; 6.6526769e+01
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 4.2182353e-03; 2.9642357e-02; 4.4297793e-03; 7.6547261e-02; 8.2613945e+02; 8.5177685e+01; 2.5147512e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 1.1494577e-02; 7.1344504e-02; 5.3028410e-03; 1.4523321e-01; 1.7661975e+03; 1.3720173e+02; 3.2418429e+02
