harmonic Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]            fluctuation                 R0[nm]
       1     35.4  2.1e-06  4.979217224922523e-05  5.268506625354028e+03  0.000000000000000e+00  4.039885897101631e+02
       1     47.2  5.3e-06  4.989353461206854e-05  5.205080380862941e+03  4.842760580960419e-03  9.999999922697610e+04
       1     59.0  1.4e-05  5.009369577239988e-05  5.088294052719804e+03  1.058127343915479e-02  9.999998196979600e+04
       1     70.8  1.5e-05  5.017659485101820e-05  5.042450186328088e+03  1.224413190989857e-02  9.999999997390772e+04
       1     82.6  1.4e-05  5.019868429414676e-05  5.030631244284174e+03  1.258117254609394e-02  1.000000000000000e+05
       1     94.4  1.2e-05  5.019299991061006e-05  5.033607955517215e+03  1.251130628513401e-02  1.000000000000000e+05
       1    106.2  1.3e-05  5.017024996896824e-05  5.045350137093970e+03  1.227623512389121e-02  1.000000000000000e+05
       1    118.0  2.0e-05  5.022523367785451e-05  5.017412054596368e+03  1.276858115067823e-02  1.000000000000000e+05
       1    129.8  4.1e-05  5.032605685781332e-05  4.967286137490632e+03  1.356808347833310e-02  1.000000000000000e+05
       1    141.6  7.1e-05  5.046542066789049e-05  4.899737692661167e+03  1.456528181422900e-02  9.999999999945682e+04
       1    153.4  1.1e-04  5.063483028304565e-05  4.819908744670402e+03  1.567648974071364e-02  9.999999999991490e+04
       1    165.2  1.9e-04  5.089487681792082e-05  4.701544545113641e+03  1.725681801277972e-02  9.999999999999095e+04
       1    177.0  3.1e-04  5.123887027211061e-05  4.551833032401709e+03  1.920452015396025e-02  1.000000000000000e+05
       1    188.8  4.7e-04  5.161624525039161e-05  4.395776938654486e+03  2.120591015827080e-02  1.000000000000000e+05
       1    200.6  6.4e-04  5.197386796117036e-05  4.255191974957081e+03  2.299521437790659e-02  1.000000000000000e+05
       2     35.4  5.3e-13  5.002777327919807e-05  2.350685352209271e+03  9.354068478060525e-03  1.645999907772885e+04
       2     47.2  2.4e-05  5.019356906001748e-05  2.310889993867064e+03  9.227892509214885e-03  9.999999976981850e+04
       2     59.0  2.1e-05  5.016156580751999e-05  2.318268978410008e+03  8.957060739887196e-03  9.999999990624137e+04
       2     70.8  2.7e-05  5.022327070458363e-05  2.304389813813898e+03  9.370084388075959e-03  1.000000000000000e+05
       2     82.6  1.1e-04  5.046737681876676e-05  2.251364827186436e+03  1.076625886213790e-02  1.000000000000000e+05
       2     94.4  2.7e-04  5.082840443486127e-05  2.176704508847825e+03  1.261029950334423e-02  1.000000000000000e+05
       2    106.2  5.2e-04  5.121885332766661e-05  2.100274021766959e+03  1.444236701817856e-02  1.000000000000000e+05
       3     35.4  3.0e-13  5.007428027614676e-05  1.521483117638917e+03  8.121050198130352e-03  3.611902214354154e+04
       3     47.2  7.4e-06  5.009114327778682e-05  1.519126195366778e+03  7.174981308580279e-03  1.000000000000000e+05
       3     59.0  1.7e-04  5.044395396983805e-05  1.469134882650107e+03  9.033205253311636e-03  1.000000000000000e+05
       3     70.8  5.4e-04  5.096724460592251e-05  1.399852144411347e+03  1.144978577346423e-02  1.000000000000000e+05
       4     35.4  7.0e-12  5.022781035196656e-05  1.099924618053926e+03  1.567454282640301e-02  1.331541955486192e+03
       4     47.2  2.8e-04  5.071673448109790e-05  1.052238875428797e+03  9.395137516431409e-03  1.000000000000000e+05
       5     35.4  1.8e-10  5.185760539522176e-05  7.568175093656091e+02  1.200881934580698e-02  1.000000000000000e+05
