harmonic Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]
       1     35.4  5.3e-09  4.977605899982142e-05  5.277492604783675e+03
       1     47.2  1.3e-08  4.976110280829966e-05  5.286839509937321e+03
       1     59.0  4.4e-08  4.971942287815338e-05  5.312674649001396e+03
       1     70.8  8.3e-08  4.966194793956435e-05  5.348197201454661e+03
       1     82.6  1.3e-07  4.959453155775250e-05  5.389885858737107e+03
       1     94.4  1.7e-07  4.952033684263851e-05  5.435898479342490e+03
       1    106.2  2.2e-07  4.944154752027192e-05  5.484985514790022e+03
       1    118.0  2.9e-07  4.935254529965615e-05  5.540791837518675e+03
       1    129.8  3.6e-07  4.925086950673561e-05  5.605103706772239e+03
       1    141.6  4.6e-07  4.913222562060500e-05  5.681015377710112e+03
       1    153.4  5.9e-07  4.899050043610831e-05  5.773065167817806e+03
       1    165.2  8.1e-07  4.879630583394310e-05  5.901899725619568e+03
       1    177.0  1.2e-06  4.849943888411556e-05  6.105601946302576e+03
       2     35.4  3.0e-07  4.959706376536535e-05  1.232199446980639e+03
       2     47.2  6.4e-07  4.941254043259922e-05  1.256013297257294e+03
       2     59.0  9.8e-07  4.921652968063947e-05  1.281637121192039e+03
       2     70.8  1.5e-06  4.898856577145152e-05  1.311986217666595e+03
       2     82.6  2.4e-06  4.864992523345775e-05  1.358451983342802e+03
       2     94.4  5.0e-06  4.798819588981114e-05  1.455188851078846e+03
       3     35.4  1.5e-06  4.912201758975288e-05  5.587918093838598e+02
       3     47.2  2.7e-06  4.878524389753229e-05  5.773809156322212e+02
       3     59.0  6.6e-06  4.811734576878700e-05  6.162976456339604e+02
       4     35.4  4.5e-06  4.852561549925107e-05  3.243152689571075e+02
       4     47.2  1.9e-05  4.711548254610546e-05  3.708974518907809e+02
       5     35.4  2.2e-05  4.703835542083616e-05  2.351257673226761e+02
