harmonic Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]
       1     35.4  2.3e-06  4.979570755580706e-05  1.175073316272124e+03
       1     47.2  1.3e-05  4.971498967952939e-05  1.185055672362753e+03
       1     59.0  5.3e-05  4.951484593684849e-05  1.209261420473347e+03
       1     70.8  9.9e-05  4.928100042469074e-05  1.237486946426897e+03
       1     82.6  1.5e-04  4.904256478620219e-05  1.266477078311072e+03
       1     94.4  2.1e-04  4.881326589824443e-05  1.294694668611991e+03
       1    106.2  2.6e-04  4.860403697170503e-05  1.320809239212074e+03
       1    118.0  3.3e-04  4.838983324202380e-05  1.347987955533061e+03
       1    129.8  4.1e-04  4.818125113067855e-05  1.374964000357811e+03
       1    141.6  4.9e-04  4.798674817830078e-05  1.400626038725291e+03
       1    153.4  5.7e-04  4.781512775386986e-05  1.423706700301568e+03
       1    165.2  6.8e-04  4.765380251544163e-05  1.445801468899039e+03
       1    177.0  8.1e-04  4.750522120071189e-05  1.466513233310533e+03
       1    188.8  9.6e-04  4.737859913868138e-05  1.484449277119202e+03
       1    200.6  1.1e-03  4.727886337524090e-05  1.498765244231450e+03
       2     35.4  9.5e-05  4.942791104272303e-05  5.583529368800491e+02
       2     47.2  2.4e-04  4.900620277782201e-05  5.807844132497028e+02
       2     59.0  3.3e-04  4.867497882704597e-05  5.987314947836121e+02
       2     70.8  4.3e-04  4.841348741419845e-05  6.131901480637730e+02
       2     82.6  5.4e-04  4.820359116751637e-05  6.250267931101694e+02
       2     94.4  6.8e-04  4.805492296253612e-05  6.335503987241573e+02
       2    106.2  8.7e-04  4.795680908696146e-05  6.392409994728675e+02
       3     35.4  3.2e-04  4.893435443768052e-05  3.797994001245590e+02
       3     47.2  4.3e-04  4.861330544322047e-05  3.909306274904435e+02
       3     59.0  5.7e-04  4.839975494995586e-05  3.984726516953244e+02
       3     70.8  8.4e-04  4.827046418080306e-05  4.031032002181264e+02
       4     35.4  4.7e-04  4.863599726464242e-05  2.859984038689564e+02
       4     47.2  6.7e-04  4.841925067817235e-05  2.915584031410627e+02
       5     35.4  7.2e-04  4.822314865752168e-05  2.348665280481086e+02
