   0.9.7 # v: lpa-ouput version
5.17E+13 # d: dislocation density [m^-2]
    real # t: A(L) transformation
    GUW1 # m: model function
      F1 # f: filter
# j Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]            fluctuation                 R0[nm]
  1      4.5  2.0e-05  4.765122807784467e-05  1.957868479682135e+03  0.000000000000000e+00  4.403325066093313e+00
  1      6.0  1.4e-05  4.852455826864247e-05  1.765759831327681e+03  1.000000000000000e+02  6.977113875639402e+00
  1      7.5  1.1e-05  4.852993387774691e-05  1.765096417355220e+03  1.000000000000000e+02  7.049181486946727e+00
  1      9.0  1.0e-05  4.732187823215451e-05  2.046040088845810e+03  1.000000000000000e+02  5.404124340332625e+00
  1     10.5  1.7e-05  5.038732863964155e-05  1.430996021521823e+03  1.000000000000000e+02  7.905394024513735e+00
  1     12.0  2.0e-05  5.125336569298873e-05  1.301584077712646e+03  0.000000000000000e+00  5.890454961499627e+02
  1     13.5  2.1e-05  5.069994045648372e-05  1.374337603671172e+03  0.000000000000000e+00  5.179259501200720e+02
  1     15.0  2.9e-05  4.982221675731820e-05  1.499053709178056e+03  0.000000000000000e+00  4.068277889112662e+02
  1     16.5  4.4e-05  4.867980589994161e-05  1.682585395050773e+03  0.000000000000000e+00  7.201524416774524e+02
  1     18.0  5.8e-05  4.760832064448911e-05  1.880869019528831e+03  0.000000000000000e+00  6.992259450485649e+02
  1     19.5  2.0e-05  4.933410524256454e-05  1.739500628328668e+03  4.122607860370519e+01  3.131328687026850e+01
  1     21.0  2.1e-05  5.104156558849257e-05  1.437710470159010e+03  4.748986542156227e+01  2.565180088713620e+01
  1     22.5  2.1e-05  5.157049165021027e-05  1.367923581958453e+03  5.268066183340184e+01  2.450809818496997e+01
  1     24.0  2.4e-05  5.072010982678927e-05  1.475964758420961e+03  4.358320215546848e+01  2.599085553843186e+01
  1     25.5  2.7e-05  5.002589865308166e-05  1.571735164140327e+03  3.659563342083169e+01  2.736419757134984e+01
  1     27.0  2.7e-05  4.970179389079053e-05  1.618290505964578e+03  3.344144279478352e+01  2.800688307362385e+01
  1     28.5  3.0e-05  4.915903023792707e-05  1.698465084442836e+03  2.828130019162778e+01  2.902972926789111e+01
  1     30.0  3.1e-05  4.878643001937043e-05  1.755473511560019e+03  2.484838161000492e+01  2.971081348715696e+01
  1     31.5  3.4e-05  4.837252255852665e-05  1.820509310030051e+03  2.114814993298811e+01  3.039441278719205e+01
  1     33.0  4.0e-05  4.781233474984680e-05  1.912434676283131e+03  1.629605688589083e+01  3.129207631642192e+01
  1     34.5  5.1e-05  4.710666655070945e-05  2.036488763200585e+03  1.037039594263657e+01  3.271604368317470e+01
  1     36.0  5.2e-05  4.679632357027503e-05  2.094114312284712e+03  7.864598368649153e+00  3.353043583664898e+01
  1     37.5  5.1e-05  4.671102210251885e-05  2.110113367456622e+03  7.206813326794055e+00  3.370534179497721e+01
  1     39.0  5.2e-05  4.650746508858304e-05  2.148471959214041e+03  5.714975063385436e+00  3.388342516871084e+01
  1     40.5  5.1e-05  4.652629660911263e-05  2.144915093876617e+03  5.844519955701291e+00  3.389302978047606e+01
  1     42.0  5.1e-05  4.638141455880198e-05  2.172374014675556e+03  4.920618290040093e+00  3.359306430794891e+01
  1     43.5  5.5e-05  4.609382702593278e-05  2.228715904136382e+03  3.231334156261143e+00  3.213605695608561e+01
  1     45.0  5.9e-05  4.584127805748493e-05  2.281297553498565e+03  1.924920351801977e+00  2.915639201944435e+01
  1     46.5  6.2e-05  4.559704118435926e-05  2.336983568330857e+03  9.273564799364914e-01  2.300973840136669e+01
  1     48.0  6.2e-05  4.542099406711487e-05  2.381599827512819e+03  4.414126865476065e-01  1.542295902672315e+01
  1     49.5  6.2e-05  4.532744917164524e-05  2.407014286512063e+03  2.731974043285721e-01  1.059195449050938e+01
  1     51.0  6.2e-05  4.520529238277427e-05  2.441745861771409e+03  1.315523007474071e-01  4.693165040457043e+00
  1     52.5  6.2e-05  4.503996196120079e-05  2.491132700496881e+03  3.284686088491905e-02  2.980840582609057e-01
  1     54.0  6.2e-05  4.493161262333136e-05  2.524698024139549e+03  6.658531690174272e-03  3.206967869272404e-04
  1     55.5  6.1e-05  4.484622365081943e-05  2.551664779239516e+03  1.776601443732464e-04  5.017169119329478e-32
  1     57.0  6.2e-05  4.491331611287464e-05  2.533536799103711e+03  2.605824128204774e-05  1.053816111787973e-83
  1     58.5  6.9e-05  4.508620601928153e-05  2.486961239036460e+03  4.165885392935060e-06 1.001053278371582e-200
  1     60.0  7.7e-05  4.527514533208300e-05  2.437493938621066e+03  3.719676001705045e-06 1.000000635826193e-200
  1     61.5  8.3e-05  4.544057269623630e-05  2.395517179777322e+03  3.351118040339247e-06 1.000000034035069e-200
  1     63.0  9.7e-05  4.568542173052917e-05  2.335525466372546e+03  2.837178770325860e-06 1.000010759683654e-200
  1     64.5  1.1e-04  4.589187258415659e-05  2.286811954024091e+03  2.429714763040663e-06 1.042292580877371e-200
  1     66.0  1.2e-04  4.609789590491057e-05  2.239842468309533e+03  2.045157011770972e-06 1.000825290790882e-200
  1     67.5  1.2e-04  4.626290168747804e-05  2.203374012254405e+03  1.754059638996818e-06 1.000000000000000e-200
  1     69.0  1.3e-04  4.643679522395079e-05  2.166017363552538e+03  1.463160826623847e-06 1.000000022725550e-200
  1     70.5  1.4e-04  4.666160877398681e-05  2.119255749451189e+03  1.107161231054374e-06 1.000363926028321e-200
  1     72.0  1.6e-04  4.691089748541651e-05  2.069294902126213e+03  7.344170958266065e-07 1.000000000000000e-200
  1     73.5  1.8e-04  4.719352536177599e-05  2.014910254181963e+03  3.365665506770805e-07 1.358481134635444e-200
  1     75.0  2.1e-04  4.741692246540335e-05  1.972771639179117e+03  0.000000000000000e+00 2.683476737682383e-200
  2      4.5  4.5e-05  4.605481242639665e-05  9.057392792213243e+02  0.000000000000000e+00  6.298800967712264e+02
  2      6.0  3.3e-05  4.692965440012358e-05  8.178567939232850e+02  2.945157685071816e-11  3.475733957070494e+01
  2      7.5  2.9e-05  4.453302041031152e-05  1.121637687676272e+03  2.237660607724562e-01  9.999999989666115e+04
  2      9.0  2.7e-05  4.542070431163888e-05  1.003153306937154e+03  9.656311930657295e-01  4.178921202564834e+02
  2     10.5  2.7e-05  4.045294391820978e-05  2.234901147440360e+03  2.617592335758530e+01  4.131335298080088e+01
  2     12.0  2.5e-05  4.111753168136802e-05  1.989591585059041e+03  2.262093850396427e+01  4.195987069137274e+01
  2     13.5  2.3e-05  4.183208091117820e-05  1.766762053613333e+03  1.963380260224147e+01  4.211725187993257e+01
  2     15.0  2.4e-05  4.391889207130260e-05  1.283808214426980e+03  1.313639766052278e+01  4.092375213327600e+01
  2     16.5  2.6e-05  4.593747067243126e-05  9.744382965735896e+02  8.889833467672156e+00  3.692531795539777e+01
  2     18.0  3.2e-05  4.839824327367678e-05  7.293586870553577e+02  7.549501384551176e+00  2.491335994122988e+01
  2     19.5  3.3e-05  4.888812878365191e-05  6.961929887790664e+02  8.849952699547821e+00  2.244197283357909e+01
  2     21.0  3.2e-05  4.883576846675396e-05  6.992661167504182e+02  8.647955930026979e+00  2.262143670940547e+01
  2     22.5  3.9e-05  4.837668651304125e-05  7.257985329813998e+02  6.898352990885012e+00  2.409663242417960e+01
  2     24.0  5.1e-05  4.781789452761463e-05  7.599869902114059e+02  5.032876263325869e+00  2.648147784063240e+01
  2     25.5  5.6e-05  4.739836069283316e-05  7.877055824561074e+02  3.890598756982000e+00  2.907173895842320e+01
  2     27.0  6.2e-05  4.698327155393732e-05  8.175373059920872e+02  3.038475249868380e+00  3.266280457036044e+01
  2     28.5  7.1e-05  4.636664201143919e-05  8.689192970350916e+02  2.402057544560567e+00  4.014877273174961e+01
  2     30.0  7.3e-05  4.595885799799739e-05  9.078417741309024e+02  2.298786069855921e+00  4.550123353748697e+01
  2     31.5  8.1e-05  4.521747238968826e-05  9.873035499899920e+02  2.392554662535520e+00  5.405424689602682e+01
  2     33.0  8.7e-05  4.447834893600230e-05  1.077446171776574e+03  2.637315890043863e+00  6.077088158748481e+01
  2     34.5  8.6e-05  4.430265508345173e-05  1.100382960841945e+03  2.699225880513283e+00  6.217527790609071e+01
  2     36.0  8.5e-05  4.454049354418317e-05  1.070005747471785e+03  2.636465806804321e+00  6.019687048434314e+01
  2     37.5  8.4e-05  4.474834425701868e-05  1.045025350080982e+03  2.610570496948438e+00  5.833520767841804e+01
  2     39.0  8.3e-05  4.462511270461121e-05  1.059433178862772e+03  2.614794113584151e+00  5.945954460712944e+01
  2     40.5  8.5e-05  4.432675791757844e-05  1.095196130663153e+03  2.624442143009587e+00  6.211991113742247e+01
  2     42.0  9.6e-05  4.379680538847930e-05  1.163114135712053e+03  2.669439219183662e+00  6.661201077622135e+01
  2     43.5  1.2e-04  4.292160761557036e-05  1.289903401488588e+03  2.823107909214023e+00  7.329983633502252e+01
  2     45.0  1.5e-04  4.195150452369868e-05  1.455134166239316e+03  3.074895956924886e+00  7.966606016537530e+01
  2     46.5  1.8e-04  4.089072146031249e-05  1.671488407005024e+03  3.414600380774757e+00  8.557493982313486e+01
  2     48.0  2.1e-04  3.969145748797920e-05  1.972445248952160e+03  3.861484287487432e+00  9.122811818715735e+01
  2     49.5  2.4e-04  3.840351535624709e-05  2.382753940053920e+03  4.408616291507284e+00  9.638456010548926e+01
  2     51.0  2.8e-04  3.694392165490905e-05  2.997579148529512e+03  5.114797167213062e+00  1.013740658248462e+02
  2     52.5  3.4e-04  3.510173730805303e-05  4.112435162387944e+03  6.156329386219317e+00  1.066971567893723e+02
  2     54.0  4.2e-04  3.280506430468375e-05  6.404354980299004e+03  7.745383181656242e+00  1.122042285351858e+02
  2     55.5  5.1e-04  3.024472894035492e-05  1.134534234057217e+04  1.001403030381762e+01  1.172846367267277e+02
  2     57.0  6.2e-04  2.735783101087984e-05  2.453843950254303e+04  1.345595377221378e+01  1.220668902231940e+02
  2     58.5  7.5e-04  2.401355480152084e-05  7.545328672367288e+04  1.925090108275615e+01  1.267083801365630e+02
  2     60.0  9.0e-04  2.337224876798528e-05  1.000000000000000e+05  2.139248962544762e+01  1.264369286917599e+02
  2     61.5  1.1e-03  2.348158006713451e-05  1.000000000000000e+05  2.216217792079313e+01  1.249222828094957e+02
  2     63.0  1.4e-03  2.361173064606888e-05  1.000000000000000e+05  2.303031394982813e+01  1.233815489185644e+02
  2     64.5  1.7e-03  2.376398278395321e-05  1.000000000000000e+05  2.398929163209613e+01  1.218559712185800e+02
  2     66.0  2.0e-03  2.393853189471491e-05  1.000000000000000e+05  2.502342254860881e+01  1.203884635314847e+02
  2     67.5  2.5e-03  2.413533518155303e-05  1.000000000000000e+05  2.611549751426680e+01  1.190108311632772e+02
  2     69.0  3.0e-03  2.436182669456738e-05  1.000000000000000e+05  2.728681740875228e+01  1.177017759025147e+02
  2     70.5  3.6e-03  2.461912253646668e-05  1.000000000000000e+05  2.851938521036654e+01  1.164860571010985e+02
  2     72.0  4.3e-03  2.491060030052102e-05  1.000000000000000e+05  2.980435755788420e+01  1.153707353385122e+02
  2     73.5  5.1e-03  2.523953622884457e-05  1.000000000000000e+05  3.112901183552729e+01  1.143615665947000e+02
  2     75.0  6.1e-03  2.560784675663272e-05  1.000000000000000e+05  3.247330832671708e+01  1.134643927902623e+02
  3      4.5  4.2e-14  4.511437036400905e-05  6.626667092844609e+02  2.127001731552958e-01  2.047189865503358e+04
  3      6.0  1.1e-12  4.207152934149200e-05  1.079336915964768e+03  2.137648634378540e+01  2.384959224801467e+01
  3      7.5  2.4e-05  4.450527972171295e-05  7.075936835763906e+02  1.305002136707676e-01  9.999999999722297e+04
  3      9.0  4.5e-05  3.788432263382911e-05  2.167919865551968e+03  2.458405538048290e+01  3.533636089616137e+01
  3     10.5  4.1e-05  3.881259796343756e-05  1.820042631673795e+03  2.087153619617064e+01  3.586930258455678e+01
  3     12.0  4.4e-05  4.252470557649068e-05  9.882635238411090e+02  1.094935892509524e+01  3.600241322429353e+01
  3     13.5  4.6e-05  4.506302786202525e-05  6.950089580762708e+02  6.777301500227079e+00  3.387524531138850e+01
  3     15.0  5.5e-05  4.838421097457227e-05  4.714101423963458e+02  4.358584725196541e+00  2.301989099834097e+01
  3     16.5  5.4e-05  4.887172757193906e-05  4.499828420018830e+02  4.794436710394912e+00  2.060439732379663e+01
  3     18.0  5.3e-05  4.859752796330049e-05  4.607735679327116e+02  4.368492765570187e+00  2.178975247186604e+01
  3     19.5  6.0e-05  4.804945347145262e-05  4.831516945289820e+02  3.640659305709496e+00  2.437031275895252e+01
  3     21.0  7.4e-05  4.726266052522216e-05  5.195233743862676e+02  3.030592009860865e+00  2.885932878789282e+01
  3     22.5  9.9e-05  4.598508155011656e-05  5.925202097283698e+02  2.889484612400960e+00  3.653919947480482e+01
  3     24.0  1.1e-04  4.478590949238379e-05  6.775797136700812e+02  3.165278124060467e+00  4.246042989179287e+01
  3     25.5  1.3e-04  4.343882997198388e-05  7.949656265362482e+02  3.627554399050916e+00  4.768155217443540e+01
  3     27.0  1.3e-04  4.251071486678904e-05  8.920467734059380e+02  3.985437448227602e+00  5.068549908843946e+01
  3     28.5  1.5e-04  4.145037829202992e-05  1.022770347500178e+03  4.413166162328132e+00  5.373319389260855e+01
  3     30.0  1.6e-04  4.044200373555346e-05  1.171290326514080e+03  4.840555111640791e+00  5.634388311240292e+01
  3     31.5  1.7e-04  3.951464406714632e-05  1.333554238965072e+03  5.249336092920173e+00  5.856239814518425e+01
  3     33.0  1.8e-04  3.847063130152595e-05  1.553065699753875e+03  5.731311102776512e+00  6.089312540490621e+01
  3     34.5  2.1e-04  3.726663656097211e-05  1.868897554869352e+03  6.327818718969827e+00  6.338941192745510e+01
  3     36.0  2.7e-04  3.541482640358240e-05  2.542522967794147e+03  7.370498785229908e+00  6.686214585787883e+01
  3     37.5  3.9e-04  3.272487454077875e-05  4.224315527868748e+03  9.260302947394134e+00  7.121651960928423e+01
  3     39.0  5.5e-04  2.927593216406891e-05  9.268422493778044e+03  1.259886745554187e+01  7.586680001130046e+01
  3     40.5  7.3e-04  2.519615164257550e-05  3.091692924262843e+04  1.865920303912370e+01  8.038701709795797e+01
