4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9665293	 0.0000005	 0.0082125	 0.0000008	 0.8872173	 0.0000007	 0.0147190	 0.0000010	 0.7789129	 0.0003943	 0.0184531	 0.0006831	 0.6562991	 0.0005271	 0.0187210	 0.0007892	 0.5300977	 0.0006448	 0.0162151	 0.0008496	 0.0373632	168249
  23.6	 0.8855169	 0.0000007	 0.0150913	 0.0000010	 0.6532525	 0.0000010	 0.0193171	 0.0000012	 0.4062888	 0.0007400	 0.0117520	 0.0008755	 0.2104875	 0.0008487	-0.0001166	 0.0008855	 0.0863381	 0.0008815	-0.0079058	 0.0008861	 0.0192086	164757
  35.4	 0.7742312	 0.0000009	 0.0193369	 0.0000012	 0.4039166	 0.0000012	 0.0124173	 0.0000013	 0.1369053	 0.0008700	-0.0040935	 0.0008830	 0.0250237	 0.0008812	-0.0098181	 0.0008878	 0.0025450	 0.0008777	-0.0085961	 0.0008918	 0.0129825	161382
  47.2	 0.6474194	 0.0000010	 0.0202728	 0.0000012	 0.2056124	 0.0000013	 0.0014214	 0.0000013	 0.0238361	 0.0008795	-0.0087098	 0.0008850	 0.0019530	 0.0008747	-0.0072717	 0.0008903	 0.0027159	 0.0008811	-0.0054455	 0.0008840	 0.0098230	158071
  59.0	 0.5178731	 0.0000011	 0.0184684	 0.0000013	 0.0824952	 0.0000013	-0.0060610	 0.0000013	 0.0023977	 0.0008726	-0.0074965	 0.0008880	 0.0020868	 0.0008787	-0.0059604	 0.0008820	-0.0088186	 0.0008781	 0.0090048	 0.0008825	 0.0077561	154892
  70.8	 0.3961096	 0.0000012	 0.0138659	 0.0000013	 0.0244544	 0.0000013	-0.0078244	 0.0000013	 0.0038370	 0.0008722	-0.0088496	 0.0008841	-0.0073580	 0.0008773	 0.0048528	 0.0008791	-0.0177998	 0.0008763	 0.0198140	 0.0008795	 0.0061949	151712
  82.6	 0.2891334	 0.0000012	 0.0080096	 0.0000013	 0.0066785	 0.0000013	-0.0070432	 0.0000013	 0.0016594	 0.0008763	-0.0063902	 0.0008759	-0.0169127	 0.0008735	 0.0187147	 0.0008782	-0.0158007	 0.0008770	 0.0143357	 0.0008749	 0.0051587	148614
  94.4	 0.2008991	 0.0000013	 0.0019185	 0.0000013	 0.0073883	 0.0000013	-0.0077793	 0.0000013	-0.0065194	 0.0008726	 0.0041660	 0.0008757	-0.0195231	 0.0008730	 0.0213300	 0.0008746	-0.0025918	 0.0008756	 0.0060263	 0.0008727	 0.0044330	145694
 106.2	 0.1327334	 0.0000013	-0.0033388	 0.0000013	 0.0109847	 0.0000013	-0.0097155	 0.0000013	-0.0147647	 0.0008696	 0.0161266	 0.0008743	-0.0150971	 0.0008759	 0.0124655	 0.0008681	 0.0010556	 0.0008711	 0.0118803	 0.0008731	 0.0038355	142684
 118.0	 0.0836599	 0.0000013	-0.0083959	 0.0000013	 0.0113672	 0.0000013	-0.0101148	 0.0000013	-0.0199670	 0.0008704	 0.0230890	 0.0008693	-0.0037200	 0.0008707	 0.0064528	 0.0008697	-0.0086787	 0.0008694	 0.0137496	 0.0008709	 0.0033201	139812
