50000 # No of dislocations in the cell
200000 # Np of point-pairs
  2000 # Radius
 2  0  0 # diffraction vector, g:
 1 -1 -2 # line vector, l:
0.202470  0.202470  0.000000 # Burgers vector, b in [nm]
0.266310 # C_factor/ nu = 0.345000
0.404940 # lattice parameter, [nm]
L cos_AL err_Cos sin_AL err_Sin	Cos_2AL err_Cos_2AL Sin_2AL err_Sin_2AL ...
 3.7 0.9635034 0.0000020 -0.0117214  0.0000032  0.8773425  0.0000030 ...
 7.4 0.8752596 0.0000030 -0.0209684  0.0000042  0.6312521  0.0000043 ...
11.1 0.7561396 0.0000037 -0.0264964  0.0000047  0.3862932  0.0000049 ...
14.8 0.6253112 0.0000043 -0.0289239  0.0000050  0.2062116  0.0000052 ...
18.5 0.4959708 0.0000042 -0.0269864  0.0000051  0.0999019  0.0000053 ...
22.2 0.3787780 0.0000049 -0.0225641  0.0000052  0.0488361  0.0000053 ...
25.9 0.2787119 0.0000051 -0.0174284  0.0000052  0.0277122  0.0000052 ...
29.6 0.1991865 0.0000052 -0.0120728  0.0000052  0.0186629  0.0000052 ...
33.3 0.1402706 0.0000052 -0.0068991  0.0000052  0.0129655  0.0000052 ...
37.0 0.0981074 0.0000052 -0.0011932  0.0000052  0.0056814  0.0000052 ...
