;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RDD-5e13;0.00e+00;0.031;0.013;0.031;0.013;6026;5549;1342;1768
RDD-5e14;1.00e+00;0.086;0.011;0.031;0.011;17355;5970;1509;1901
RDD-5e15;7.12e-05;0.001;0.002;0.001;0.002;5223;5278;1159;1681
RRDD-E-5e13-A;9.16e-01;0.281;0.063;0.135;0.063;18457;766;228;244
RRDD-E-5e13-B;2.22e-15;0.118;0.041;0.112;0.041;1881;1417;409;451
RRDD-E-5e14-A;3.41e-01;0.057;0.035;0.072;0.035;762;683;173;218
RRDD-E-5e14-B;4.57e-01;0.060;0.015;0.038;0.015;1744;1277;314;407
RRDD-E-5e15-A;3.47e-05;0.012;0.005;0.011;0.005;611;591;136;188
RRDD-E-5e15-B;3.07e-16;0.018;0.011;0.018;0.011;1299;1259;290;401
RRDD-R-5e13-A;7.30e-01;0.142;0.058;0.164;0.058;13281;7498;3345;2388
RRDD-R-5e13-B;1.85e+00;0.147;0.023;0.073;0.023;30852;6182;1815;1969
RRDD-R-5e14-A;1.12e+00;0.071;0.032;0.086;0.032;9522;6794;2199;2164
RRDD-R-5e14-B;7.68e-01;0.002;0.008;0.012;0.008;5354;5533;1269;1762
RRDD-R-5e15-A;1.20e-17;0.033;0.026;0.033;0.026;6817;6563;1521;2090
RRDD-R-5e15-B;1.61e-01;0.019;0.001;0.003;0.001;5870;4974;1075;1584
RCDD-E-5e13;1.54e+00;0.163;0.261;0.253;0.261;1184;712;153;227
RCDD-E-5e14;3.00e+00;0.494;0.592;0.777;0.592;1140;207;31;66
RCDD-E-5e15;7.72e-01;0.868;1.466;1.092;1.466;57;26;8;8
RCDD-R-5e13;2.20e-03;0.249;0.281;0.288;0.281;1158;1138;234;363
RCDD-R-5e14;3.71e+00;0.453;0.592;0.757;0.592;2865;316;48;101
RCDD-R-5e15;1.10e+00;1.164;1.503;1.285;1.503;61;33;9;10
RCDD-D-5e13-A;1.24e+00;0.166;0.191;3106.428;0.191;463;223;5;71
RCDD-D-5e13-B;8.15e-01;0.060;0.159;1.555;0.159;643;461;30;147
RCDD-D-5e13-C;5.00e-01;0.022;0.084;0.508;0.084;1668;1148;112;366
RCDD-D-5e14-A;1.67e+00;0.434;0.313;1764.056;0.313;191;52;0;16
RCDD-D-5e14-B;1.38e+00;0.270;0.398;1771.602;0.398;210;71;1;23
RCDD-D-5e14-C;1.19e+00;0.031;0.397;1526.279;0.397;273;120;1;38
RCDD-D-5e15-A;1.56e+00;0.644;0.455;196.299;0.455;88;13;0;4
RCDD-D-5e15-B;1.43e+00;0.574;0.741;196.304;0.741;91;13;0;4
RCDD-D-5e15-C;1.02e+00;0.458;1.003;193.727;1.003;92;14;0;4
