;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RDD-5e13;5.62e-03;0.012;0.008;0.017;0.008;282;246;107;78
RDD-5e14;1.10e-02;0.027;0.005;0.019;0.005;745;215;178;68
RRDD-E-5e13-A;1.85e-01;0.101;0.009;0.048;0.009;406;28;33;9
RRDD-E-5e13-B;4.32e-02;0.009;0.012;0.035;0.012;45;74;49;24
RRDD-E-5e14-A;6.90e-02;0.028;0.011;0.017;0.011;57;37;10;12
RRDD-E-5e14-B;1.84e-02;0.010;0.008;0.018;0.008;52;55;24;17
RRDD-R-5e13-A;1.72e-01;0.017;0.008;0.038;0.008;664;395;697;126
RRDD-R-5e13-B;1.42e-02;0.036;0.007;0.036;0.007;793;277;341;88
RRDD-R-5e14-A;5.12e-02;0.008;0.011;0.028;0.011;264;543;377;173
RRDD-R-5e14-B;3.46e-01;0.078;0.004;0.004;0.004;1450;133;31;42
RCDD-E-5e13;2.65e-02;0.042;0.012;0.102;0.012;47;27;28;9
RCDD-E-5e14;4.93e-02;0.171;0.037;0.183;0.037;26;18;6;6
RCDD-R-5e13;6.57e-02;0.086;0.014;0.079;0.014;116;56;35;18
RCDD-R-5e14;3.22e-02;0.194;0.036;0.150;0.036;62;31;9;10
RCDD-D-5e13-A;5.76e-02;0.180;0.010;6401.751;0.010;28;5;10;2
RCDD-D-5e13-B;3.10e-02;0.136;0.013;0.559;0.013;87;18;15;6
RCDD-D-5e13-C;2.38e-03;0.114;0.008;0.155;0.008;162;38;35;12
RCDD-D-5e14-A;6.62e-02;0.460;0.013;622.780;0.013;22;1;1;0
RCDD-D-5e14-B;4.71e-02;0.481;0.025;633.976;0.025;20;3;2;1
RCDD-D-5e14-C;3.14e-02;0.381;0.032;840.532;0.032;15;9;4;3
