;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RRDD-E-5e13-A;1.75e+00;0.238282;0.109822;0.185383;0.109822;4070.051;205.109;115.738;130.656
RRDD-E-5e13-B;4.33e-16;0.121528;0.059181;0.112049;0.059181;852.507;345.221;183.285;219.908
RRDD-E-5e14-A;4.13e-01;0.053466;0.047631;0.068041;0.047631;341.900;163.160;77.632;103.934
RRDD-E-5e14-B;5.95e-01;0.064523;0.023400;0.042149;0.023400;802.054;303.707;145.838;193.464
RRDD-E-5e15-A;2.19e-04;0.013893;0.000883;0.007987;0.000883;282.637;133.038;61.246;84.746
RRDD-E-5e15-B;0.00e+00;0.021265;0.027967;0.021157;0.027967;604.995;315.482;134.908;200.964
RRDD-R-5e13-A;1.44e+00;0.143027;0.106200;0.159104;0.106200;6353.541;2273.077;1400.413;1447.966
RRDD-R-5e13-B;1.31e+00;0.104296;0.033263;0.060247;0.033263;15531.722;1488.436;756.532;948.144
RRDD-R-5e14-A;1.31e+00;0.075106;0.051432;0.090711;0.051432;4434.868;1752.954;1016.528;1116.644
RRDD-R-5e14-B;7.95e-01;0.005736;0.007385;0.011804;0.007385;2632.644;1270.378;582.037;809.239
RRDD-R-5e15-A;0.00e+00;0.045712;0.061153;0.045710;0.061153;3435.668;1941.293;766.586;1236.617
RRDD-R-5e15-B;1.64e+00;0.213996;0.001399;0.014914;0.001399;52697.086;1151.864;456.377;733.745
RDD-5e13;8.43e-17;0.029861;0.020491;0.029320;0.020491;2727.763;1315.913;606.982;838.246
RDD-5e14;2.57e+00;0.166052;0.016975;0.037644;0.016975;16915.742;1419.674;718.369;904.342
RDD-5e15;0.00e+00;0.001654;0.029798;0.001648;0.029798;2397.508;1490.746;534.936;949.616
RCDD-D-5e13-A;9.00e-01;0.430068;0.220793;7080.145329;0.220793;410.228;51.369;1.078;32.722
RCDD-D-5e13-B;6.28e-01;0.129496;0.273067;1.347683;0.273067;474.237;85.619;14.665;54.540
RCDD-D-5e13-C;3.86e-01;0.078652;0.175907;0.449531;0.175907;640.138;201.338;55.365;128.254
RCDD-D-5e14-A;2.00e+00;0.686916;0.351880;1909.485161;0.351881;324.699;11.893;0.031;7.576
RCDD-D-5e14-B;7.69e-01;0.539251;0.571817;1882.550059;0.571815;187.834;13.751;0.067;8.760
RCDD-D-5e14-C;8.92e-01;0.155614;0.701752;1727.311703;0.701751;156.341;18.168;0.287;11.573
RCDD-D-5e15-A;2.51e-02;0.918860;0.161659;198.999605;0.161657;100.127;4.168;0.002;2.655
RCDD-D-5e15-B;9.89e-01;0.787133;0.454362;198.996947;0.454336;90.376;4.129;0.003;2.630
RCDD-D-5e15-C;7.90e-01;0.713151;0.725275;198.996848;0.725288;93.934;4.244;0.004;2.703
RCDD-E-5e13;1.28e+00;0.134106;0.306718;0.185639;0.306718;576.638;155.303;87.280;98.929
RCDD-E-5e14;8.21e-01;0.654599;0.873248;0.713501;0.873249;102.399;31.634;16.687;20.151
RCDD-E-5e15;1.29e+00;0.985518;1.118973;1.004567;1.118976;27.502;8.690;3.888;5.535
RCDD-R-5e13;7.23e-01;0.253635;0.358201;0.238071;0.358201;659.377;225.717;130.459;143.783
RCDD-R-5e14;1.57e+00;0.577387;0.866565;0.712533;0.866566;258.363;45.782;25.343;29.164
RCDD-R-5e15;1.26e+00;1.089576;1.193758;1.182377;1.193755;33.322;10.967;4.622;6.986
