;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RRDD-E-5e13-A;7.38e+00;0.090;0.007;0.017;0.007;18130;5;6;3
RRDD-E-5e13-B;8.06e-16;0.025;0.009;0.023;0.009;70;12;14;8
RRDD-E-5e14-A;9.56e-02;0.007;0.009;0.010;0.009;9;6;3;4
RRDD-E-5e14-B;4.07e-01;0.028;0.010;0.012;0.010;153;15;7;9
RRDD-E-5e15-A;6.68e-05;0.002;0.011;0.000;0.011;3;6;0;4
RRDD-E-5e15-B;0.00e+00;0.002;0.009;0.002;0.009;7;17;1;11
RRDD-R-5e13-A;6.64e-01;0.027;0.007;0.017;0.007;1520;95;135;61
RRDD-R-5e13-B;3.48e+00;0.105;0.008;0.017;0.008;31927;61;61;39
RRDD-R-5e14-A;1.38e-01;0.012;0.006;0.013;0.006;455;74;86;47
RRDD-R-5e14-B;3.55e-01;0.024;0.008;0.003;0.008;529;61;12;39
RRDD-R-5e15-A;0.00e+00;0.000;0.007;0.000;0.007;4;102;1;65
RRDD-R-5e15-B;1.15e+00;0.114;0.018;0.000;0.018;47303;138;1;88
RDD-5e13;1.33e-16;0.010;0.011;0.010;0.011;124;74;27;47
RDD-5e14;1.77e+00;0.089;0.007;0.016;0.007;13022;66;71;42
RDD-5e15;0.00e+00;0.000;0.023;0.000;0.023;8;244;2;156
RCDD-D-5e13-A;3.34e-01;0.275;0.009;8931.241;0.009;186;1;3;0
RCDD-D-5e13-B;2.38e-01;0.197;0.007;0.254;0.007;229;1;3;1
RCDD-D-5e13-C;1.73e-01;0.084;0.012;0.069;0.012;180;7;7;4
RCDD-D-5e14-A;7.84e+00;0.307;0.019;392.654;0.019;1236;0;0;0
RCDD-D-5e14-B;3.30e-01;0.383;0.009;450.594;0.009;100;0;0;0
RCDD-D-5e14-C;8.61e-01;0.353;0.012;681.169;0.012;88;0;1;0
RCDD-D-5e15-A;1.49e-01;0.162;0.052;0.002;0.052;54;0;0;0
RCDD-D-5e15-B;3.74e-01;0.319;0.068;0.006;0.068;49;0;0;0
RCDD-D-5e15-C;3.24e-01;0.389;0.080;0.007;0.080;53;0;0;0
RCDD-E-5e13;4.86e-01;0.063;0.012;0.096;0.012;137;4;16;3
RCDD-E-5e14;4.99e-01;0.093;0.008;0.175;0.008;22;0;3;0
RCDD-E-5e15;1.18e-01;0.269;0.087;0.233;0.087;8;1;1;0
RCDD-R-5e13;5.72e-01;0.056;0.010;0.072;0.010;130;6;18;4
RCDD-R-5e14;1.18e+00;0.174;0.009;0.138;0.009;231;1;5;0
RCDD-R-5e15;2.67e-01;0.158;0.078;0.136;0.078;7;1;0;1
